G	c	dx1dt	d2x1dt2	dx2dt	d1	m1	m2	Fc	Fg	W	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	7.109922524784180631e+00	3.058491718611170285e+01	5.857934779238797240e+00	4.584952918396552057e+00	7.346925282556483694e+00	5.634271532979960284e+02	5.891607709653912650e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	8.384709337513884364e+00	7.829570845524494871e+01	8.055832462772160696e+00	5.673895120719499197e+00	9.202477594448453146e+00	1.843091926161420361e+03	9.705826117360861360e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	3.095535427270852402e+00	2.420587156640168658e+01	8.234352183100233091e+00	8.666303221729695139e+00	3.152651917721824049e+01	2.358012507776647453e+03	9.664936915708938159e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	6.656072808503513905e+00	4.165735731675028575e+01	2.645454133268259511e+00	4.083655932766159680e+00	4.307960141377708219e+00	3.428408831678661954e+02	7.020854337948944135e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	6.106341940332672635e+00	1.242882302997725930e+01	2.673705876099407241e+00	8.841992406615275968e+00	1.055552914957342026e+01	3.469660291331833832e+02	4.164501917527880437e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	8.945424134236873215e+00	2.091337849091972956e+01	3.762913115237260353e+00	1.606036649141084016e+00	5.490047599649496846e+00	1.690223264251635555e+03	7.863434288055058232e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	9.385271027640481378e+00	1.114042773909610773e+01	4.122672031814904159e+00	7.718699825405343162e+00	9.431080538105193867e+00	1.088081841496870538e+03	2.140424608150035226e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	1.274291423756003683e+00	9.803138659866789340e+00	4.756663840064401683e+00	8.356565108818569954e+00	4.269586904914508807e+01	6.442692898110251463e+02	1.277330591578484409e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	6.601523885995269403e+00	4.267672247672209096e+01	7.137929504876832532e+00	2.737354851999948213e+00	4.837450104689832386e+00	7.329278615773175716e+02	5.659539589212789679e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.513303856904575362e+00	1.088564307699500411e+01	1.689747489449522799e+00	5.081010014986516943e+00	9.784110846376201209e+00	-4.442770505324843100e+01	1.573677264312179602e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.125778442131427637e+00	3.136096011243938442e+00	1.574543590320337305e+00	5.897770695627836623e+00	7.031221634165725654e+00	1.233300121649659298e+00	2.710339289951161579e+00	2.618600030348575469e+00	9.046110393539500194e+01	4.576508426626986648e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.853258430166103921e+00	1.000870602632729955e+01	1.371628603137864388e+00	3.544397690935713108e+00	3.550194513294766807e+01	4.552516339500513709e+00	7.255599440708556891e+00	9.457341775027781949e+00	6.371328051871614662e+02	9.961194499199059749e+00
