G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	m1	Fc	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	7.109922524784180631e+00	6.101435608729842919e+00	5.383684594423054914e-01	2.677902307530910875e+01	4.493657365117975644e+00	8.141870155752323868e+00	1.935543023386177008e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	8.384709337513884364e+00	8.289775197376487270e+00	2.771389735739575033e-01	1.050194430837711224e+02	5.541990472068440532e+00	1.323421144212624867e+01	6.444854278841677386e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	3.095535427270852402e+00	7.750308088049854938e+00	1.033704810141495178e+00	5.521410670744940035e+02	9.006585313539371640e+00	8.442197991723202222e+01	4.912828468503012136e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	6.656072808503513905e+00	2.262416306849603043e+00	2.227945998790688276e-01	3.577594495588632384e+01	3.683665430213669101e+00	9.752376952041021951e+00	2.664439549392294548e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	6.106341940332672635e+00	1.904019591426791891e+00	5.439219950081641830e-01	2.965276787389982971e+01	8.996138219446171647e+00	3.941359049332763931e+00	1.857334356640563655e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	8.945424134236873215e+00	3.505416143578832688e+00	5.734782677475219748e-01	4.575580159962272830e+01	2.017524479546828342e+00	9.502846451314695742e+00	1.612314508122908441e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	9.385271027640481378e+00	3.725552343449346715e+00	8.883431654810787226e-01	3.235260198618432526e+01	7.622012265969201117e+00	3.270985051985300984e+00	1.748361418010054535e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	1.274291423756003683e+00	4.684564655834606128e+00	1.454246088637463963e+00	8.959564944547412324e+02	8.786883321148785342e+00	2.528955446961184066e+02	1.322166860932747212e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	6.601523885995269403e+00	6.627279547845912333e+00	4.756597181527185692e-01	3.381496072529367325e+01	2.882127395574472395e+00	4.493886184006839812e+00	8.145352885620844585e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.513303856904575362e+00	1.523878765366553978e+00	4.560485953319431407e-01	1.060759883337026253e+02	4.612622151292351091e+00	1.055124922711411273e+02	7.766498621471633612e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.125778442131427637e+00	3.136096011243938442e+00	1.574543590320337305e+00	5.897770695627836623e+00	1.310387845039582055e+00	5.428636832025774961e-01	7.887603700274791407e+00	2.424667330945379451e+00	1.287465738030280082e+00	4.483369216183226058e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.853258430166103921e+00	1.000870602632729955e+01	1.371628603137864388e+00	3.544397690935713108e+00	4.637045021296329672e+00	3.942107013549166483e-01	1.578610184514082277e+02	7.410546399025808917e+00	1.753913496426217122e+01	7.266964189562438170e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.558015580335133876e+00	9.236329949147659590e+00	9.257299353337213432e+00	3.337822195995070462e+00	7.509314498850707231e+00	6.873591521630476597e-01	4.997205812115425374e+02	5.974611701491949312e+00	8.112468711147445788e+01	7.580739074879858097e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.772552091971206778e+00	1.482971381037684999e+00	1.720504333049172274e+00	3.882201533332452215e+00	3.026226067995103186e+00	7.061969244547615654e-01	8.650290739321839339e+00	6.446772273860760016e+00	5.420969726945130240e+00	8.743846248372706853e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.478040678814608988e+00	7.428980091833762955e+00	5.460844786958421793e+00	6.573221830108399999e+00	6.335049421970575523e+00	1.206134135402058050e+00	1.078769393019116052e+02	3.085760073563382999e+00	1.162095344182272072e+01	1.258455956112344065e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.383406643891166965e+00	9.277517460116685655e+00	4.829261142928119810e+00	4.308070999490610120e+00	3.322600973046923034e+00	9.483570647779261398e-01	7.132688178889469555e+01	2.349044262936012650e+00	1.417535233339632406e+01	1.878900721677871699e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.631354844251960756e+00	2.865177532026740970e+00	3.932581402667221226e+00	7.434454900144245038e+00	9.522449491721626913e+00	9.553762980925293302e-01	3.173276918089033316e+01	1.736591274429188259e+00	5.704652471510319955e+00	5.572192965480035065e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.491247932277187438e+00	5.952469172271389830e+00	8.866600996374156551e+00	4.532495546061613645e+00	9.093646229591890062e+00	1.036240241668535678e+00	2.752617564563072960e+02	4.049551149899694558e+00	4.469048809195192007e+01	1.628666070765091289e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.150025424714101518e+00	9.314586639610324070e+00	1.581783664217808250e+00	2.097264782282805662e+00	3.449169339521568123e+00	1.489292988332399315e+00	1.572667126098469339e+02	5.867144416032735066e+00	1.662027163296056642e+01	1.339593237943959680e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.377200560400079876e+00	1.268887722023712694e+00	7.584514496135152051e+00	7.973498028571880170e+00	3.048237395823287788e+00	2.186390488970904045e-01	9.378520980535228091e+00	8.958528549708923094e+00	1.219845804333584560e+01	6.778494457261556860e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.539768114687381839e+00	7.105799701837401727e+00	9.929243132126847726e+00	3.536965617797189765e+00	4.597245330545580266e+00	5.524582808930541544e-01	2.404203797399632663e+02	6.714926301054776836e+00	7.001996404879994884e+01	8.696134514123475823e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.270140225180890869e+00	3.816022361291512510e+00	5.740064448253211715e+00	4.863708756420903612e+00	2.844378955395618025e+00	8.978173316090729550e-01	3.611487798065838462e+01	4.950094906458565092e+00	1.281343353860682654e+01	4.165761592701716864e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.885214061010276776e+00	9.261782444169366357e+00	9.918279121550986233e+00	6.804808724983163692e+00	7.288152851776914076e+00	8.282043598840961307e-01	1.966611865880584844e+02	9.643505068231021937e+00	2.063504594882546428e+01	2.116568420058415168e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.592056478638474104e+00	9.329795992732128340e+00	1.039236668337261138e+00	4.146873305607630122e+00	8.593729057098746793e+00	1.489755104510555928e+00	1.419606715049002617e+02	7.537980719436030874e+00	7.748508276834956021e+00	1.942921928933047493e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.292970078688797209e+00	8.997417837488288939e+00	4.685075084760834230e+00	1.332557733044679393e+00	6.694379110398878119e+00	2.785768145739741630e+00	6.456526167452374239e+02	9.141144729720473094e+00	6.391515608842719587e+01	1.588535953101744558e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.162091512082872313e+00	5.487410429393106526e+00	3.356543307058430514e+00	4.357150243027771985e+00	8.393750940063252841e+00	7.292956240883046171e-01	1.534664830908789952e+02	5.612213316940987795e+00	2.570954964974292878e+01	6.250982248161640609e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.513284192336831424e+00	8.418864434966957688e+00	8.108582005689591199e+00	9.620315124364333670e+00	4.418654560694969646e+00	4.848724189162018083e-01	8.504151828566793370e+01	3.364905730040528287e+00	1.125226425306433953e+01	2.887049919680606980e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.338857191288317594e+00	8.678657562496809419e+00	1.008364309638879952e+01	7.301399256181527520e+00	1.970663190568578305e+00	2.246632538633681064e-01	7.335327439005222061e+01	1.276087815980139206e+00	3.256925650506482128e+01	4.506931650819054891e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.102874119097513095e+00	3.887189557140842577e+00	3.180735140632572566e+00	6.686633140930415387e+00	7.256236136141097859e+00	5.152212142921608340e-01	6.324007881316496338e+01	7.609225610009974439e+00	1.125547991915996882e+01	1.387341332585892761e+00
