G	c	dx1dt	d2x1dt2	dx2dt	Fc	m2	m1	Fg	p	W	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	4.536529394589734920e+00	5.210003425079023920e+00	1.525706708124901390e+01	3.739810398596023333e+01	6.839476340461601467e+00	-2.902168136686110600e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	5.267902003112375553e+00	5.216841200809676948e+00	1.701847767591407390e+01	3.570411825468608669e+01	2.548954375259358418e+00	-6.850253708592282109e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	8.682367161394417110e+00	3.613356672129037772e+00	7.960344492461068455e+01	-1.213926750295052443e+03	8.858813744798760936e+00	-2.587268406756048833e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	4.071655492226863515e+00	1.127326755782623735e+01	1.317587444196135316e+01	9.147044471016029021e+00	6.523151987354167680e+00	3.743587567846666353e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	8.824590911085904210e+00	2.316080222307500236e+01	3.043107163327401565e+01	1.091218012799123827e+01	2.417577109320038886e+00	-1.259511187176051372e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.794008761114281647e+00	4.440041427939060092e+00	1.403322731304346149e+01	-5.757694456901201647e+02	9.661878337391955895e+00	-3.179563488022217399e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	7.980805892493511244e+00	1.720529574533578199e+01	4.030813181318629290e+01	4.838052753543682627e+01	5.667025117030682679e+00	-3.524757128658375649e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	8.627587810329838902e+00	2.039814899069910759e+00	6.892389056868844932e+01	-6.718295520505442937e+02	1.662543366578318027e+00	-2.976377208966060728e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	2.637612374445747587e+00	2.611010972353074333e+00	4.164033083005390878e+00	-6.489766266076235190e+00	6.648152143615200238e+00	-1.114685742247615519e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	4.872646089153040094e+00	4.735051689425614718e+00	2.627675178783123400e+01	4.166569604756956551e+02	3.286051975918032664e+00	-5.757382725154201353e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.305578239670098117e+00	2.486408805629983565e+00	1.127233939698253096e+01	3.210325713524021740e+00	-2.284135490114131972e+00	8.233465878855053433e+00	-1.425848361018275723e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.529601317244285497e+00	7.354244136288627942e+00	5.836891065928749178e+00	1.154947007525672831e+01	-5.078126951877417028e+00	8.363417559037007010e+00	-3.771456159545901743e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	7.275429733387385411e+00	5.824332182984757189e+00	3.012711915308153188e+00	5.330474515709987315e+01	-6.552859213069186808e+02	9.817834796815859022e+00	-3.464062478817471913e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	2.740090420146628958e+00	6.718079133500286737e+00	1.022934700220254811e+01	1.513746931597488476e+01	2.801860070408902281e+00	5.513432902266090174e+00	-4.592521642162098239e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	6.777948319587530079e+00	2.776835545493351987e+00	2.684493277201818184e+00	1.603389020751622240e+01	-2.772934154207804340e+02	5.092879802509663101e+00	-1.487774129615166174e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.345165669712116596e+00	2.902824382822793758e+00	3.490226020897014614e+00	1.363963995380276728e+01	5.563829538042284639e+02	7.781367685911566134e+00	1.407825682916604926e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	8.966464776338881393e+00	1.371090567874053701e+00	1.157273477793047789e+00	5.675229425283917273e+00	-3.905997589616815446e+01	2.197129528821187616e+00	-2.620747392849184898e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	9.057957824464409669e+00	3.903082317161201242e+00	1.984390420337980743e+00	3.550429440249467206e+01	-3.290491743210480990e+02	5.927217954753384532e+00	-1.206473645217443291e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	3.680052119430257562e+00	6.028798016569496987e+00	2.660783548071957938e+00	7.202367225870341727e+00	-1.632612794582765403e+01	5.914972550128275053e+00	-4.960919105356869085e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	8.057681712495694981e+00	3.067396041756753178e+00	8.714756951094219772e+00	2.289110716273320278e+01	6.077783908429695714e+01	8.924471310994904627e+01	1.797051607135893736e+00	-2.324197269132064037e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.500962602909805099e+00	7.271492108222212813e+00	9.668167562277940164e+00	3.575281594704617039e+00	4.697387963086131712e+00	7.008368030542018623e+00	5.331756283873032132e+00	6.773775147744431990e+01	-2.457766855103598573e+03	4.763195956386573116e+00	-9.090374270375022547e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.253530493387425615e+00	3.680012648666501907e+00	6.029807267174340346e+00	4.904091794858275399e+00	3.170332190305779729e+00	4.912137469044318472e+00	7.608903705864161537e+00	2.972537013960845442e+01	1.795581550109840805e+02	8.674567752652539099e+00	-2.087793375527927253e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.622631541337138827e+00	9.316691754751460053e+00	9.427337872997981094e+00	7.170792631623955415e+00	7.044430750299156330e+00	9.568101387968463101e+00	9.742640808541594311e+00	9.030095525229015152e+01	1.036919555852310168e+03	8.697277675498023441e+00	-2.522891279161505551e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.302411608476164773e+00	9.733831692950284165e+00	1.468604021385557123e+00	3.995603152512712253e+00	8.432939470498331147e+00	7.483457887240987816e+00	3.547815235907192832e+00	1.096589737236575957e+01	-1.243908547450357638e+01	1.886263797325708591e+00	-3.591218885508680736e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.113772272434384369e+00	9.499956335857499212e+00	4.772507415098722561e+00	1.507534386523945003e+00	7.059619286887226508e+00	9.363840094935392599e+00	1.999007060696337046e+00	4.466802578361939169e+01	-5.640869350706269643e+02	1.818263380733119217e+00	-3.521668950322245806e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.075621788065570072e+00	5.253048916511689370e+00	3.341199659982228010e+00	4.357916167881770164e+00	8.416028462823163636e+00	5.749301872234851452e+00	2.989161079460525450e+00	1.918560991267412419e+01	1.828537958639055034e+02	3.371663033207511262e+00	-1.346457822536914506e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.803688428827614043e+00	8.748642910171319897e+00	7.581777968431921977e+00	9.496335309164278371e+00	4.577195268058329880e+00	3.330517483830435665e+00	6.920357072966666578e+00	2.522399316244106160e+01	4.015981199622975168e+02	8.873106137594165332e+00	-4.039051696695667459e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.627040366967531959e+00	8.599957175006828436e+00	9.839123263924044238e+00	6.775559998685835694e+00	2.403754096752821479e+00	1.460020566010292953e+00	4.160717245658877239e+00	1.449800904382051669e+01	-2.514604427872251620e+02	2.161273134163142373e+00	-3.934668490551320730e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.329754322977696468e+00	3.872362896387803843e+00	3.314613406522834094e+00	7.043641394041995518e+00	7.649231206996105037e+00	7.533297110586207879e+00	6.946336030601639955e+00	2.491117995139625307e+01	3.703840142475225150e+01	7.486405907702411433e+00	1.821026501441630074e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.409008822833359487e+00	8.458184692161516693e+00	6.890169401421000650e+00	6.700967088517618464e+00	4.243585616468531718e+00	2.094187055981571621e+00	3.307489143705978574e+00	1.438405707570132464e+01	-2.892201115422431599e+02	1.902089085764310905e+00	-3.325570165624842645e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.478922446616445896e+00	1.324282059878606033e+00	2.782944191580707383e+00	2.791369233822048379e+00	7.045093803463547744e+00	3.726919955185356681e+00	1.478174632490650620e+00	1.035925796070316274e+01	-1.151358507437828820e+02	6.611070325062418540e+00	-8.643153901328977540e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.537255364263748536e+00	6.361878850298415600e+00	6.082556720387852778e+00	4.771386302135574908e+00	3.439859033606369465e+00	5.797195047468854057e+00	8.021461902424364965e+00	3.526804212638717928e+01	1.942875660948485006e+02	4.204542644128233420e+00	-8.839754107751103263e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.582801717226041127e+00	3.072255898416893505e+00	5.179478093207097622e+00	7.756102953550346513e+00	1.727648532297935358e+00	6.077623442741976412e+00	2.726016779645101451e+01	3.145555038890864807e+01	2.410660423174033795e+01	8.103304897790645001e+00	-1.869533380903390452e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.547157694226108049e+00	2.088338512600462771e+00	9.757322949711422666e+00	1.910668861417909259e+00	9.922050925749733352e+00	6.409157697906993079e+00	1.225722154159996968e+00	6.247361113128381760e+01	-4.893825939792497479e+02	3.100583994120633236e+00	-5.142538117818765464e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.685423397870591700e+00	1.692488558270120569e+00	6.478634440338962186e+00	3.493480562710518100e+00	2.407778587801400860e+00	2.492516186375735909e+00	3.642153690367283758e+00	1.618320764614519192e+01	-5.624901457710813020e+02	6.748367061451517657e+00	-1.109164779490530073e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.277776894087255144e+00	7.273034626496686528e+00	4.156143786919860972e+00	3.482853479774175032e+00	9.896182700860791215e+00	4.409898561301528019e+00	1.555887866790175655e+00	1.826559520424510552e+01	-1.734678985943335761e+02	3.121907147464613175e+00	-9.447829616817580600e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.740589597786282194e+00	4.061085451534687252e+00	2.018438384636462413e+00	4.891023098116018097e+00	9.798546945415395726e+00	6.547628468017400394e+00	3.280169464688154513e+00	1.330136276145132435e+01	5.640536830971970561e-01	7.431913787240435276e+00	-3.880439326714170689e-01
