G	c	dx1dt	d2x1dt2	dx2dt	Fc	m2	m1	Fg	p	W	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	6.155409693265429638e+00	4.670845477162441028e+00	5.183294377593431257e+00	1.869253222719705931e+01	6.588647024431077170e+01	6.975411780108899507e+00	-5.465153550068294663e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	8.010579521038309281e+00	4.516145004843828303e+00	5.173769410699290638e+00	1.676675409688933271e+01	8.812033586785247508e+00	2.112344929396577697e+00	2.807790736247049779e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	7.875931938324740145e+00	8.939534653146541388e+00	4.342718190211537710e+00	7.798617581684500522e+01	-1.219312625534829749e+03	9.000981497104168838e+00	-1.870099230902125598e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	2.071857699709672485e+00	4.279802679661924181e+00	1.091290608485939018e+01	1.668207069883038329e+01	6.671477488188580196e+01	6.320820046166785389e+00	-7.102773161339714036e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	2.138907077366533738e+00	8.727461482441022156e+00	2.223621680068114870e+01	2.932564266349137583e+01	-4.611208153559189071e+01	2.133638789138801339e+00	-1.805690058404494991e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	3.621612912603506818e+00	1.251667166978630341e+00	4.587160525101988462e+00	1.288450969217345055e+01	-6.001095854524168089e+02	9.462807092484275984e+00	-1.993607144603760162e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	4.131589023327840948e+00	8.057698742379114876e+00	1.768527540297068157e+01	3.950531703242204173e+01	7.625804240079953900e+01	6.080762902383230362e+00	-4.421480012579363006e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	4.925910584630344147e+00	8.717534705098049841e+00	2.133114934772315952e+00	6.918876838457939016e+01	-6.188046535065226408e+02	1.746772069604164201e+00	1.071389086188544670e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	7.075467683919309358e+00	2.515530287514624153e+00	2.814131521075344811e+00	5.590791948814795909e+00	1.890550737520176128e+01	6.393867480378761847e+00	-5.029182167795793745e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	1.137323856322220994e+00	4.924332208444362813e+00	5.027109432510976639e+00	2.226342267870590064e+01	3.913689014312873837e+02	3.489674053778804463e+00	-2.619116176008481123e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.532084216383831299e+00	3.283383521335048183e+00	1.553598327027576387e+00	5.988512351030881753e+00	1.630255579430110346e+00	2.783513420901346347e+00	1.131350822417231505e+01	4.639527088971206581e+00	2.069473640764343614e+01	8.458920753946051363e+00	-1.003843992273179886e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625111365120737617e+00	1.027750202429465709e+01	1.531495345311459477e+00	3.558025378258921734e+00	4.168969436956037278e+00	8.017098993289536679e+00	6.051695191613513103e+00	1.067318694644762722e+01	1.128776642148392106e+01	8.256687059484065117e+00	-2.582953152554986698e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.804813728117418137e+00	9.250849097205907867e+00	9.295644825670940747e+00	3.790058239639721105e+00	7.110577969524694453e+00	5.858426912571268907e+00	3.219393714324424671e+00	5.265953987289420013e+01	-6.424473226858361841e+02	1.007141085370106204e+01	-3.135564401195204809e+01
