G	c	dx1dt	d2x1dt2	W	d2	m1	Fg	Fc	m2	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.274057688439908631e+00	2.611094311556829251e+00	3.350343768445537496e+00	7.936019777009828857e+00	1.761706751362556167e-01	5.375692795820708803e+00	3.325164140065269613e+00	1.074791639967959261e-01	4.962180894115159613e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.011099864100127377e+01	5.225592582543468367e+00	3.325133408221590425e+00	7.608268426055445843e+00	6.804838797496444436e-02	8.687036249742440930e+00	5.051454658536814968e+00	3.942515926880805349e-02	3.715590738470874177e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.210762335894376207e+00	8.521581114766087595e+00	9.684951509325685493e+00	2.918548524325168092e+00	3.747568996966315069e-01	7.437058510824916979e+00	8.829221785865705385e+00	1.623129856895380307e-01	2.841668704079041152e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.645314033811166254e+00	6.610268590306091596e+00	3.894978992056649325e+00	6.235876078749359230e+00	8.189293442835657300e-02	1.943065506233212947e+00	4.419705560804561451e+00	1.037685489722677268e-01	4.688015963564886590e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.738190870439986657e+00	7.746739856275169700e+00	3.232337643288422768e+00	6.313615798732968187e+00	7.177996450455487176e-02	1.852065871953073151e+00	8.079446110152630922e+00	1.308063089682450220e-01	-2.807095490226615975e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.846539086634405802e+00	7.165963601204835776e+00	7.057331946667476430e+00	8.525858370553796917e+00	1.572832273247469492e-01	4.040529431476402422e+00	1.055132569926863884e+00	2.748925986163907043e-01	4.870902297635935518e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.943470291937145822e-01	7.203923409775318198e+00	4.944180326335097853e+00	9.263087948039283148e+00	1.004490761923274578e-01	4.365162439949745732e+00	7.701554774366105249e+00	6.250433950131384364e-02	2.010099958569053213e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.109213904142084317e+00	8.518374182706939024e+00	7.869319942756648700e+00	6.327052423209391652e-01	8.680555600435868602e-01	4.862670940659675090e+00	8.629762429953400371e+00	5.480227845489619165e-01	8.464194435142569084e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.894953594703003397e+00	2.805796575560456585e+00	1.745440452103221851e+00	7.870009671766516668e+00	4.145002289178712634e-02	7.492869887156787811e+00	3.189794664663064161e+00	8.701224990137103321e-02	5.166322455955231208e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.858675097405887655e+00	4.418811495770598619e+00	5.848092059181949409e+00	1.220730527250678765e+00	6.621474488375083123e-01	1.487044882819938074e+00	5.266874065052643772e+00	1.156181997906000181e+00	4.471150867822695774e-01
