G	c	dx1dt	d2x1dt2	W	d2	m1	Fg	Fc	m2	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	1.785055698345064668e-01	6.154878417298478510e+00	4.539877103092379684e+00	1.369330408477988925e-01	3.360357205262174407e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	6.642840081257371521e-02	8.242108689681218792e+00	5.257968064005016373e+00	4.171599573847500214e-02	2.369855586677423742e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	3.171196639318603072e-01	7.848843253413464005e+00	8.685525872437979800e+00	1.538459135329281191e-01	2.496140051330320575e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	6.432911737588270507e-02	2.384317058566439052e+00	4.042305032873931836e+00	8.589920864445593773e-02	3.955010496953798582e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	6.799759552171351362e-02	2.345524857000421459e+00	8.835122024870853963e+00	7.323284691429873816e-02	8.846408507146155675e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	1.330050294814030531e-01	3.410864077593033006e+00	1.787722215460613606e+00	2.271615237359346229e-01	4.879652000520758648e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	7.679843254953766518e-02	4.254700317086139272e+00	7.988923319095138531e+00	5.450739720806497407e-02	1.617445974386721441e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	8.327981040291521087e-01	4.678312202964433730e+00	8.619946899114850680e+00	5.496504537932190848e-01	2.800521454091540741e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	6.894925523493786179e-02	7.112840299626165042e+00	2.641691065202905531e+00	7.196127573279913203e-02	4.620260148042396597e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	6.803382671715927366e-01	1.503777095409589482e+00	4.873905667023544552e+00	1.179244964317903932e+00	5.666913495811193302e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	5.936310844742738624e+00	7.336751966619996235e-02	1.304100148712630691e+00	2.484964380966560693e+00	1.706244571368128182e-01	4.317950428765218174e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	3.591939611616764783e+00	4.439171536311817268e-02	4.528218779065047883e+00	7.357285317592912932e+00	3.139924600745592348e-02	5.842007367681775754e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	3.763077397587175188e+00	2.571600250997318482e-01	7.277591451955983892e+00	5.827336707800848004e+00	1.589675800195248512e-01	5.488815084278962919e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	4.172242290836678080e+00	3.979325937809141678e-01	2.744463866139024155e+00	6.717509796532821653e+00	4.093265450180860188e-01	1.714732394846880947e-01
