G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m1	Fc	W	m2	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	1.831265119807248487e+00	4.549825098561659509e+00	6.831353839211971923e+00	1.357075985615263880e+00	1.414930832502392946e+02	1.255050096954396111e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	2.556461830524281886e+00	5.263142511319516714e+00	2.555969716467507258e+00	2.673225134823267179e+00	4.128911544297088909e+01	5.218817508423250473e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	8.549978189516600491e-01	8.686325512904518931e+00	8.841417502751518498e+00	8.479424113336673230e+00	7.114911823644736444e+01	2.211257076840092850e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	7.340243681868703352e-01	4.056303881325618477e+00	6.515137106815733326e+00	7.897197015240675633e+00	7.947227636562255171e+00	1.184913573429648714e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	6.793357210841655114e-01	8.830588698273093229e+00	2.412196898742632989e+00	4.149590751532882926e+00	1.202177850120314240e+01	2.055720520938882245e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	4.341097750632184060e-01	1.798925014361009600e+00	9.652141399006110234e+00	4.389799946607416459e+00	1.350071857362536143e+01	7.586643417095276121e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	8.412164898221201614e-01	7.994212547278721104e+00	5.673420177171281331e+00	5.797374066944732895e+00	3.302855366581495389e+01	3.789509150312276642e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	5.836178419078673629e-01	8.638335373874545198e+00	1.648692314729674813e+00	1.002236631739332751e+00	6.665131173558404498e+01	1.536729864855268701e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	4.480899863482727064e+00	2.645328824270795298e+00	6.638295699785770054e+00	3.171344182372071607e+00	3.929615728247574680e+01	1.849422458266806188e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	2.787525423635177635e-01	4.875538392154016520e+00	3.283729369721472668e+00	2.870767538771447303e+00	8.386919954482783268e+00	5.799042255615930230e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	1.006119139491527648e+00	2.484897365219928211e+00	8.236755414249797624e+00	3.252367483833477735e+00	8.325426494039929182e+00	9.655926931049300777e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	4.531612075073352841e+00	2.893002006189766107e+00	7.352250332185446879e+00	8.354370433944389163e+00	8.251919538199063098e+00	3.370288658436283669e+01	9.209485279878930442e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.497944509141287739e+00	9.490314854603212780e+00	9.162707364795755538e+00	3.760287431086229759e+00	7.270912331221567548e+00	7.941185667141914539e-01	5.816004663862162971e+00	9.814238790845999816e+00	3.521390369563273559e+00	1.180320584429321542e+02	6.252409672233548577e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.914929053850585650e+00	1.363404093749103430e+00	2.257455239756435361e+00	4.168308712513414171e+00	2.745904242290583497e+00	1.215227543094675733e+00	6.722042384848725405e+00	5.518402143681917948e+00	2.722899088762149589e+00	3.721467932892036856e+01	2.109774301618064740e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.649006688809603105e+00	7.345012717754658915e+00	5.790749576792093123e+00	6.590090368007836652e+00	6.780200377436074177e+00	1.170788684731803420e+00	2.778404015409042582e+00	5.107303119148292936e+00	5.542776158733324188e+00	1.731333369028628866e+01	8.159849558365509736e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.647777766686205680e+00	9.334152245170653117e+00	4.704501957345954999e+00	4.001051120379443660e+00	3.329363842526603445e+00	7.109034832897044298e-01	2.908002949739320719e+00	7.783477796816148597e+00	8.793934353719766506e+00	8.576137195306293037e+00	5.298461797242027593e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.743361419487843733e+00	2.627154911724737474e+00	4.121532965377671331e+00	7.591780441828267278e+00	8.980945971009687057e+00	2.175029647181109027e+00	1.379887754089818230e+00	2.191467585629656600e+00	3.175200067234204671e+00	8.500208190867162727e+00	1.172298275253178801e+01
