G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	W	d1	Fc	d2	m1	Fg	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	6.219227409249849181e+00	4.616981282281581223e+00	1.142298244167483379e+00	-4.935408262227350740e+00	6.939663699725011625e+00	-6.952751847288607401e-02	-1.491573140270219611e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	8.240766619925544489e+00	5.260937660889593026e+00	1.263986427484168118e+00	-5.984226124753420528e+00	2.467378129703412082e+00	-1.182682085444990011e-01	-5.803622492562479351e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	7.785083071848438507e+00	8.694258633418957771e+00	2.059365821137391084e+00	-3.569828847256097504e+00	8.926109144494443370e+00	-5.887818536406378561e-02	-7.194288552257741998e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	2.298566519770745220e+00	4.017930484268439351e+00	4.997446859951202303e-01	-3.527450265006130348e+00	6.425361481404013198e+00	-1.455740576030686850e-02	-4.498253410002621422e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	2.301185821780269869e+00	8.797075804107748809e+00	2.110493859674492378e-01	-7.128458309574335239e+00	2.342637636861281791e+00	-1.641028837188894529e-02	-9.524892595006329543e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	3.391229401489571860e+00	1.770807793049666623e+00	3.733895461660372117e+00	-2.001491527643919799e+00	9.569812273115873680e+00	-9.617240406319256529e-02	-1.745362788677536159e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	4.294337465739364923e+00	8.070348225223421323e+00	6.996564825676436783e-01	-9.818532226541602626e+00	5.678907800006099293e+00	-1.428412514837516453e-02	-1.109533132800663822e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	4.615048154309911332e+00	8.623985739033633635e+00	1.068762165029226940e+00	-1.219959137404560856e+00	1.592239442073297706e+00	-2.874890571559750030e-01	2.814879972444487777e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	7.201907005759282221e+00	2.563822086363942265e+00	1.066132489247708426e+00	-3.523269914376038869e+00	6.568149878462754998e+00	-1.019902474903636863e-01	-1.929638300906588100e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	1.437289905690196656e+00	4.887127989874214151e+00	4.635039065829300586e-01	-8.778774581066461913e-01	3.289820270534169921e+00	-3.701076856857058589e-02	9.334114081468696256e+00
