G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	W	d1	Fc	d2	m1	Fg	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	6.155409693265429638e+00	4.670845477162441028e+00	1.127947830478619906e+00	-4.475283679540456028e+00	7.027008234244541462e+00	-5.737590646937022754e-02	-1.881213639973483609e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	8.010579521038309281e+00	4.516145004843828303e+00	1.254046284959552837e+00	-6.050263446260593092e+00	2.369196379271700348e+00	-1.757585831468987669e-01	-5.625397160743774094e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	7.875931938324740145e+00	8.939534653146541388e+00	2.249899746692591851e+00	-3.808047283935775518e+00	8.830221822724979575e+00	-3.730951982856636762e-02	-6.206439728153204882e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	2.071857699709672485e+00	4.279802679661924181e+00	3.857799452095888038e-01	-3.081911103524257012e+00	6.899355182333007264e+00	-3.348754574367619058e-02	-4.620176188212052892e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	2.138907077366533738e+00	8.727461482441022156e+00	-4.792700053944942695e-04	-7.332355236258665698e+00	2.031690353464461030e+00	-4.240320491426977090e-02	-9.599166513370532527e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	3.621612912603506818e+00	1.251667166978630341e+00	3.759675741451472319e+00	-2.155305473959642448e+00	9.493753614353435566e+00	-1.231855100492848104e-01	-1.573143588292978379e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	4.131589023327840948e+00	8.057698742379114876e+00	7.890476354046206398e-01	-9.880394645141985066e+00	5.858391534051563099e+00	4.997447795621957900e-02	-1.129441460366535210e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	4.925910584630344147e+00	8.717534705098049841e+00	1.104242764731947490e+00	-1.164334979721272090e+00	2.008129904330194559e+00	-2.819611739363504510e-01	2.865526975445958158e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	7.075467683919309358e+00	2.515530287514624153e+00	1.121293243898869862e+00	-3.332743309920265240e+00	6.807128697175375720e+00	-1.339271214604913496e-01	-1.993128763532779146e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	1.137323856322220994e+00	4.924332208444362813e+00	4.913339788185444035e-01	-1.499696582314147264e+00	3.113775830250334220e+00	-1.033048677956842007e-02	9.850352657006451906e+00
