G	c	dx1dt	d2x1dt2	d2	d1	m1	Fg	W	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.406341697401902735e+00	2.629507601707815390e+00	3.270063735470019051e+00	-2.854289587323295052e+01	6.997045264162454536e+00	-1.635179883831213772e+02	7.249563290572457852e+00	-1.246045139221673592e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.654157138837906160e+00	5.886592858311041176e+00	3.286432455805948560e+00	-6.196044767372990947e+01	8.191291825551784811e+00	-9.202913334339058338e+02	1.260572901078502639e+01	-1.386484791580207210e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.659658825923981063e+00	8.833420342447865892e+00	9.151783655107367466e+00	-1.309072298145760556e+02	3.208749703489732319e+00	-4.150435360003332903e+02	1.026883687904861731e+01	-1.853881739057856359e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.335300585273550666e+00	7.629252498140875360e+00	3.225673283575222872e+00	-4.008535448052296601e+01	6.596198856014907186e+00	-6.183237020343046879e+02	9.252663860526869399e+00	-1.404392395128705839e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.299029838520810110e+00	8.272141390580983966e+00	3.457784497327653916e+00	-1.364870601854256726e+01	5.948926814055038648e+00	-2.067044798288584389e+02	4.528653128700135255e+00	-1.461051980862430932e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.531660294436747449e+00	6.932193909937208076e+00	7.869475694776650876e+00	-2.959252280826758863e+01	8.608726540045044118e+00	-2.270043388303471090e+02	9.095861487025462822e+00	-1.601188317315723308e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.645557346751476135e+00	7.317182515357750994e+00	4.997720735780680990e+00	-1.134231811352913155e+01	9.184587253729171508e+00	-1.424004319423224558e+02	4.448413758226817727e+00	-1.624725216429174335e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.805785000922524475e+00	8.679605982218385307e+00	7.945350054551051144e+00	-1.344891851123420565e+02	1.067871539734344788e+00	-1.701175392508305322e+02	4.038008534856453835e+00	-1.985274526582666788e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.341272360595547219e+00	3.208606730488732683e+00	1.624164337005810310e+00	-2.247164379992439009e+01	7.005297435296921726e+00	-3.283083199994011352e+02	5.384766111691979162e+00	-1.079659002445827243e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.424785996190913728e+00	5.400047927468626163e+00	5.293867211592433897e+00	-7.649255887173971757e+01	1.439690862193073739e+00	-1.152517600952964756e+02	4.701291337423776362e+00	-1.874402879064184013e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.179416039265090754e+00	2.986662612376340231e+00	1.270263305307959500e+00	-2.835407609769657000e+00	5.978535370599825427e+00	-2.994428617652982183e+01	1.166264793915133380e+00	-1.221635052689636236e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.723073782528485864e+00	9.893480372920040011e+00	1.731774967878281224e+00	-2.964172592097305881e+01	3.486268899525732934e+00	-7.015218410063500869e+02	5.969535972968950333e+00	-1.412856421883534441e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.540394646287067459e+00	9.636976442891757699e+00	9.104486777281950438e+00	-1.489088578641454319e+02	3.753324903833367809e+00	-5.812524008765099097e+02	1.158906026226854813e+01	-1.855846828393522996e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.929149394451608490e+00	1.375472368380244559e+00	2.316586010469745549e+00	-1.432848975590425766e+01	4.272478022075238968e+00	-3.651084542519323861e+01	3.535691303142320496e+00	-1.036182009339820409e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.572244733085907953e+00	7.236916119178685491e+00	5.759431980385087080e+00	-2.477021302122538060e+01	6.530247267660580945e+00	-2.150577995480178117e+02	7.243219168570560917e+00	-1.546876237821948719e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.633064553085992632e+00	9.297038107813149210e+00	4.727968119051433327e+00	-1.969714091136040679e+01	4.010801233937739241e+00	-1.676601604852262710e+02	5.376280095655220137e+00	-1.586650569478311512e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.773963829328942143e+00	2.517677241171294433e+00	4.162221181034034601e+00	-3.047790193760935651e+01	7.713564892183518040e+00	-1.413030161161244393e+02	7.613415120881104947e+00	-1.311582359533032927e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.750424306853468615e+00	6.093159879311396132e+00	9.160837166897488615e+00	-9.740890269676333446e+01	4.674967211001328948e+00	-3.053077096016446035e+02	1.223686573094796337e+01	-1.780750040402424794e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.901686316582882341e+00	9.128837516754789050e+00	1.185353251497936133e+00	-1.070361438616456340e+01	1.621995529158538396e+00	-1.486466700924917177e+02	2.409618241467080590e+00	-1.359553433313124726e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.671581994385731740e+00	1.257025874623071804e+00	7.083926459184788804e+00	-5.015359440701600846e+01	8.081264713368909725e+00	-6.866771123981305891e+01	1.084793166594360336e+01	-1.374044202460581454e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.487098808986470289e+00	7.192182302836353180e+00	9.638008798535384614e+00	-1.188823947763020783e+02	3.550124574447638626e+00	-3.152614450045210788e+02	1.076121163529809621e+01	-1.848030485246188181e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.265114910288585026e+00	3.697512499016247123e+00	6.054446485062756622e+00	-2.271730062002411898e+01	4.965255840677779808e+00	-6.764650956602142173e+01	6.178949402769177368e+00	-1.578150509104027766e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.446605069236785113e+00	9.319595765583082780e+00	9.444945497492744479e+00	-5.969651104650937867e+01	7.147377716656145630e+00	-4.236774684646623541e+02	1.254884689128430963e+01	-1.662168557534096314e+00
