G	c	dx1dt	d2x1dt2	dx2dt	m2	Fc	Fg	d1	W	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	6.087867119079549028e+00	3.549012442247492061e+01	5.362629428227682071e-01	4.537281749503044637e+00	2.994471939570806818e+00	3.801047012497027033e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	8.262424578637828532e+00	2.503495877771768363e+01	2.946595676373443551e-01	5.287446321586919851e+00	3.922905908956810350e+00	1.664370215132581654e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	7.784901463983708858e+00	3.460089649283457902e+01	1.482267427773346080e-01	8.733740450173119285e+00	-2.009696914181724026e+01	-2.607353366916828730e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	2.346583167784840995e+00	5.035888253696763961e+00	3.447439635376343681e-01	4.003780344361742571e+00	1.356481623394088620e+00	2.263406736373578809e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	2.362526441459011473e+00	5.554992358964114807e+00	8.562802448429184254e-01	8.927454092900978466e+00	8.443461757556034453e-01	4.468410524198255018e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	3.281256826486515177e+00	7.868414573593396355e+00	1.172108811537000639e+00	1.820613394834288634e+00	1.986648324945928246e-01	3.020429432157115013e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	4.339134260676367205e+00	9.456395414736833871e+00	2.005193033037265149e+00	8.019686791583390928e+00	3.709771519711878018e-01	5.847720250768320582e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	4.678477285280257192e+00	3.796521984139507140e+02	3.756931486594593250e-02	8.536746879701240687e+00	-1.216366833871414199e+00	3.326670481211939201e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	7.046847764899460742e+00	3.747132371903687442e+01	3.593975707392945140e-01	2.679949041009694888e+00	2.972763429807769864e+00	2.422385115344906303e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	1.454715064688146819e+00	4.944596738968680683e+00	7.004768622554134738e-02	4.900901374905634711e+00	-1.080556483310316285e+00	-5.183784217029987346e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.211398110789569271e+00	3.025155449615928749e+00	1.304525616118844544e+00	5.888647286554402172e+00	1.366068801606943106e+00	2.914714998915685751e+00	1.674777396290483056e+00	2.578604036322703852e+00	3.750633836825517653e-01	5.216319674353926850e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.763395719687002483e+00	9.905126852799751802e+00	1.589146445340068547e+00	3.525294857228431944e+00	4.559934110243600180e+00	1.216105868910765508e+01	1.251342608581313964e-01	7.342360588812629985e+00	-8.317478543157580617e+00	-1.884307256164147404e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.517586441780897744e+00	9.446884843863294634e+00	9.082276286008838184e+00	3.828822443914433826e+00	7.350010449932732115e+00	2.452873697695301303e+01	1.467560534931951766e-01	5.763945192276627161e+00	-3.756471157659022708e+01	-6.746756402204698411e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.916536139892318857e+00	1.406990671470972565e+00	2.252843014053140802e+00	4.120465916107197479e+00	2.703729442931302351e+00	1.752996869188606297e+02	4.722074709623907407e-01	6.680481257969590914e+00	2.443483333982471706e+01	3.638482684168759107e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.674144739339902710e+00	7.432647220173864255e+00	5.857534026723842047e+00	6.691987042793133611e+00	6.789695097098649157e+00	1.865974825999045805e+01	8.278645373754690562e-01	2.740678683033482610e+00	3.478653524862587165e-01	2.603632134541115306e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.519728988191699770e+00	9.379416682349900114e+00	4.797124416340703412e+00	3.857232010208233142e+00	3.361688171926241253e+00	8.281900705178008693e+00	4.992096141516954022e-01	2.844330821586768643e+00	4.034022543752119883e-01	1.880014342564598762e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.744192634813316545e+00	2.680231061971140694e+00	4.118911021450069931e+00	7.671301878903957316e+00	9.012645838525994435e+00	1.798300143057978460e+02	6.760676970480676840e-01	1.444256436386416320e+00	6.506877049455115358e-01	1.372195599369407759e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.666253308517708476e+00	6.080396467885312184e+00	9.100801601018090992e+00	4.667103914076850657e+00	9.122611915514937664e+00	5.027564276918911190e+01	2.754416331771211701e-01	3.971447719962294620e+00	3.114427227214582317e+00	2.077827236091677410e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.950445050361526711e+00	9.299250570975260644e+00	1.318512674117296335e+00	1.621598761358980623e+00	3.636515848720846211e+00	1.462019453119271439e+01	1.152162973992904016e-01	6.026960464062078415e+00	-4.039200954090000906e+00	-6.734463687671102816e-01
