G	c	dx1dt	d2x1dt2	dx2dt	m2	Fc	Fg	d1	W	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	7.109922524784180631e+00	6.101435608729842919e+00	3.462838182519661956e+01	5.416543265690565434e-01	4.493657365117975644e+00	2.946689808846688852e+00	3.798940188333375989e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	8.384709337513884364e+00	8.289775197376487270e+00	2.454494334569629288e+01	3.208931865476287171e-01	5.541990472068440532e+00	3.698122815797932006e+00	1.671870097961943191e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	3.095535427270852402e+00	7.750308088049854938e+00	3.560057578587782245e+01	1.408139160573615434e-01	9.006585313539371640e+00	-2.020311532466658377e+01	-2.575286162775194843e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	6.656072808503513905e+00	2.262416306849603043e+00	6.063443248760609805e+00	3.476989520148625057e-01	3.683665430213669101e+00	1.035291353464740771e+00	2.317601883378948013e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	6.106341940332672635e+00	1.904019591426791891e+00	6.169991801913371710e+00	8.534087694858919493e-01	8.996138219446171647e+00	6.950912163702684943e-01	4.468686753178601201e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	8.945424134236873215e+00	3.505416143578832688e+00	8.787128060973726562e+00	1.161710092625540369e+00	2.017524479546828342e+00	2.300520173798095702e-01	2.962944536186139288e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	9.385271027640481378e+00	3.725552343449346715e+00	9.364525062838708891e+00	1.980302055956201457e+00	7.622012265969201117e+00	3.615179461559449026e-01	5.853657987435827437e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	1.274291423756003683e+00	4.684564655834606128e+00	3.799348425672239955e+02	1.844490025891381418e-02	8.786883321148785342e+00	-1.210674584336470794e+00	3.313647590932920384e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	6.601523885995269403e+00	6.627279547845912333e+00	3.756221933172693639e+01	3.762371968185700966e-01	2.882127395574472395e+00	2.837991238220356482e+00	2.449057998696761995e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.513303856904575362e+00	1.523878765366553978e+00	5.426804662648576638e+00	8.438400063719471433e-02	4.612622151292351091e+00	-1.418858488386450567e+00	-7.453043400402252494e-03
1.000000000000000000e+00	1.000000000000000000e+00	1.125778442131427637e+00	3.136096011243938442e+00	1.574543590320337305e+00	5.897770695627836623e+00	1.310387845039582055e+00	2.838966633731593969e+00	1.689648047448927493e+00	2.424667330945379451e+00	3.755379027130754666e-01	5.136990794620332146e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.853258430166103921e+00	1.000870602632729955e+01	1.371628603137864388e+00	3.544397690935713108e+00	4.637045021296329672e+00	1.223288781396104774e+01	1.139225315428735175e-01	7.410546399025808917e+00	-8.223388899449378897e+00	-1.926497234350744048e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.558015580335133876e+00	9.236329949147659590e+00	9.257299353337213432e+00	3.337822195995070462e+00	7.509314498850707231e+00	2.460880224262673011e+01	1.737104127512776042e-01	5.974611701491949312e+00	-3.773103563106418079e+01	-6.779024709923420211e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.772552091971206778e+00	1.482971381037684999e+00	1.720504333049172274e+00	3.882201533332452215e+00	3.026226067995103186e+00	1.758637270348289405e+02	4.855817040569254672e-01	6.446772273860760016e+00	2.433358607890317771e+01	3.643858851469401827e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.478040678814608988e+00	7.428980091833762955e+00	5.460844786958421793e+00	6.573221830108399999e+00	6.335049421970575523e+00	1.934931152480205085e+01	8.350930260271555161e-01	3.085760073563382999e+00	6.051475412490681105e-01	2.589663621754562772e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.383406643891166965e+00	9.277517460116685655e+00	4.829261142928119810e+00	4.308070999490610120e+00	3.322600973046923034e+00	8.207150253510274496e+00	4.241721694536677023e-01	2.349044262936012650e+00	6.730646267355048229e-01	1.845145591883159186e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.631354844251960756e+00	2.865177532026740970e+00	3.932581402667221226e+00	7.434454900144245038e+00	9.522449491721626913e+00	1.802144350954387164e+02	6.576828720825116381e-01	1.736591274429188259e+00	3.523804909182582934e-01	1.373843843466017134e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.491247932277187438e+00	5.952469172271389830e+00	8.866600996374156551e+00	4.532495546061613645e+00	9.093646229591890062e+00	5.038377526953649976e+01	2.340205514580225854e-01	4.049551149899694558e+00	3.115965544565755252e+00	2.042868392852653425e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.150025424714101518e+00	9.314586639610324070e+00	1.581783664217808250e+00	2.097264782282805662e+00	3.449169339521568123e+00	1.585404666064541424e+01	1.251161487866226940e-01	5.867144416032735066e+00	-3.753246250646159687e+00	-6.815448241665292839e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.377200560400079876e+00	1.268887722023712694e+00	7.584514496135152051e+00	7.973498028571880170e+00	3.048237395823287788e+00	1.332215463267340461e+01	7.436552742463253818e-01	8.958528549708923094e+00	8.661273972875223492e+00	6.385629697804832361e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.539768114687381839e+00	7.105799701837401727e+00	9.929243132126847726e+00	3.536965617797189765e+00	4.597245330545580266e+00	1.392960015715445898e+01	1.574098145915800995e-01	6.714926301054776836e+00	3.982168757724323882e+01	1.194212164160521894e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.270140225180890869e+00	3.816022361291512510e+00	5.740064448253211715e+00	4.863708756420903612e+00	2.844378955395618025e+00	1.032310586870770663e+01	7.306807755184447917e-01	4.950094906458565092e+00	1.599622341649663104e+00	3.385795753507259587e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.885214061010276776e+00	9.261782444169366357e+00	9.918279121550986233e+00	6.804808724983163692e+00	7.288152851776914076e+00	1.810015529266827272e+01	6.244784498812883111e-01	9.643505068231021937e+00	1.286863266215778623e+00	2.619610117768721658e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.592056478638474104e+00	9.329795992732128340e+00	1.039236668337261138e+00	4.146873305607630122e+00	8.593729057098746793e+00	3.001504025506064366e+01	2.847636268244426727e-01	7.537980719436030874e+00	2.343681335167659530e+00	1.842406874481741452e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.292970078688797209e+00	8.997417837488288939e+00	4.685075084760834230e+00	1.332557733044679393e+00	6.694379110398878119e+00	9.203677882362148921e+02	8.161301243069306321e-02	9.141144729720473094e+00	-4.787149588925883492e+00	1.213295749995591066e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.162091512082872313e+00	5.487410429393106526e+00	3.356543307058430514e+00	4.357150243027771985e+00	8.393750940063252841e+00	6.306026440665976907e+01	1.932709310485859755e-01	5.612213316940987795e+00	-1.348058699262288762e+01	-1.436889946835139265e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.513284192336831424e+00	8.418864434966957688e+00	8.108582005689591199e+00	9.620315124364333670e+00	4.418654560694969646e+00	9.811263546992874396e+00	1.165528290310125392e+00	3.364905730040528287e+00	5.096499127538025586e-01	3.143476814487333293e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.338857191288317594e+00	8.678657562496809419e+00	1.008364309638879952e+01	7.301399256181527520e+00	1.970663190568578305e+00	5.768865684568460495e+00	3.873162201151933437e-01	1.276087815980139206e+00	3.300601459722716791e-01	1.342534464704030039e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.102874119097513095e+00	3.887189557140842577e+00	3.180735140632572566e+00	6.686633140930415387e+00	7.256236136141097859e+00	3.478454374318237541e+01	4.023423455937127913e-01	7.609225610009974439e+00	5.930047386950660027e+00	2.780234608879499802e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.621535148923829439e+00	8.357729286359377951e+00	6.626685447848000621e+00	6.924663045396502348e+00	3.899489689616464361e+00	9.614736155358285075e+00	1.573835574701516471e+00	1.923266687418458298e+00	3.373656503573924659e-01	4.020662120201468959e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.487747881458390431e+00	1.877331278584705387e+00	3.059566620260921077e+00	3.026065506517309878e+00	7.025524238850276326e+00	-4.483492481930060336e+00	1.494680094104661183e-01	3.999285177284722881e+00	-1.450244964456188335e+00	-1.495926673253092365e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.769789179225280673e+00	6.416406637414478809e+00	5.940721174758444079e+00	4.592259971502192784e+00	3.311073173290969507e+00	9.424125709802641637e+00	6.251099393154518902e-01	6.220896747565355156e+00	1.460306520409246245e+00	2.804937539022943849e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.856838252202445583e+00	3.280264877570393534e+00	5.235230541942566873e+00	7.920725160058455394e+00	1.469834367058665547e+00	4.229141615910310570e+00	1.626457224670192936e+00	5.998152183725541597e+00	7.615408839493894577e-01	6.204318914547909181e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.343516040551019586e+00	2.164325818252775147e+00	9.369876547275143963e+00	2.357182924099825438e+00	9.826507837677088020e+00	-3.564019097495787491e+00	7.729879743847566098e-02	6.657684048989137793e+00	-1.391680122706604905e+00	-8.649643815523147539e-03
1.000000000000000000e+00	1.000000000000000000e+00	9.699368108553132473e+00	1.628174316387482001e+00	6.633907625504906314e+00	3.293621162573805883e+00	2.609402772369755485e+00	2.670364632414661443e+01	1.380744241232843283e-01	2.438060919230655710e+00	-1.207351411007550945e+00	1.201054022145497058e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.272059839808930448e+00	7.261289295471599736e+00	4.280477565082692060e+00	3.552230313343598400e+00	9.992934202954177891e+00	9.124995236482362770e+01	1.193454751107932699e-01	4.160765116001313935e+00	-5.221397865273124772e+00	7.972075838761274458e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.652819507196981785e+00	4.464579698412817876e+00	1.684072394034159759e+00	4.997737437876879518e+00	1.006837575004337282e+01	1.560451375105328907e+03	4.309725054439320635e-01	6.437969823735716801e+00	3.273448101690314527e+00	6.992261116998264470e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.734312290780492871e+00	7.825565900564725119e+00	2.646034627235426928e+00	9.967904204428617021e+00	8.082182526013223622e+00	2.077260585901654721e+01	1.782426007428560943e+00	9.751842331739743130e+00	4.005007695261343925e-01	5.227859315342314517e+00
