G	c	dx1dt	d2x1dt2	dx2dt	m2	Fc	Fg	d1	W	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	7.052139095563060955e+00	6.149557923455543751e+00	3.553304836974726300e+01	5.377342752132683312e-01	4.547856830343945944e+00	2.959841741937728976e+00	3.800632358523013288e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	8.170142286320738023e+00	8.238648325556333418e+00	2.511245127962912704e+01	2.847217848418527320e-01	5.259864256330250676e+00	3.926145227425960282e+00	1.662759141196366919e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	3.254848284447012574e+00	7.832899986634311418e+00	3.442608680341626837e+01	1.424856279823120409e-01	8.686686634731104917e+00	-2.009136267106703144e+01	-2.615637248162777428e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	6.614817028598324100e+00	2.381630074807041364e+00	5.267864745822357087e+00	3.441028406613185209e-01	4.059414064345844508e+00	1.365951943481565900e+00	2.267688937298164564e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	6.160385892730295687e+00	2.344373507720812544e+00	5.170157656701890758e+00	8.528112816958151043e-01	8.824981947965222062e+00	8.654598127124246698e-01	4.486072747469664002e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	8.498287646996105948e+00	3.412266001632850987e+00	7.714577766651634860e+00	1.177510511226334655e+00	1.803924086139575111e+00	1.475566676656874798e-01	3.024525412480370434e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	9.155920393814723113e+00	4.257723789313044627e+00	9.766761572769487643e+00	2.003802240382293043e+00	7.984462425424242227e+00	3.790598431823752335e-01	5.861648625956454417e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	1.112741053597847030e+00	4.668025691929496901e+00	3.796961369823585528e+02	4.135009092876006792e-02	8.628668244926700481e+00	-1.165068063487450400e+00	3.321480669273532804e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.070019577972002089e+00	7.113182410369832454e+00	3.748578272319087290e+01	3.679177253990733587e-01	2.636258274058211892e+00	2.981382094717128783e+00	2.436739805749633003e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.465761321214995805e+00	1.518403750521126305e+00	4.860228477133484937e+00	6.637301903778430878e-02	4.872474655911181785e+00	-1.079725538237938709e+00	-4.417889214525904523e-02
