G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	W	Fc	d2	m1	m2	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	4.299463407665665926e+00	2.682709314346150897e+00	3.291048934950922877e+00	7.140729255582748181e+00	6.197741998112785033e+00	4.617651703360382776e+00	1.480978294759778546e-01	7.058756083537501524e+01	6.954302306022889901e+00	1.390562387613991646e+00	-3.952057386013487772e-01	-1.323554868521007677e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.547921773933774503e+00	5.865242963374164731e+00	3.195856005594738036e+00	8.140655218709014207e+00	8.300990824734173046e+00	5.244006247497916995e+00	1.326963771627509281e-01	1.098967112268951922e+02	2.582290618572461227e+00	2.727073018042252883e+00	-8.688393174910642724e-02	-1.782702104392505760e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.559572616627940000e+00	8.903933353468652001e+00	9.178127664406654063e+00	3.200141469681838213e+00	7.756156988490354287e+00	8.648217088318348900e+00	8.196068485520326130e-02	2.130470565994060195e+01	8.852906852703826601e+00	8.370221366422697429e+00	-2.265049159265089540e-01	-4.128501958404964967e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.406129135503583427e+00	7.611862026341022158e+00	3.312865324825396307e+00	6.556624475706692046e+00	2.402232666918127535e+00	4.119250591269417505e+00	3.477319862724577160e-01	1.317105808503972497e+01	6.562646944812869698e+00	7.884518098113313833e+00	-3.225685002149843994e-01	-3.387599564799653962e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.365299931006597411e+00	8.272323139961031302e+00	3.402373019192746817e+00	6.231954670766888249e+00	2.306818541564230607e+00	8.824046222812480522e+00	7.323526778399336301e-01	4.229085921152890393e+00	2.388686995340561392e+00	4.207305487299994873e+00	-4.877306250358955930e-01	-1.749546529090164881e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.370643745891430232e+00	6.987066526959863744e+00	7.722312668424518023e+00	8.439276761458947007e+00	3.336977463741672700e+00	1.897402612881378126e+00	4.385122991457884173e-02	9.867899885725503140e+00	9.711252491412135868e+00	4.328897701374049056e+00	-8.444271585801305102e-02	-6.137360405423244458e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.579747896890207448e+00	7.309849508049344635e+00	5.020146154649147263e+00	9.153291833703191216e+00	4.227129380632895561e+00	7.944394953279910965e+00	2.480608637219795520e-01	8.121280249564858167e+00	5.713987992271525762e+00	5.806886376168600705e+00	-2.007892329724565161e-01	-5.558634203643264016e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.803606512579555954e+00	8.573087275220858672e+00	8.046170908094115504e+00	1.056506843022144260e+00	4.626806550246552519e+00	8.532926844279144163e+00	1.506721502447153360e-01	4.728694469043755788e+00	1.724275559370874733e+00	1.029915378880927657e+00	-2.087842934238343329e+00	-2.077885314006048034e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.372001349933550607e+00	3.188577576171961692e+00	1.500838224782217178e+00	6.987774326599887509e+00	7.167427748318527136e+00	2.620973529977190797e+00	1.549967305187537892e-01	9.889089396372217777e+01	6.617517073243953440e+00	3.194853311139030261e+00	-1.609659283908784488e-01	-1.447798698942090567e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.373608029198385871e+00	5.361417550613078120e+00	5.323155324710631575e+00	1.450694814472572425e+00	1.538070183003903635e+00	4.916416960076603004e+00	4.005884023508798353e-01	3.218805531680371423e+00	3.212276166447936454e+00	2.893784928335891404e+00	-1.736363848543656330e+00	-6.169113938532725605e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.259891387030106502e+00	2.907302759659814217e+00	1.311131681000010207e+00	5.888962077019503027e+00	1.249281290209836914e+00	2.438633233223190366e+00	9.730357309991789494e-01	3.100174702915348135e+00	8.200050002692110596e+00	3.286336458027538932e+00	-4.816731286176020532e+00	-2.835412658963634147e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.745089313311302348e+00	9.885521271793974663e+00	1.557475301541761059e+00	3.551254116751999312e+00	4.487747112332410637e+00	7.286465453463526032e+00	6.968562122746587706e-01	1.570994297611694002e+01	8.345078580775782129e+00	8.262806717929853662e+00	-1.950124967125018705e+00	-6.975983795492858519e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.524076099905023796e+00	9.529919473065447733e+00	9.190761447603625456e+00	3.869587400441364622e+00	7.253736839558181160e+00	5.830689280303327671e+00	5.951365301155324417e-02	2.499099750372544904e+01	9.901218835776212757e+00	3.438924805461395451e+00	-4.281505319537457499e-01	-1.797160381690424913e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.870338742629465756e+00	1.353649766893563200e+00	2.185362329971146877e+00	4.199627751305828660e+00	2.736974219346424153e+00	6.637609599119987713e+00	7.258666194006538896e-01	2.411263839039776258e+01	5.636229595556697447e+00	2.750770096278949861e+00	-7.490233256847972365e-01	-1.787841252549905846e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.691977688120295031e+00	7.320462531201472167e+00	5.773841954466729653e+00	6.642055982108450607e+00	6.828357230336779438e+00	2.785208414782488262e+00	4.593685586102726204e-02	1.587139120148441584e+01	5.113360789576542054e+00	5.553580419290832459e+00	-4.935408195338956278e-02	-4.309800862717189318e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.776103446806811093e+00	9.389901459447289156e+00	4.765854393117647803e+00	4.051091608155520163e+00	3.376079793447291699e+00	2.887025564916679610e+00	1.218193975429154863e-01	3.600252702439229235e+00	7.781791278374941889e+00	8.713369400483768956e+00	-2.496100219781767771e-01	-2.621528629692825874e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.695343515711115856e+00	2.632997481622027625e+00	4.060222369013336774e+00	7.588831479571680028e+00	8.977574273776442126e+00	1.400603253581560459e+00	2.713427937256803618e-02	9.729796837064547788e+01	2.173201695381873133e+00	3.245843617444705842e+00	-3.015744822767984275e-03	-5.776376866125880127e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.658840126291932116e+00	6.130587746658452630e+00	9.180050060479524987e+00	4.616942864372735933e+00	9.047012092936167704e+00	3.822688475353139381e+00	3.388543783370703832e-02	3.939542146545820600e+01	5.967100957050210930e+00	1.735340252882014322e+00	-1.410692279343818967e-01	-1.788604712234871030e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.897006058626642400e+00	9.303606559876538284e+00	1.137471523614040025e+00	1.628654565114981745e+00	3.578991169597231625e+00	6.108921522408679472e+00	9.126491973737286267e-01	3.097490500419528114e+00	6.035282403072603330e+00	4.133913584298678501e+00	-9.046307429552330248e+00	-8.219289598001437991e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.668447298432381931e+00	1.298657668996742176e+00	7.021007070905108449e+00	8.062957452590987728e+00	3.140318227604504298e+00	8.711372627954222736e+00	2.733609972887671713e-01	6.784616015279152634e+01	1.902404461634321420e+00	7.685215681722683101e+00	-1.056068572666130946e-02	-5.498421705553627135e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.501729758572904139e+00	7.391395327570803531e+00	9.649956440695978799e+00	3.541033347303289780e+00	4.677382631237680499e+00	7.044235260976232205e+00	1.042836757613127968e-01	1.535997855631592657e+01	4.823760189095802176e+00	5.926086987725033062e+00	-1.674538881475770846e-01	-4.184127953415099199e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.198441965649891472e+00	3.651228423878552842e+00	5.978295805617964476e+00	4.901931070550737957e+00	3.249475607872608585e+00	4.971227409446665746e+00	1.687336441132696596e-01	9.417978252112572335e+00	8.740668371411143056e+00	8.320974419621199658e+00	-1.338873489274924888e-01	-1.011577739152305639e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.623424929661189342e+00	9.430714730350853614e+00	9.403965126135597430e+00	7.130758671203689225e+00	7.062136560975578625e+00	9.514581511852068019e+00	9.735454172265778361e-02	1.973224154237399119e+01	8.750658423013961240e+00	9.651982123939992775e+00	-9.802488626801186822e-02	-1.055932088990895465e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.329627191787741580e+00	9.685298173714574688e+00	1.500410000883639627e+00	3.982823748510091022e+00	8.544898335733522643e+00	7.521609048592849511e+00	3.991310720217881025e-01	1.455934162618508410e+01	1.890566473124043245e+00	8.081812066743417233e+00	-1.974794974743947773e-01	-9.364388511429879713e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.082600039879066500e+00	9.527186891111707467e+00	4.768761416285314247e+00	1.491120756769996891e+00	7.090855198047800734e+00	9.293305095857640197e+00	1.795841306878296906e-01	5.364996813764754791e+00	1.776421340388779191e+00	6.494485279223995988e+00	-3.140377868302742792e-01	-8.127809225005549365e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.099450167856964811e+00	5.232182884728137751e+00	3.403178103425243073e+00	4.296600582835270465e+00	8.341152666725090370e+00	5.673123531667669361e+00	1.358249700141652416e-01	5.687240218754359944e+01	3.363127049424497805e+00	5.495934161621298664e+00	-1.056388005468573282e-01	-2.251507441045350433e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.860101786419636305e+00	8.820667066772365672e+00	7.656665243112933616e+00	9.372760218973544610e+00	4.539462568881528881e+00	3.437887011192600539e+00	6.471005265480489488e-02	1.316975292351153470e+01	8.895868903322948995e+00	1.393701595678393579e+00	-4.608595661048670578e-01	-1.381520049441245490e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.641111973731091744e+00	8.574339765194428864e+00	9.766350979109192920e+00	6.724774560756638486e+00	2.397640046806252645e+00	1.536438461624902052e+00	4.128192043269142408e-02	1.025261301556376381e+01	2.081048790395213732e+00	9.861260911680881591e+00	-1.625285484765414193e-02	-1.166187995727685660e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.330218500265416992e+00	3.888085877357142284e+00	3.239403755476577995e+00	7.140975298642214142e+00	7.593964031352919086e+00	7.648528617609006375e+00	2.057830713909062359e-01	8.860290062273840306e+01	7.471651037497053949e+00	4.501402317470282632e+00	-1.930584553078778243e-01	-3.714859865499653324e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.462940365739442861e+00	8.424048605564014025e+00	6.815525244570540764e+00	6.673775142500377733e+00	4.223732243725053515e+00	2.071416370405001928e+00	4.864292890499061217e-02	5.014075913672559004e+00	1.865561680649450604e+00	2.355314636158639896e+00	-5.225768727113637435e-02	-1.992545707500708474e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.421568848039445498e+00	1.385208006106197764e+00	2.733228214960084390e+00	2.832935319765735205e+00	6.966980966164822320e+00	3.730595571295323154e+00	1.270942905499465314e-01	9.522086317685804602e+01	6.663391404184447531e+00	6.961682318828624538e+00	-6.412705407433938465e-02	-6.045070632654808662e+01
