G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	W	Fc	d2	m1	m2	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	4.538754077912353857e+00	1.471313093362712210e-01	7.107710732447768009e+01	6.842338735214126721e+00	1.351982686206623097e+00	-4.011367338168080332e-01	-1.261959784518512961e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	5.248985476934725725e+00	1.320295060761232098e-01	1.096191738614175222e+02	2.543607220274156866e+00	2.679464307947452273e+00	-9.021293703353423787e-02	-1.816693871425411899e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	8.685479483166165693e+00	8.048918905490376474e-02	2.178871087446308152e+01	8.849729976913222274e+00	8.484217925598203536e+00	-2.298927177214845907e-01	-4.265936205822945482e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	4.057026247663830354e+00	3.494502734477180073e-01	1.327518657813713787e+01	6.514259426697264210e+00	7.895690987161854579e+00	-3.207418403861608813e-01	-3.454808549248767946e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	8.825491637635892062e+00	7.285967426444717177e-01	4.172776244611473118e+00	2.408527332221137573e+00	4.156170801915128443e+00	-4.939043232624588664e-01	-1.846587686727033883e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	1.787012320523241771e+00	4.495927548868799278e-02	9.996186138363013285e+00	9.659519249903276261e+00	4.395540804832704040e+00	-8.329208037886703941e-02	-6.149930769131491104e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	7.988493277182023178e+00	2.484928217484295709e-01	8.252774004291701715e+00	5.660588264393029867e+00	5.785462262805141087e+00	-1.894238907262008886e-01	-5.569767914516681628e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	8.621723899153668214e+00	1.544148425863126062e-01	5.225475218858285587e+00	1.656154907495335893e+00	9.997802646249689396e-01	-2.087397742737820305e+00	-1.471123637503517934e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	2.635668612339264083e+00	1.558834462768482754e-01	9.925963914927407927e+01	6.641643977801026111e+00	3.171078070102508306e+00	-1.634364635725059078e-01	-1.506974267380930677e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	4.867231617384105036e+00	3.993771832868767135e-01	3.057004183686014454e+00	3.275410252394462596e+00	2.873037809919602559e+00	-1.728251759865165438e+00	-5.991542568149661463e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	2.484840725910518966e+00	9.709356159556504773e-01	3.114046165365271790e+00	8.231225559018513493e+00	3.262129389796973200e+00	-4.812841600279805121e+00	-3.203811956956093443e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	4.531612075073352841e+00	7.352257482767334373e+00	6.926554806348753646e-01	1.594014078664625522e+01	8.359142892504456412e+00	8.247149446957065422e+00	-1.943085762688986140e+00	-6.978983795586846561e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.497944509141287739e+00	9.490314854603212780e+00	9.162707364795755538e+00	3.760287431086229759e+00	7.270912331221567548e+00	5.817287777492174961e+00	5.812665963201789354e-02	2.449223982826466184e+01	9.814931584044735757e+00	3.513746890045414517e+00	-4.325162590092037074e-01	-1.805634877740360622e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.914929053850585650e+00	1.363404093749103430e+00	2.257455239756435361e+00	4.168308712513414171e+00	2.745904242290583497e+00	6.713156631224584281e+00	7.253664046715955216e-01	2.460856897914530350e+01	5.516018356778956466e+00	2.713458600644100827e+00	-7.578010433045426764e-01	-1.780841422328186852e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.649006688809603105e+00	7.345012717754658915e+00	5.790749576792093123e+00	6.590090368007836652e+00	6.780200377436074177e+00	2.773357482073247837e+00	4.749750905144741603e-02	1.610761822878356497e+01	5.099098115667239917e+00	5.546438097794169408e+00	-4.793727659472783037e-02	-4.326136016227812320e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.647777766686205680e+00	9.334152245170653117e+00	4.704501957345954999e+00	4.001051120379443660e+00	3.329363842526603445e+00	2.907939327779532679e+00	1.235649721408526580e-01	3.817084338011328182e+00	7.784467143490097385e+00	8.789489811703543154e+00	-2.527115177726080297e-01	-2.680417589691158753e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.743361419487843733e+00	2.627154911724737474e+00	4.121532965377671331e+00	7.591780441828267278e+00	8.980945971009687057e+00	1.373092710049683696e+00	2.501677630959332072e-02	9.704813391522972665e+01	2.195344910999180943e+00	3.169805641017110265e+00	-6.423513049744199697e-03	-5.695047692616974899e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.722233684701656387e+00	6.101441831916686098e+00	9.095778387050506453e+00	4.634801574812615677e+00	9.072432515096814143e+00	3.894232670693090981e+00	3.146465526099367221e-02	3.934228518314787948e+01	5.929789196132853490e+00	1.706545862382761403e+00	-1.490364477468936744e-01	-1.711810132496238523e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.894180744782930859e+00	9.242929115263267548e+00	1.185310854123672986e+00	1.612748690365848336e+00	3.676957491358654462e+00	6.039789553041829073e+00	9.154761442071340793e-01	3.110888710073477448e+00	5.910139160380016854e+00	4.211040969054068661e+00	-9.042077009541406696e+00	-1.091820795500419994e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.621020644779410436e+00	1.304859208471634391e+00	6.966796783463580667e+00	8.051640152171465559e+00	3.073206970346877842e+00	8.725203539683224818e+00	2.717710635186424417e-01	6.854569135724459272e+01	1.802684098213263253e+00	7.730721804498967842e+00	-1.002015701633067815e-02	-5.506152003728197997e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.504576746422732647e+00	7.274248575828696772e+00	9.680531017412809192e+00	3.572348690698197604e+00	4.707384263977086647e+00	7.003129844370703516e+00	1.021786614912819496e-01	1.507092629188610644e+01	4.771448726760527670e+00	5.970358138105007484e+00	-1.654984542827520333e-01	-4.287648153412278162e+01
