G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	W	Fc	d2	m1	m2	Fg	p
1.000000000000000000e+00	1.000000000000000000e+00	4.953101320985155098e+00	2.652309625404325022e+00	3.336587919305606942e+00	6.954720858298373720e+00	5.851936172245888912e+00	4.452721478598347993e+00	1.398352622202257423e-01	7.442926820158825763e+01	6.875465865244065888e+00	1.826473713346058680e+00	-3.666786980097345161e-01	-1.510655066795156642e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.467182171412336089e+00	6.280090769320445077e+00	3.343294019449514209e+00	7.871422795494542157e+00	8.608762938662035680e+00	5.122958898907715053e+00	1.237127487380061536e-01	1.105984451431026798e+02	2.797651657555658034e+00	2.270784519451041206e+00	-7.139783879132896582e-02	-1.432633404637825159e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.322070157367337018e+00	7.965476993311176201e+00	9.212666583300599399e+00	2.767969453029771376e+00	7.562202537672362723e+00	8.793090386988215101e+00	6.444253052249843128e-02	2.371234798628801954e+01	8.700257812840991534e+00	8.554841785019684508e+00	-2.216556629091487873e-01	-4.288700422132789924e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.506543992904186169e+00	7.935683536034287222e+00	3.165023438443291148e+00	7.155295957953278219e+00	2.044264392227085558e+00	4.024696264358448516e+00	3.392481203132679535e-01	1.285851875376354236e+01	6.843540939645235355e+00	7.681155388330595635e+00	-3.086892651414211430e-01	-3.792461136373844965e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.538659773660588925e+00	8.515015410968915788e+00	3.953056665215532561e+00	6.158951393277598108e+00	2.297892848909489416e+00	8.621554762805496708e+00	7.284433883057260806e-01	3.948109038381224067e+00	1.941366714130959181e+00	3.758595909292403725e+00	-5.262322369131607891e-01	-2.128892925721386575e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.383986603358068557e+00	6.418403607487992879e+00	7.943170589738894449e+00	9.196902544404284896e+00	3.065155968848058077e+00	1.825868642500668715e+00	6.224112580980659115e-02	1.167260659801292277e+01	1.008094694531638780e+01	4.088393582121693015e+00	-9.448520060516427121e-03	-5.998739109104708689e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.463146479784723120e+00	7.488976443637093361e+00	5.260768953758179656e+00	8.927614369916319959e+00	4.675062976419505745e+00	8.084345684984278080e+00	2.365316243091927506e-01	9.605439772290456091e+00	6.002145901152819540e+00	5.788839660089267980e+00	-1.759865589719330492e-01	-5.266898156403065201e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.052373380123821534e+00	8.937181822610797965e+00	8.286653630773111345e+00	9.933458406758199910e-01	4.613268795447963200e+00	9.135412642970512920e+00	1.399387700672952706e-01	2.800273054576852605e+00	1.414943461312792916e+00	1.095569440057567512e+00	-2.068806671269955988e+00	-3.485590033495533646e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.179038262222821487e+00	3.403270969344442065e+00	1.772759822219184267e+00	6.856311092132799878e+00	6.239998372603599464e+00	2.655046581416698359e+00	1.480403207366206841e-01	9.953641033949644168e+01	6.402628507991937390e+00	3.454004532207531675e+00	-1.643536009037764034e-01	-1.359985007375853883e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.280385958032944416e+00	4.971152356421725038e+00	5.957652967659421428e+00	1.293089533060758578e+00	1.564579348076557519e+00	4.875864169806186865e+00	4.034545654832679129e-01	3.961732909539659619e+00	2.872178618652351023e+00	3.268286594673027068e+00	-1.792440527247324944e+00	-8.530723014784028280e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.043958630620986039e+00	3.180770149428039151e+00	1.348354008519510261e+00	6.176185242218164895e+00	1.462800253722672306e+00	2.607011573060979526e+00	9.863257747146789711e-01	2.829686300731379944e+00	8.483845945718936576e+00	3.328507531650065410e+00	-4.819237489592989476e+00	-2.970937813912988723e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.002521344768939393e+01	1.016917171886468196e+01	1.561956923703939237e+00	3.741980772216670914e+00	4.412419094916399054e+00	7.099007528187420313e+00	6.919072477900714002e-01	1.673648891902563207e+01	8.270530560846298229e+00	8.134790379011077377e+00	-1.940986249857603374e+00	-7.973970746576258151e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.569242912008087742e+00	9.337370367519616465e+00	8.978601544214122043e+00	3.997935393732531928e+00	6.905199296324425973e+00	5.344807062112458595e+00	4.028431233641471126e-02	2.429043020639620210e+01	9.700705237667673231e+00	3.794551714396779740e+00	-4.559635639237840099e-01	-1.871595121751182589e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.622848144175315088e+00	1.477546117294564976e+00	2.182455571240910608e+00	4.539937532859732450e+00	2.712782693109593524e+00	6.632297701039069793e+00	7.098811169858957326e-01	2.013623966210986538e+01	5.211432486168221523e+00	2.559541579220386165e+00	-7.821126064692258684e-01	-1.815813769205978900e+01
