G	c	dxdt	d2xdt2	m1	W	d2	Fg	Fc	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.630668374670845466e+00	2.574625547087629585e+00	3.238908053456513780e+00	7.374229410905487114e+00	2.377767293094906975e+00	6.223040382435983453e+00	1.354235837128143105e+00	1.272890375406971142e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.637558235577490251e+00	5.513217172579021330e+00	3.207783588915728235e+00	8.228470346188641926e+00	1.269589107016179774e+00	8.367082125652544278e+00	8.092417592129849124e-01	9.179964676680918423e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.059048570149574431e+00	9.115341335622218821e+00	8.929741917078303004e+00	3.453317358028134887e+00	2.433785908095494332e-01	7.910961762472017433e+00	1.064576195519741031e+00	6.782106726642812833e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.299504226086077630e+00	7.676644637920883696e+00	2.752559269549292420e+00	6.945973227361397662e+00	7.173478660395072870e-01	2.465259978151114417e+00	3.618258486912612204e-01	5.659133086229972687e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.333027701526352526e+00	8.637796498330953199e+00	3.662597143510819997e+00	6.110062149021602274e+00	7.003427060274539651e-01	2.299987650329117894e+00	9.977368701790860772e-01	2.397579920449169066e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.466572813651463747e+00	6.875149907533111282e+00	7.827479707611250781e+00	8.495250578481501336e+00	4.634471103493307820e-01	3.345012841538307136e+00	1.315017057905029763e+00	1.835319700900915896e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.648578314464551386e+00	7.113876607268897700e+00	5.060794428087757701e+00	8.728874528831470414e+00	7.950139003863185838e-01	4.729868639218128834e+00	2.784258471879675234e+00	2.125045442507345339e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.857271360670480931e+00	9.028868412513643804e+00	7.717964006826719014e+00	1.444915098723614788e+00	5.409309507234554698e-02	4.806153712705178549e+00	6.042135585139782883e-01	2.941129657090994429e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.062452560783338384e+00	3.778820330393321214e+00	1.537081127707655481e+00	7.026743533807423781e+00	4.009093527935482904e+00	6.961136847800451832e+00	1.031504991903671176e+00	2.543877915869081185e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.457224632018071730e+00	5.407424659895614383e+00	5.690891178964349706e+00	1.194302337482824550e+00	1.562423992521018157e-01	1.434569975179406986e+00	2.059920262122875156e-01	7.375870499456843588e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.084003297345974781e+00	2.781499620283050866e+00	1.302749156774452022e+00	6.139947766664408668e+00	4.592239020401658323e+00	1.599723578407526325e+00	9.763182862839303588e-01	1.062622993474267696e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.571967314479833178e+00	1.011446751353516937e+01	1.571935957123157701e+00	2.998695862644218835e+00	5.774672769042161757e-01	4.326696537159267386e+00	3.733510989492330179e-01	4.430108441978872769e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.500773915831361549e+00	9.425876261379302790e+00	9.215232021700815679e+00	3.644798273460660987e+00	2.349929170793159106e-01	6.870846851310426828e+00	9.135279799823884384e-01	5.105012253986482285e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.650849106248564180e+00	1.521530921538714942e+00	1.911864776143132660e+00	4.422477963659699363e+00	4.121320078924284758e+00	2.357330635348030778e+00	9.197667822385023895e-01	1.781114676467881575e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.329170267103882530e+00	7.278056918660660735e+00	5.964315791992559568e+00	6.473154404072091417e+00	5.009030028719408945e-01	6.302658328996809445e+00	2.697579480477964697e+00	1.485926345660661674e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.942854283053457198e+00	9.762277538648735487e+00	4.353322090103549868e+00	3.812130637507813002e+00	2.110791804087812640e-01	2.984724396562415283e+00	1.289954845934734751e+00	5.319400614776274155e-02
1.000000000000000000e+00	1.000000000000000000e+00	4.211009604157275987e+00	2.430609657019087155e+00	3.866678449166976783e+00	7.481651352313894776e+00	2.140739816922111682e+00	8.653169217267397073e+00	2.438221135395362449e+00	9.808541631603334698e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.873197360440198800e+00	6.245170137670416288e+00	8.808830193009395515e+00	4.096721385195446707e+00	3.093642085307934386e-01	9.438475292008307704e+00	1.507512107665738288e+00	1.971608025684847554e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.855906994886070471e+00	9.103458421299597703e+00	1.148034009701881519e+00	1.808836468161524991e+00	4.520760441809709707e-01	3.663008051721916125e+00	7.249063413598503258e-01	1.897867868138606862e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.440501344169355047e+00	1.227210567758151960e+00	6.876801129425117232e+00	8.020577165984288825e+00	2.653206434317180840e+00	2.971009911361147005e+00	7.961877540569176626e-01	1.233532140568377233e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.728377282667018733e+00	7.162165920817662013e+00	9.670211698267241474e+00	3.498115152364999147e+00	1.038906086319147104e-01	4.308625962153469935e+00	6.475413957542963672e-01	5.257507553821823970e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.058293581054771781e+00	3.881590655363833520e+00	5.791588196791014553e+00	4.822181715657437806e+00	6.494854637863445301e-01	3.125804168470689870e+00	1.449946544251565106e+00	2.305531988540124311e-01
