G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	Fc	m1	W	m2	p	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	1.404989516267993066e+00	4.541019814974282198e+00	-1.035074853182802013e+00	-3.472365486212752206e+00	5.461777095427611783e+01	6.831717946469522573e+00	2.432928799475186281e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	8.649700825313682007e-01	5.265228276086735271e+00	-2.293647371396451362e+00	-7.395450624059422218e+00	3.693839440403150576e+01	2.555213556142193809e+00	4.915962003468117700e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	1.031210348672032762e+00	8.695556609634298439e+00	1.551595413092407671e+00	1.421134861455062115e+01	2.643473844250006266e+01	8.855335773736305427e+00	4.742359766102239291e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	3.763594275816714019e-01	4.058483116214253172e+00	4.202227986364474255e+00	1.363867329513908011e+01	6.793804356364947061e+00	6.519087552534819530e+00	2.870702480888071051e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	9.740801488859682777e-01	8.834068865250703340e+00	4.176736354322446942e+00	1.439835004671820684e+01	6.031440658543032463e+00	2.414872618955946848e+00	1.515669506858292834e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.420188264407829637e+00	1.777252442425731882e+00	-1.144946502262270682e+00	-8.971174390967286527e+00	3.279591532956923317e+01	9.656019268687639823e+00	9.714523004413040042e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	2.788117593925861559e+00	7.984477701383476678e+00	-4.153088784820189616e+00	-2.095849543630760081e+01	2.717248902863364179e+01	5.652877431310519007e+00	3.870217695845353774e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	5.315541852570406789e-01	8.622905376039703640e+00	1.145122431308139177e+00	9.150401870674386373e+00	4.843509952790839179e+00	1.650037847259377743e+00	3.991509551428986242e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	1.110655161481451270e+00	2.631861775505803358e+00	-6.905417022930477877e-01	-1.098300089863782469e+00	2.464943003991573178e+01	6.639372971470027807e+00	3.033642516459819660e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	2.047063375602354296e-01	4.874963589212926607e+00	1.237572522070999437e+00	6.668955988796358980e+00	2.261063792086876578e+00	3.284759897496555947e+00	3.426367001282027047e+01
