G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	Fc	m1	W	m2	p	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.374739754671117531e+00	2.691978523706527682e+00	3.386301623862065124e+00	7.125152217701943513e+00	6.221693446417200235e+00	1.411631288748697255e+00	4.608528489826033692e+00	-1.029086257331362830e+00	-3.448101205934243296e+00	5.460164119665931537e+01	6.816681770372075455e+00	2.386583109233420998e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.594132609297359338e+00	5.881152358039933858e+00	3.170110324091506282e+00	8.162058304608546422e+00	8.248907571244490811e+00	8.636655327188399456e-01	5.307325449243943893e+00	-2.299219172478073947e+00	-7.404234249661127976e+00	3.645593827289282274e+01	2.502058492824671188e+00	4.974076811234967863e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.622439913424772229e+00	8.854515274899503297e+00	9.090303587885577130e+00	3.198193201534814900e+00	7.844756635118780963e+00	1.029129662170722659e+00	8.692466849946201890e+00	1.555660846166273092e+00	1.420066599611101843e+01	2.656517973519490639e+01	8.890592105124053290e+00	4.783240448882259557e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.397102410846837728e+00	7.609231916196361745e+00	3.248870671749068073e+00	6.537867626908808738e+00	2.343291281945850013e+00	3.898981115539661424e-01	4.153377234575449606e+00	4.196851964165676740e+00	1.361142275215057751e+01	6.079169518587622001e+00	6.513196695986219531e+00	2.216102852607739848e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.410681469277284883e+00	8.232995363018888568e+00	3.451087060261535555e+00	6.103913676562982005e+00	2.313686773542334318e+00	9.619257918842396560e-01	8.874740727173110244e+00	4.172525761749227513e+00	1.435500488946452258e+01	5.877173344983723347e+00	2.460096257488548321e+00	1.576310924051347797e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.442944033228654721e+00	6.974753783924563244e+00	7.826452633308568885e+00	8.473271174376220571e+00	3.391327423735940982e+00	1.423856461892831549e+00	1.769170473310570202e+00	-1.150099353481721431e+00	-8.969705094049858829e+00	3.286603302041658736e+01	9.680241489839991331e+00	9.411624461440794676e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.476283170609872020e+00	7.170637392593227410e+00	5.031674322623379325e+00	9.199173171749055911e+00	4.328268733768231513e+00	2.811279695789546729e+00	7.915457529129422909e+00	-4.151993414290906514e+00	-2.098697354373125989e+01	2.810836465816613483e+01	5.622150993192977175e+00	3.934086134555997774e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.887351864941223312e+00	8.619870893532700862e+00	8.084858086989127557e+00	1.048735161130183835e+00	4.672185465739331356e+00	5.216854315809504872e-01	8.605160294137627730e+00	1.141575071625681836e+00	9.175761479696019407e+00	4.923255693158519186e+00	1.714527682205058579e+00	4.142226223980101167e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.299236112840349122e+00	3.281008863865833902e+00	1.611819036603065580e+00	7.150289692823540655e+00	7.045256877862809297e+00	1.106150105294835928e+00	2.659035939683334515e+00	-6.945733654998841322e-01	-1.103781105638025561e+00	2.465628536528706505e+01	6.594105327022137253e+00	3.216680060159244903e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.451424458098204084e+00	5.341800634668111059e+00	5.496954733651928215e+00	1.394137120758092152e+00	1.524032907983170038e+00	2.378730908502660057e-01	4.905882279698015047e+00	1.238008417997285004e+00	6.675207125137712083e+00	2.182641431151711497e+00	3.312806530213226797e+00	3.322330241112338456e+01
