G	c	dx1dt	d2x1dt2	d1	d2	Fc	W	m2	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.291987529793789946e+00	2.750271393964398126e+00	3.353258839871561481e+00	7.088176218837631382e+00	6.074370578115920516e+00	1.458357600673426475e+02	4.482191049759516766e+00	-1.457217673894830234e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.666858622194107298e+00	5.804083178580249580e+00	3.293568900383573972e+00	8.171771936940436021e+00	8.203221120579073045e+00	2.193065952757046944e+02	5.274552026656005310e+00	-2.147390671088346537e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.566051873748806500e+00	8.913337825211316456e+00	9.158923551117680972e+00	3.339370848896019428e+00	7.863808461070991740e+00	2.342001469005615490e+02	8.633972345993699449e+00	2.635815045675113488e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.377920344183054091e+00	7.635772162845089639e+00	3.155001178748073620e+00	6.707515808757691822e+00	2.385617244966212969e+00	5.228184632954405942e+01	4.021246080433267700e+00	-1.265592961366360392e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.362508833548867759e+00	8.297903360851533350e+00	3.471295564493539931e+00	6.169156276259374572e+00	2.326427136088986991e+00	5.218998658573362093e+01	8.846267247419048019e+00	-2.239997401688814804e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.369854755395069734e+00	6.991189605215649472e+00	7.790199963971756958e+00	8.512430152408423822e+00	3.363924332302656861e+00	2.277297923634092172e+02	1.659944395000495954e+00	-2.005347167569175859e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.645833480454522713e+00	7.225337631420929441e+00	4.980471916971811908e+00	9.158352638432464943e+00	4.335562728510125474e+00	1.961814267141075447e+02	8.081292012799142555e+00	-2.117874005359140099e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.846481023101803842e+00	8.538786921300602017e+00	7.944335654192800078e+00	9.656813824006841296e-01	4.630455938737527255e+00	4.013802807412757545e+01	8.630322876395016607e+00	6.208976247475822774e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.326187486944123251e+00	3.242990326746817864e+00	1.618250613124601944e+00	6.990686527950412454e+00	7.130979079139518007e+00	8.312447040248075325e+01	2.565424432014851153e+00	-2.083883992075028502e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.454065849900901597e+00	5.349682991923541131e+00	5.457645149316944888e+00	1.471972132948675904e+00	1.483549914937242642e+00	1.277794218527457737e+01	4.817310873903524637e+00	2.260804418370217839e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.249842408809681338e+00	2.950170512310711146e+00	1.329188108730776197e+00	5.973075774359151602e+00	1.314030454169626827e+00	8.636228451823090069e+00	2.543901479267534071e+00	-2.031752440991557052e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.713968582650915451e+00	9.819894328519918503e+00	1.598776950028279353e+00	3.604375474438094695e+00	4.552120834243048364e+00	2.352796926023288293e+01	7.392412008333467455e+00	-2.641324586521295359e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.508583156134619685e+00	9.469978622077002584e+00	9.184056991568809281e+00	3.712676920717305151e+00	7.199836067446914178e+00	2.525653755037105839e+02	5.894211198647444583e+00	1.026861647650880283e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.910243180247527039e+00	1.321650194683358093e+00	2.258803273616468044e+00	4.227371851373448841e+00	2.740557706627817058e+00	2.412897986639296377e+01	6.680453615847991244e+00	-1.826319888613009113e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.743186819304478608e+00	7.217908637380072712e+00	5.830268221103167114e+00	6.671882300814475641e+00	6.838398699177338003e+00	2.615713720666088875e+02	2.784653824351135398e+00	-3.623343755212251160e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.607542904594959410e+00	9.366189295495543021e+00	4.566304067294842284e+00	4.057226588557094615e+00	3.434401330450805645e+00	5.843764057170882609e+01	2.929115045180184396e+00	-1.953637020854902095e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.746082735344527848e+00	2.748698073033728040e+00	4.132223851655007607e+00	7.647862186962406383e+00	8.967693186610029343e+00	2.835056657149435182e+02	1.411619559344693631e+00	-3.857239651559011051e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.699635331803568405e+00	6.145232989267227275e+00	9.040802990786389159e+00	4.610473478055886254e+00	9.063479853642492756e+00	3.833805429078296356e+02	3.960452496076277473e+00	-2.917360978862677812e-02
1.000000000000000000e+00	1.000000000000000000e+00	4.809944595494985542e+00	9.228105704251101216e+00	1.260621997747205514e+00	1.673423153440087630e+00	3.796034998032189911e+00	7.293127775532020962e+00	5.998351558162428709e+00	-1.018217182779528507e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.739680494085702911e+00	1.302468182742953617e+00	6.965981776830688865e+00	8.061729042368305898e+00	3.131762524358453703e+00	1.721519839554218834e+02	8.715150643144495390e+00	-1.144443180004819638e+01
