G	c	dx1dt	d2x1dt2	d1	d2	Fc	W	m2	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.278398251984412148e+00	2.073764915693602884e+00	3.440363748385464771e+00	6.957504494147634944e+00	6.094011869163762363e+00	1.453751403312724904e+02	5.436270473091594724e+00	-1.462114917401801684e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.637677242278890333e+00	5.482753927252764115e+00	4.054097775771003498e+00	8.724811724332703022e+00	7.610984421774301900e+00	2.201743481043048689e+02	4.691500224680154041e+00	-2.138685322751873485e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.406824097822076958e+00	9.659084949382162222e+00	9.106726177239705677e+00	3.877150666718288008e+00	7.513513291680081529e+00	2.490162315180001826e+02	8.350749618308242361e+00	4.115452746942526829e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.144121054220297751e+00	8.121843047370003177e+00	3.293454112017974111e+00	5.881108248297246099e+00	1.425809699138983921e+00	7.014952512609914947e+01	3.666830525319650036e+00	-1.202382931943505717e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.531302841830481043e+00	8.934072039416552258e+00	3.478033877700743126e+00	6.479802776884951321e+00	1.841636325311786226e+00	4.339155343048283697e+01	8.997007237133411550e+00	-2.253488537225291921e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.586476179049515878e+00	7.642644052747193939e+00	7.457817545338254028e+00	8.938149004958013677e+00	3.645533768308646838e+00	2.046068561856092458e+02	1.824003510888430490e+00	-1.416528964666519119e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.811782203950316639e-01	6.971069082055417532e+00	4.499162829851303336e+00	8.426234533019204775e+00	4.223661795681568520e+00	1.933701333739209076e+02	8.100946933757988688e+00	-2.031626284840441699e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.812406505564711168e+00	8.807325646834199162e+00	7.444158801994033681e+00	1.423101332019118370e+00	4.554311845505073286e+00	3.793217935515146166e+01	8.144811744543972054e+00	7.206753055542727715e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.436276387731374449e+00	3.289202498450019885e+00	1.791593351490905262e+00	7.551193303812521407e+00	6.685275923502934425e+00	8.444676195965554655e+01	3.451000069092490907e+00	-2.160133517345918364e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.399988007230880349e+00	5.771736223866226645e+00	5.806611449058484808e+00	9.524428123430392912e-01	5.447073824331227776e-01	2.530380759837088078e+01	4.624021453085282118e+00	1.725330106385865481e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.181948655652155455e+00	2.830016181484670046e+00	1.747060757765549921e+00	5.811787396433624409e+00	1.411234063183937737e+00	-2.058157390093259664e+01	3.141031240673957114e+00	-2.105381121691137025e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.947491429057210510e+00	9.940735041629402247e+00	1.354860657050543926e+00	3.689556536266787035e+00	4.733721651530986563e+00	1.463854433145879241e+01	9.081611729350642648e+00	-2.562657563104391656e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.958679442830201012e+00	9.536739808602582968e+00	9.761623958323644601e+00	4.069799764632414885e+00	6.734373724580325238e+00	2.350818624816704698e+02	5.339001995665333844e+00	1.778977554735453825e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.478039222500897587e+00	1.650947162872092644e+00	2.422923930579706120e+00	3.641547168154798619e+00	2.450355953899729489e+00	4.587333226285085175e+01	6.905748652783033847e+00	-1.949904804101895195e+01
