G	c	dx1dt	d2x1dt2	d1	d2	Fc	W	m2	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.273385951267929528e+00	2.638625215713036987e+00	3.569194582929129389e+00	7.108263715017612228e+00	5.889447081069431711e+00	1.442141597546180378e+02	4.793755318208059890e+00	-1.445279315052090219e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.010553182350334644e+01	6.011596346481022479e+00	3.255373177107997673e+00	8.185233080239775916e+00	8.310257685710801923e+00	2.157367068172486029e+02	5.219527679736647663e+00	-2.100456365697834826e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.886940358872981172e+00	9.073585631826823317e+00	9.103989369834085466e+00	3.542190711502952283e+00	8.054908661668056524e+00	2.343139083721643487e+02	8.609363072114973647e+00	2.211287127267032027e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.336812476996861676e+00	7.304781557115205715e+00	3.171329301631726327e+00	6.511551301970701644e+00	2.556582136322466781e+00	6.025544799006938490e+01	3.997085718914086705e+00	-1.244912476241524857e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.641743714096916218e+00	8.769142958957750977e+00	3.271389460259781501e+00	5.609558572588291270e+00	2.024547828158642204e+00	4.246688879538319128e+01	8.574832156982946429e+00	-2.271815638345155719e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.070498738786496595e+00	7.067990336451194899e+00	8.192165457914217797e+00	8.396984927997213077e+00	3.453567122539631384e+00	2.388464051460198334e+02	2.190110329182222593e+00	-1.239358827928740414e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.590477202499448683e+00	7.374992833304374606e+00	5.051140763808075640e+00	8.714559524563183501e+00	4.065208237224874566e+00	1.997589936561625450e+02	8.303796376992330863e+00	-2.055686821460252034e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.541768993540769017e+00	8.180455002061510328e+00	7.639985059434773795e+00	1.221920362573413854e+00	4.951457068134977213e+00	4.168209432901839051e+01	8.295183676228237601e+00	6.545887178414573349e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.953075973456070535e+00	3.468020903000411881e+00	1.482290698053154498e+00	6.613107374126645510e+00	7.073341850147185639e+00	8.961578130195630365e+01	2.856889107061030053e+00	-2.170584613922906669e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.584960826172769011e+00	5.545686650035759335e+00	5.423572909327647018e+00	1.199001008755661513e+00	1.096288390426002568e+00	2.445638188710374195e+00	4.367017258775057975e+00	2.309466426710257814e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.431139237177946555e+00	3.442666445909186912e+00	1.550390795520286691e+00	5.841655367308617564e+00	1.252191645679602727e+00	1.434075771685875367e+01	2.759771694080801474e+00	-2.029544350858514790e+01
