G	c	dx1dt	d2x1dt2	m2	Fc	m1	Fg	p	d2	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	4.631711171227076207e+00	7.008086431481841849e+00	2.541709523176402197e+00	2.550732039407889395e+00	6.099251437095817074e+00	4.515549869186640031e+00	-5.500672950406952033e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	1.008291325283862250e+01	8.210764815804534322e+00	5.160272678236275112e+00	1.013487411971357588e+01	8.527950531585334559e+00	4.939670349769079039e+00	-7.313540104941569808e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	4.009346112972679066e+01	3.163632554688424303e+00	-6.084891412107397457e+01	-3.359990523543715426e+02	8.154849820270266392e+00	8.525777998833813598e+00	-2.517727222193582293e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	1.241022179319659813e+01	6.501940227217530399e+00	1.319749156312364136e+01	9.510270485268387475e+00	2.011416607464902917e+00	3.576940032983472406e+00	-1.369641587886000433e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	1.412434641688709647e+01	5.709195395569330422e+00	1.991789017618019741e+01	6.291768618885805964e+00	2.511325663669943253e+00	8.574236249115948283e+00	-6.238742283333843730e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	2.842750776449570793e+01	8.586754122082083995e+00	3.235969207337250850e+02	1.763784605181807592e+02	3.636279802176456410e+00	1.910027489413243629e+00	1.822486700183153019e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	1.890645112338192035e+01	8.633893778470161706e+00	2.176369799684001904e+01	1.856522305873780976e+00	3.883138892252650187e+00	7.978086884601005124e+00	-7.323656586290568704e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	3.500019125276471499e+01	1.117823195019920668e+00	-3.967563391880796786e+01	-6.378615825124063576e+02	4.833918142794292550e+00	8.566595907749265493e+00	-1.757428931289666707e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	1.252239354839547403e+00	6.579203973381958725e+00	8.556059479907924814e-01	1.326015706189408672e+00	7.361285938030412090e+00	2.418803596263006561e+00	9.777482354406656029e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.469451717948921043e+01	1.480192286662387557e+00	-1.906741210544128506e+01	-1.333058140271492391e+02	1.251490101855587511e+00	4.386933754049424650e+00	-4.856428833712614690e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.125778442131427637e+00	3.136096011243938442e+00	1.574543590320337305e+00	1.828079425883669451e+00	5.938071766545464314e+00	1.355287164231000485e-01	2.346183374924808440e+00	1.247687314576162221e+00	2.539445010374602685e+00	3.802680372242095430e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.853258430166103921e+00	1.000870602632729955e+01	1.371628603137864388e+00	7.606162044349925822e+00	3.697867446890039211e+00	6.104663820642164396e+00	5.243897605139077989e+00	4.577938819186177177e+00	7.463444220868944434e+00	-1.391518476219383160e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.558015580335133876e+00	9.236329949147659590e+00	9.257299353337213432e+00	4.227639167284159072e+01	3.994383215643941831e+00	-7.368453610651438623e+01	-3.783027690313480207e+02	7.429835996713498147e+00	5.546135081445483728e+00	-2.001146352237792314e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.772552091971206778e+00	1.482971381037684999e+00	1.720504333049172274e+00	6.859279715932288246e-01	4.460176001282523117e+00	2.545687076649134184e+00	1.584177550414748170e+00	2.471719191295557394e+00	6.571582642192707269e+00	-7.142344691154027814e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.478040678814608988e+00	7.428980091833762955e+00	5.460844786958421793e+00	2.123277299723226719e+01	6.155843787573106241e+00	1.550630807727837919e+02	8.946396861774985609e+01	7.088648090327549056e+00	3.191403816703276775e+00	5.093162143682667953e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.383406643891166965e+00	9.277517460116685655e+00	4.829261142928119810e+00	2.277933490354487134e+01	3.990695129104925520e+00	-1.484268046695734711e+02	-1.250672343852641717e+02	2.785765562912948745e+00	3.223773507489263057e+00	-4.316984995537119119e+00
