G	c	dx1dt	d2x1dt2	m2	Fc	m1	Fg	p	d2	W	d1
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	4.466767246890201548e+00	7.055912142467035686e+00	4.093624532512088798e+00	2.079110053170341477e+00	6.153063313810763546e+00	4.534724673207691126e+00	-5.487693517487191919e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	9.470427425426821699e+00	8.159953066428277779e+00	6.133807165493027291e+00	5.783087173788622692e+00	8.247841842762266396e+00	5.272114639525494084e+00	-7.383423768474817628e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	4.054822278396159163e+01	3.245715394924473696e+00	-6.286369745882505100e+01	-3.357979284335590933e+02	7.837238784930081970e+00	8.688707297270070740e+00	-2.548677667322260021e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	1.229245636579179468e+01	6.620419216523988126e+00	1.183271221182358879e+01	9.077621770912747579e+00	2.384478206715548332e+00	4.059025211425942636e+00	-1.752488265749921448e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	1.427861593178603528e+01	6.146835173537618324e+00	1.820271940287528523e+01	6.219884770248818029e+00	2.341393356376445745e+00	8.822624407996395135e+00	-6.105386697692361864e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	2.715114795141730042e+01	8.494178114624176601e+00	3.217570086577760549e+02	1.782794113291665212e+02	3.424206897243297743e+00	1.789753750756989170e+00	1.869721006631499804e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	1.825176527136011728e+01	9.162785165127766973e+00	2.245371674554310104e+01	4.683833136793664309e+00	4.242997116214643150e+00	8.003662017572780840e+00	-7.262366086493534212e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	3.453904257413589818e+01	1.101386169655929281e+00	-4.008512267706526444e+01	-6.351058554725266276e+02	4.676834486329926932e+00	8.633087737756952151e+00	-1.751420734507818722e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	2.589569433915543062e+00	7.062111954895490484e+00	7.244823635448138788e-01	3.250988101604563307e-01	7.117175063506402388e+00	2.627859675905723336e+00	9.682998265259476156e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	1.455880608523142961e+01	1.474751017281860088e+00	-2.003934821994607773e+01	-1.354727180151440677e+02	1.509484362210733011e+00	4.881371173337123004e+00	-5.138126675409729671e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	1.938093032296922313e+00	5.940437788130579655e+00	5.055505339584361879e-01	-1.188295191066764817e-02	1.311462710739140780e+00	2.496044312385470310e+00	1.007845331354310092e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	7.741871383053883449e+00	3.593484545097056060e+00	5.977677605424911000e+00	6.307822792179844207e+00	4.526562838344202255e+00	7.357894377700418431e+00	-1.370178075829653075e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	4.349029092978693001e+01	3.772093569803331992e+00	-7.377110825261874538e+01	-3.813442975551209315e+02	7.279228775379284144e+00	5.819812504752910343e+00	-1.969623176843318291e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	1.513854963903016548e+00	4.172870706210980885e+00	1.806613191610507041e+00	6.978373012411963616e-01	2.744235196553848510e+00	6.717828134084344427e+00	-7.559473176479913903e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.637175090572816849e+00	7.348040995026840605e+00	5.786515071492047468e+00	2.130725306927900320e+01	6.591094414203960916e+00	1.541263953901986667e+02	8.925050268730718983e+01	6.775822119723155623e+00	2.779204629214398814e+00	5.146282984672468253e+00
