G	c	dx1dt	d2x1dt2	m1	m2	W	p	Fc	Fg	d1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.210991016248676111e+00	2.624562638077771570e+00	3.334793027915063046e+00	7.102872076393006440e-01	7.027725059243007166e+00	1.608394315019915810e+00	6.200256915683133307e+00	4.370083002755323909e-01	3.267262357358461156e+00	1.318338539946041221e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.528116738624142101e+00	5.806088271232606957e+00	3.309248141261048382e+00	7.001652900411864389e-01	8.243022619728066047e+00	8.423718668589357250e-01	8.265220701281096538e+00	5.919025478426716003e-01	3.250606184452007330e+00	8.622835015683817661e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.541044004065486028e+00	8.854216006282836560e+00	9.186598378977404167e+00	1.217917754417075615e+00	3.338645777343958176e+00	4.289307320614682562e-01	7.936272002522058777e+00	3.480196523181977031e-01	1.691229355626452602e+00	8.310954753237654868e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.406815982355979600e+00	7.685438677713366751e+00	3.224155497018159178e+00	7.049546919089251240e-01	6.561771932660087181e+00	1.046917300018576524e+00	2.367301532409678444e+00	1.730139836789397201e-01	1.634680805054880448e+00	5.801951118060889590e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.582001279610963262e+00	8.263623406816156702e+00	3.511601371881222011e+00	7.198411898564530675e-01	6.159233000937312852e+00	2.545888268330752879e+00	2.328926158647355749e+00	1.698942724233528379e-01	6.033575803423594230e-01	1.842988688763284033e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.441575212796904815e+00	6.910603221632432458e+00	7.859177617704199648e+00	1.129513346138973695e+00	8.472144784187898736e+00	3.533430549953424649e+00	3.426173893398568815e+00	1.638479534848215624e-01	6.931766279450310986e-01	3.746314540881071409e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.670831127393346049e+00	7.272440047796314033e+00	4.996165900213232369e+00	9.088394887517740051e-01	9.117050609698802432e+00	6.002301737214637001e+00	4.274998758600159654e+00	2.550460738877184941e-01	4.224961669366784078e-01	2.560318347875971678e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.826368883295920398e+00	8.633953293374110771e+00	8.093031614259780682e+00	1.142744535741357703e+00	1.124830382082945501e+00	1.291292514789093293e-01	4.688516398611116465e+00	2.274556681320520635e-01	2.008548881597753244e+00	9.720207044187630929e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.375943720600571574e+00	3.350933661010814468e+00	1.602622936417902322e+00	4.305761803557151546e-01	7.127943877044821797e+00	1.094498535679320428e+00	7.047313532622039745e+00	6.316643841312923335e-01	3.943225759839471323e+00	2.212813708962048029e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.391483493138721883e+00	5.404607011014319617e+00	5.389178600223284654e+00	9.449339837458325952e-01	1.490972375354800095e+00	1.883289328936761653e-01	1.527146428291989988e+00	8.843449014539564446e-02	2.757975032191296361e+00	1.226992126120606041e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.281634112819453719e+00	3.029854722622936869e+00	1.255282867199901231e+00	3.559397934229504012e-01	5.922431581540642753e+00	5.001594688731511695e+00	1.291673299768557603e+00	1.172693513001826782e-01	7.926040860561501811e-01	4.546001055843357785e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.828210250693951266e+00	9.847032252937774288e+00	1.629008822859039141e+00	4.294910697822563739e-01	3.616565928612651692e+00	3.760628552780230782e-01	4.495549554714310503e+00	4.017231601487634696e-01	1.968469646767972758e+00	4.966622906846015345e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.460844733964568931e+00	9.524521698706871931e+00	9.186499226574969867e+00	1.216211471996515359e+00	3.741502538265913280e+00	4.415022185941092081e-01	7.276242510600268609e+00	3.190936766132900781e-01	1.794078178855227579e+00	8.460536339165433128e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.924755083898026520e+00	1.370145178570760569e+00	2.287952679640952613e+00	5.511802137919823430e-01	4.198935824298813735e+00	1.428616045048801020e+00	2.688544450144594755e+00	2.234016688688843510e-01	4.263659980686709261e+00	1.140078506226398086e-01
