G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	d1	d2	m2	m1	Fg	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	4.629302474423911740e+00	2.370699739312849275e+00	3.949354150846201783e+00	7.040814096632677099e+00	6.129453521159459406e+00	4.577531967773930788e+00	4.244560773150163335e+00	6.745075572639234629e+00	2.080760138021950212e+01	1.797194556381745079e+00	-2.685402112153060443e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.706536727141150678e+00	5.992986801803766639e+00	3.131759590892654099e+00	8.562265066812367209e+00	8.367745723827281878e+00	2.355902992317663536e+00	5.623384943225475219e+00	2.414682079963405670e+00	7.432145012540097184e+00	2.817087296825178999e+00	-6.201010162640633325e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.736324742773260432e+00	9.531454682977139825e+00	8.885044532352530666e+00	2.387165469284266983e+00	7.897061018674393473e+00	8.768822647756731925e+00	8.409669395616944598e+00	8.952850838721406745e+00	5.654035176736616819e+00	8.730013661979764805e+00	-3.829456901053763431e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.298100110689214937e+00	7.928795872065919070e+00	3.366929814024524070e+00	6.960220047928677545e+00	2.305301188903738030e+00	1.969751273912876854e+00	3.716749806315229332e+00	6.483001869044376697e+00	2.064622667424861291e+01	7.842012137631097168e+00	-9.451559793431621870e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.680440664052745170e+00	8.697789803598476865e+00	3.584756638081188829e+00	6.394787423233350587e+00	2.841915211644484351e+00	3.379061737915231234e+00	8.781168121247066694e+00	2.211278868576548540e+00	3.363621062168251186e+00	4.122973554309600885e+00	-8.716551503713942850e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.307565464767649566e+00	7.023547571733995909e+00	7.814216957687353471e+00	7.998575157310193084e+00	3.520686452875811057e+00	1.212519679208612011e+01	1.442287036924659427e+00	9.693425062216002530e+00	9.259166486974955035e+01	4.608053686132865145e+00	5.691424869825269184e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.054635011063992600e+00	7.322974035521393255e+00	4.986848354742477341e+00	9.406311486909984865e+00	4.459899696878581565e+00	1.376298484918569898e+01	8.419640307986327343e+00	5.757661001251996424e+00	1.227141102409091644e+01	5.991923056906102829e+00	-1.076056845308833232e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.737460583966752736e+00	8.355288829197055733e+00	8.252370859276940251e+00	1.395905023156521985e+00	4.968350703065066654e+00	4.082521696585789783e+00	8.564644712152107431e+00	2.159277830767097228e+00	-4.139061289558849110e-01	6.686911583654704394e-01	-9.421586877503928292e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.532752830851846326e+00	3.511768796202549225e+00	1.352631842063758194e+00	7.218231103676568949e+00	7.299243692956877361e+00	1.464270678219160793e+00	1.752763579987955955e+00	6.660025785146042487e+00	3.515616875456213108e+01	3.205285446301697760e+00	-2.133239259006853104e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.937875459762010699e+00	5.384468609548628493e+00	5.294009462549668754e+00	1.044525906966250250e+00	2.071931062110187405e+00	8.563302910157413184e-01	4.927966472083626037e+00	3.281512320016656048e+00	2.224497829277836569e+00	3.000632653384107229e+00	-3.864916118001089984e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.457380777874639932e-01	3.183573884766340178e+00	1.158365920618600775e+00	6.124500762420490574e+00	1.357265882658931888e+00	1.779042261204579756e+00	2.641329654890850698e+00	8.349760770095764784e+00	4.019796416109591064e+01	3.219547551919671236e+00	2.505065685537644171e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.396172426732116278e+00	9.897547718018389062e+00	1.865884069202902396e+00	3.861311295667164689e+00	4.525299165594772077e+00	9.462876436524969570e-01	7.243834492892264443e+00	8.102171681978523665e+00	8.089233485780122024e+00	8.354351544036472177e+00	-8.167228600826433649e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.704881572523648359e+00	9.574173023429887408e+00	9.236757055290196305e+00	3.606110971016487365e+00	7.097563963920148211e+00	8.182826393726120529e+00	5.446196222700307565e+00	9.341206607648548044e+00	1.160792061100680250e+01	3.493564369751344323e+00	-4.316686714649525811e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.363754473623769226e+00	1.330439041284316559e+00	1.959182025389068382e+00	4.296027688864377581e+00	2.671122550931642969e+00	2.639593447125093473e+00	6.689572073485503978e+00	5.431937451143092233e+00	5.942459620225860384e+00	2.123659364583209808e+00	-5.811003618686505234e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.579676869228509251e+00	7.412657658924625359e+00	5.525502729657130629e+00	6.496029692837592684e+00	6.574393223345213144e+00	1.530774239079252474e+01	2.636246545293018162e+00	5.386211057623647491e+00	2.440102559659887405e+01	5.188275596908648701e+00	-1.745843134044933436e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.794480917856724034e+00	9.605413942400884864e+00	5.217077694647389130e+00	4.246093592332691458e+00	3.522890140474242315e+00	5.530180236497507451e+00	2.638104582595661718e+00	8.116792919372146642e+00	2.219834328131162238e+01	9.051191281373242248e+00	-3.356937477498043165e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.874981540179126771e+00	2.272966505950427152e+00	4.425147487077640385e+00	7.509434990654093589e+00	8.726308026484726810e+00	9.703908043358996593e+00	1.081659117430984640e+00	1.681063985232883695e+00	2.559362674199073950e+01	3.106881483929615051e+00	-4.136133738384535263e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.143289338309464220e+00	5.696239071250557728e+00	9.330837480186847444e+00	4.483726789008963820e+00	9.081306605254628295e+00	1.445300099941685268e+01	3.941464695200525004e+00	6.103405896948713938e+00	1.321956844562249422e+01	1.757486352902015714e+00	-5.058165338921680814e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.710914272903221622e+00	9.357852228615493928e+00	1.199791737021213445e+00	1.604542453071605923e+00	3.827975990024497399e+00	2.338563968782825242e+00	6.285408975222269490e+00	5.321987425059789167e+00	3.269348011116063990e+00	4.206666009407610929e+00	-2.180906548286451851e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.561559615227150477e+00	1.706220769181087338e+00	7.390570359089355001e+00	7.690695248775779369e+00	3.110884108943859250e+00	6.210782537454828223e+00	8.848019867948716310e+00	1.930150159676465638e+00	2.568017480968396882e+00	7.508456662499487066e+00	-2.155476401049664048e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.414458788932348554e+00	7.747632507113154432e+00	9.365919073489942903e+00	3.534315104847225442e+00	4.457735667357466625e+00	7.029134959837045393e+00	6.528341630621291358e+00	4.870478101239152480e+00	4.189431542265991126e+00	5.831473757489046505e+00	-2.376336864882203486e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.275840289503085145e+00	3.335561833065481263e+00	6.249394860977699473e+00	4.992909116387834523e+00	3.355140096686715090e+00	8.737164002294599996e+00	5.087398078342242336e+00	8.210659624242536481e+00	1.654408913768181577e+01	8.438991806881421809e+00	-3.113345678062415089e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.307008655833067579e+00	9.207503265373944146e+00	9.309022068113856463e+00	7.404465756689643463e+00	7.028212542676905095e+00	1.809170785745740062e+01	9.789977619316188040e+00	8.977384128096714377e+00	1.278292929555493807e+01	9.751434079261573018e+00	-4.397419451420570340e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.305594553773188338e+00	9.328068967848436088e+00	1.401605800973971805e+00	4.059490224602479103e+00	7.652206470819426620e+00	2.987208355504303636e+00	7.855510400085505829e+00	2.367443124022463596e+00	1.366233393979761512e+00	8.718413756075957366e+00	-1.162194855651369494e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.873331952983076754e+00	9.345241488329564916e+00	4.969517640411687864e+00	1.121510384848815045e+00	6.790015908547856860e+00	6.962437346756755296e+00	9.110924050391522755e+00	1.799493978645934522e+00	2.429178919825635496e+00	6.306638645631888807e+00	-9.956212657135066024e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.754158864579681953e+00	5.580256891619336912e+00	3.301786393091542315e+00	4.731306987712119216e+00	8.800748744852684879e+00	3.476273946071479770e+00	5.732765145459032041e+00	3.402609701847075563e+00	4.767712779776543286e+00	5.886246507100288738e+00	-3.196956136723588315e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.136049131086617869e+00	8.754797910010742257e+00	7.457375622687507644e+00	9.888760498591690151e+00	4.977180647108939482e+00	1.209629416104931288e+01	3.485815491001708288e+00	9.275197863910717544e+00	5.135905744063178702e+01	1.130833549539444816e+00	-2.021358877599020900e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.395582406604137127e+00	8.496948603274235623e+00	9.694969410618911709e+00	6.806078020694650732e+00	2.550137757623364809e+00	4.174443711623734288e+00	1.330727441996574223e+00	1.853773371527496661e+00	1.934906579539984861e+01	9.989386689440280520e+00	-1.869614946327998268e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.511308002911553316e+00	4.023524107904898450e+00	2.760375108264875532e+00	6.839785225168110827e+00	7.855097673496839406e+00	3.869900743314695468e+00	7.686157510249506331e+00	7.180490287961813323e+00	1.564556467400782580e+01	4.498833967380602594e+00	-4.344478709690799292e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.234118735753988227e+00	8.239089339891673802e+00	7.098278631793785820e+00	6.546647006233511590e+00	4.032304211539217143e+00	2.009086923058433527e+01	2.085136341997805953e+00	1.682187518893016209e+00	1.247392441345427727e+01	2.336439422795070886e+00	-9.538281151488708076e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.125117046349573435e+00	1.776168047229744529e+00	2.504965665668675623e+00	2.735842092638030909e+00	6.970587775192176316e+00	2.809047182446197333e+00	3.492785958657628420e+00	6.618326603641528472e+00	1.052503587339917424e+01	6.998868515492946862e+00	-1.202920549527883054e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.698493471567876778e+00	6.368455281759401565e+00	6.601046747368990886e+00	4.840431628693289134e+00	3.772244355697287332e+00	7.714634723220062718e+00	5.583422557422086818e+00	4.213966420296722859e+00	6.478145857790356565e+00	3.392314820219846982e+00	-9.163038183831302774e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.414775034678864563e+00	2.958317342418953722e+00	5.095987566141726433e+00	7.676043532915601375e+00	1.847063616868803715e+00	5.173317210067756022e+00	6.422440629180467653e+00	7.949736813669835200e+00	2.140004071653777018e+01	6.513407317185333945e+00	-4.479571273725004943e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.655096590377043597e+00	2.248338654643236456e+00	1.010956148337656835e+01	1.680017380732775178e+00	9.950924683171198382e+00	9.709525507968526981e+00	6.131922143077229492e+00	3.021486680076751696e+00	2.102130409855148319e+00	6.055876686073300874e+00	-3.214115310487783290e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.825801977213094673e+00	1.953848569987891359e+00	5.977303501078060854e+00	3.777571808587593782e+00	2.354936749950291563e+00	1.975919325056060050e+00	2.175904956536119705e+00	6.606059847390650219e+00	1.865764528516913856e+01	5.096369014448232981e+00	-1.024732958208120692e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.423403944549958666e+00	7.710531921423009472e+00	4.347507067340652398e+00	3.556511235247888258e+00	1.021565334021934035e+01	5.531952721404315376e+00	4.512102868938580258e+00	2.987378627684771804e+00	4.123715453912919493e+00	8.726932189721184230e+00	-3.535445260956281572e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.668958743497028330e+00	4.000470183628493714e+00	2.299785073891856158e+00	4.603326107532079270e+00	1.010110192430009945e+01	4.713563167654760022e+00	6.546361649484318868e+00	7.213913183698681841e+00	1.089452807437056769e+01	3.754378210153872963e+00	-1.938746744662511503e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.064740901237193782e+00	7.824996019260739288e+00	2.721112667131623919e+00	9.902167313326378562e+00	8.321299349027986736e+00	1.084414111630541910e+01	9.368580205174541931e+00	8.656271082950103946e+00	1.765881588898966115e+01	5.297220660950787696e+00	-2.310894201584878829e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.908441951107410439e+00	1.616359868017547941e+00	2.605987488236692240e+00	1.651336298366430588e+00	6.952856501611344164e+00	2.498573509306814877e+00	7.406198601008969540e+00	1.596981521955949557e+00	1.558459061690087077e+00	5.992106047842552741e+00	-8.948625446440136955e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.297257704831572767e+00	3.667552926152161774e+00	3.064691577943495115e+00	5.473954450455963183e+00	6.103101750396584535e+00	4.360691902862046554e+00	9.079383283036788654e+00	8.738524039749108852e+00	1.054960742617680225e+01	6.802305469417601280e+00	-2.615317808705867719e+02
