G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	Fg	m1	m2	d1	d2	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	1.625823031174986255e+01	4.541019814974282198e+00	-1.201555129640715514e+01	6.836778300866514613e+00	1.133169819939552525e+01	0.000000000000000000e+00	1.747877939373641709e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	1.147664455907499281e+01	5.265228276086735271e+00	-7.297245920948776998e+00	2.548767205776064415e+00	1.751937463834651965e+01	0.000000000000000000e+00	3.823790306912729875e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	2.869774558951830201e+00	8.695556609634298439e+00	-3.186501188108619154e+00	8.866185790569041103e+00	1.828519227968434393e+02	0.000000000000000000e+00	3.034865170696318870e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	2.097051019998044552e+00	4.058483116214253172e+00	-3.543909682973898967e+00	6.514948950628724589e+00	4.775105763728834773e+01	0.000000000000000000e+00	2.559117972833659493e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	1.740630619373378485e+00	8.834068865250703340e+00	-6.568197370334807772e+00	2.412467594209704025e+00	7.824154873849583858e+00	0.000000000000000000e+00	9.618418450511910578e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	4.186331481036487112e+00	1.777252442425731882e+00	-2.202650801959408877e+00	9.656283930181439601e+00	1.894916006214875992e+01	0.000000000000000000e+00	9.666477586040993941e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	5.366761101957542301e+00	7.984477701383476678e+00	-1.012527252846748027e+01	5.672240536571023561e+00	6.827490827331570422e+00	0.000000000000000000e+00	6.098630821982220063e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	5.997817957828287527e-01	8.622905376039703640e+00	-1.111779664918164379e+00	1.654058251855242023e+00	1.135289612549583893e+02	0.000000000000000000e+00	3.517771525252315001e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	1.549036191425538433e+01	2.631861775505803358e+00	-5.743238347784298981e+00	6.637552766808325622e+00	1.961615480104855536e+01	0.000000000000000000e+00	2.562066803856388120e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	4.091174785966860128e-01	4.874963589212926607e+00	-1.317200996300555316e+00	3.282635839408188705e+00	8.914877358045706046e+01	0.000000000000000000e+00	2.945937536485346442e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.305578239670098117e+00	2.601527933179697882e+00	2.491089169711135920e+00	-4.952281887525967541e+00	8.225732254325366810e+00	4.915613768557178354e+00	0.000000000000000000e+00	4.719577822083706131e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.529601317244285497e+00	1.635950841176702975e+00	7.361598663355887417e+00	-2.660413586816476883e+00	8.363799123568142591e+00	2.241646485607455190e+02	0.000000000000000000e+00	3.889771189549588826e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	7.275429733387385411e+00	2.889275874252435372e+00	5.821400120611479601e+00	-2.298388040116785991e+00	9.820216621754923381e+00	2.104194925972151680e+02	0.000000000000000000e+00	3.397648265176797366e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	2.740090420146628958e+00	8.449770374497267866e+00	6.712697674932304182e+00	-2.070942692677515851e+01	5.519908001703892175e+00	5.182249527248565357e+00	0.000000000000000000e+00	1.163281692174880533e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	6.777948319587530079e+00	6.085826801974913991e+00	2.761699566335328981e+00	-2.482680777213303713e+00	5.098081946217983607e+00	1.496327452115360401e+01	0.000000000000000000e+00	1.054974562786064674e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.345165669712116596e+00	1.430141014949959155e+00	2.907887041272608108e+00	-1.252436604720912561e+00	7.786013385778220552e+00	4.801771439249853302e+01	0.000000000000000000e+00	1.063031625201186436e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	8.966464776338881393e+00	2.595963657680660930e+01	1.370018363148451934e+00	-3.971195685255023200e+00	2.201536344776792387e+00	2.872227615954081603e+00	0.000000000000000000e+00	1.495081971627968187e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	9.057957824464409669e+00	6.886583333651151939e+00	3.889991910583282753e+00	-2.951980308223776550e+00	5.928821176425579154e+00	4.467304218558729900e+01	0.000000000000000000e+00	2.293624365388046371e+01
