G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	Fg	m1	m2	d1	d2	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.391492881248950653e+00	2.404259072480323223e+00	3.362900074314341570e+00	7.180752439391805630e+00	6.127703199374900933e+00	1.710725764756704592e+01	4.737059001425665272e+00	-1.181880865778885159e+01	5.969422934385933743e+00	5.537174428113697644e+00	0.000000000000000000e+00	1.792257388543112739e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.450926036507983241e+00	6.365156561436586813e+00	2.981229364719349295e+00	7.435240277343846849e+00	8.223217767508671727e+00	1.142143531710099325e+01	5.077085209122704335e+00	-7.937524743976692498e+00	2.880150385972864324e+00	1.901741347633664958e+01	0.000000000000000000e+00	3.942669398174761852e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.344140115031152938e+00	8.456209392658676549e+00	9.191247722496227013e+00	3.499520021280065674e+00	8.353202912774886357e+00	2.493665191823526417e+00	8.669415356090272695e+00	-2.981032902036120813e+00	9.096621346385298068e+00	1.850022132515883300e+02	0.000000000000000000e+00	3.131649315602034989e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.283877006699148282e+00	7.556306235227729040e+00	2.928378325736497256e+00	6.840713717324366172e+00	2.132978516392967983e+00	2.935244419474913435e+00	4.444601035403276335e+00	-3.823476634051750089e+00	6.154170814920828292e+00	4.934270118832010610e+01	0.000000000000000000e+00	2.622438482032158547e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.775960173668884590e+00	8.307301155738990417e+00	3.240406936819391515e+00	6.047647081228993748e+00	1.707509823200194177e+00	1.474301100100192219e+00	8.440434373190283779e+00	-6.967792653439349948e+00	2.231115304573017877e+00	2.647459333968802397e+00	0.000000000000000000e+00	9.913895421760534177e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.198935480823525968e+00	6.683539359135911795e+00	8.045481232540772965e+00	7.961117280328416257e+00	3.500024454293136245e+00	3.901480992873864739e+00	1.624494014455383217e+00	-2.480279840049857576e+00	1.005502436412792910e+01	1.618704543206446544e+01	0.000000000000000000e+00	8.986538231862066795e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.225214373741803087e+00	7.057687903641139293e+00	4.927955575182130232e+00	9.220413686637790818e+00	4.576763539673099679e+00	5.178050441182618258e+00	8.185935440517468464e+00	-9.527554691633417505e+00	5.351182514909925914e+00	7.866644939726195496e+00	0.000000000000000000e+00	4.973044782502269889e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.719835704450410674e+00	8.864349831446467931e+00	8.243631455920654716e+00	1.197827818551031598e+00	4.735988503362951185e+00	6.607231036511377331e-01	8.982975437792347861e+00	-9.786451954893179428e-01	1.786221559744338938e+00	1.173877414092693670e+02	0.000000000000000000e+00	3.389312262782689800e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.793088763442104216e+00	3.647992035640410080e+00	1.545914776925378264e+00	6.946954146911637373e+00	7.254048779009343306e+00	1.583068702096396052e+01	2.803404268564209545e+00	-6.089142070166996490e+00	6.507673012315172478e+00	1.944087756202040040e+01	0.000000000000000000e+00	2.606659385554338471e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.424311725494893821e+00	4.816629330516762231e+00	5.010227840002884570e+00	1.517055975027280734e+00	1.715036267482148657e+00	-5.634312051675420818e-01	4.706696902287977657e+00	-1.022592242366767490e+00	3.390344251499807005e+00	9.148101559797487425e+01	0.000000000000000000e+00	3.002998193942140048e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.431364443684565613e+00	3.041019134174548721e+00	1.625087695902431850e+00	6.229841675863188044e+00	1.342260681937006428e+00	2.946067315874228765e+00	2.636674442772801719e+00	-4.623318357626382991e+00	8.246878060205037997e+00	2.648173001501822110e+00	0.000000000000000000e+00	5.925584585628868695e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.697446459563403565e+00	9.857494316086176767e+00	1.200740215173700332e+00	4.237628818122335161e+00	4.678704002151298447e+00	1.439166994694685009e+00	7.473081402891079250e+00	-2.818089768116279092e+00	8.283362724310327607e+00	2.245940043551890994e+02	0.000000000000000000e+00	3.952480796966634102e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.626964556776879789e+00	9.526407192646965783e+00	8.991794033898399263e+00	3.800751636676167333e+00	7.421435124993237764e+00	2.729268752680513721e+00	5.914363485152858146e+00	-1.933492595058011521e+00	9.916199867109456889e+00	2.097590581031062129e+02	0.000000000000000000e+00	3.510546329622552264e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.772299190265508972e+00	1.266730238044333712e+00	2.198074902884107562e+00	4.267006535917087895e+00	2.207497229802238614e+00	9.079715685781780010e+00	6.691281934791899033e+00	-2.032048929375656954e+01	5.382722379976284444e+00	7.810713481098418676e+00	0.000000000000000000e+00	1.150289625973138108e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.215720206570725992e+00	6.991217549978403056e+00	6.069477897359486285e+00	6.368658117182733669e+00	6.804551681901757298e+00	6.152875858245913321e+00	2.782919516750946176e+00	-2.153654113092656086e+00	4.609320244953388546e+00	1.379483547750345629e+01	0.000000000000000000e+00	1.138010631741744660e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.651098287669113596e+00	9.756236774808613177e+00	4.554507133532437635e+00	3.870738520878405531e+00	2.910109932298193147e+00	1.598497811392991297e+00	2.656777362486140603e+00	-1.508525669804750891e+00	7.528950218556731855e+00	5.169012278775673508e+01	0.000000000000000000e+00	9.518508830997806314e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.922301089975024802e+00	2.947654665850309108e+00	3.870239477867737588e+00	7.557468968366471529e+00	8.964379070014828699e+00	2.594499022462616011e+01	2.053818320685068421e+00	-4.428972137411781418e+00	1.907229913872271920e+00	2.158846850396747286e+00	0.000000000000000000e+00	1.488757181468357338e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.364407992743712938e+00	6.082581667310877904e+00	9.143411310764069100e+00	4.959517963806089114e+00	8.926321023713436276e+00	7.161157083024578540e+00	3.941674182733353238e+00	-3.614662976740698586e+00	5.485936890170626690e+00	4.228966367339711496e+01	0.000000000000000000e+00	2.090871830345665927e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.761607481732980318e+00	9.103566557297584794e+00	1.137338361795631636e+00	1.836845089730007041e+00	3.957195111688549094e+00	1.237011705211326085e+00	6.188163816345141122e+00	-1.308825145744628937e+00	6.016701146398435007e+00	1.631376599754937615e+02	0.000000000000000000e+00	1.958420988357472226e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.554188744214975770e+00	1.135993153130682387e+00	6.845068779069009679e+00	8.576054279401441605e+00	3.136508968313611145e+00	1.802942087528958481e+01	8.661639217745879193e+00	-5.394538642186399358e+01	1.758267474444814349e+00	-3.036545726995569794e-01	0.000000000000000000e+00	1.581003357725240122e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.278311010199412401e+00	6.557562830199731962e+00	9.730317745047591060e+00	3.168467231785104143e+00	4.830608589038346778e+00	2.706352619001461957e+00	7.234223278159112702e+00	-3.547821654444212047e+00	4.858124838646281418e+00	6.393422217130298435e+01	0.000000000000000000e+00	2.610270454638812154e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.315892446151896600e+00	3.774558879062042571e+00	5.709221705488919163e+00	4.536608201710134125e+00	3.112643165662330791e+00	4.782402790684494143e+00	4.562395042093629449e+00	-6.567476078684771679e+00	8.821201818832651753e+00	1.336604054488504545e+01	0.000000000000000000e+00	9.803126957437786615e+00
