G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fc	Fg	m1	m2	d1	d2	W	p
1.000000000000000000e+00	1.000000000000000000e+00	5.128382002148370589e+00	2.653963628111930984e+00	4.157416853741555229e+00	7.182525890254613188e+00	6.063476989091535430e+00	1.557711552025737944e+01	4.826038546796449502e+00	-1.231059790360010808e+01	8.188371806838084410e+00	1.001863633110907337e+01	0.000000000000000000e+00	1.585797166651690659e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.032539142449927638e+01	6.745406522471634858e+00	3.257836633247507052e+00	8.376098646787580648e+00	7.795127316167570264e+00	1.117878436637071538e+01	6.134861695689444616e+00	-6.437964701402016487e+00	3.307088123908202171e+00	1.249058861885319160e+01	0.000000000000000000e+00	3.808727015902866953e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.510758517536562096e+00	9.702884413046351852e+00	9.572102599357762642e+00	3.856293002440421169e+00	7.589183945815339172e+00	3.439386025582799711e+00	8.652999753845064035e+00	-4.190257828964099929e+00	9.576850224295501590e+00	1.815268824342036282e+02	0.000000000000000000e+00	3.363495802388724343e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.015267031137013554e+00	8.291062244761853606e+00	3.270515422747314549e+00	5.730841384534011596e+00	2.374163739272298734e+00	1.279718059667843022e+00	4.682848618876129798e+00	-3.890766076409983842e+00	6.960935256475835331e+00	4.822839617140876811e+01	0.000000000000000000e+00	2.996609117454147508e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.126691761132453173e+00	8.720798435703372320e+00	3.527746301470947810e+00	6.524631992367761590e+00	1.847322612322900071e+00	3.742682213812342784e+00	9.084112250679789113e+00	-7.405765146012529776e+00	2.300691211596675778e+00	1.755215333219062046e+01	0.000000000000000000e+00	1.246107373603755164e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.628628704111851455e+00	7.105605203429830929e+00	7.211267659109387829e+00	7.929395391720206021e+00	3.399093152940593665e+00	3.115924347590195431e+00	1.182105535111366734e+00	-3.118691259811833483e+00	8.627995536031320967e+00	1.730059190696028537e+01	0.000000000000000000e+00	8.611541640892347971e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.004955535629630692e-01	7.871344644337003871e+00	4.923700172055477609e+00	8.807028850844861978e+00	4.411990505339098867e+00	6.060846221519537558e+00	8.551104218472307394e+00	-1.048369421783015554e+01	5.107708551056576063e+00	8.030996820006331305e+00	0.000000000000000000e+00	6.973588241333756876e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.550012146134186253e+00	7.524073463217883173e+00	6.999388207176857613e+00	1.174959117624075455e+00	5.100345673078896525e+00	2.426721397431821359e-01	9.071991814043464331e+00	-1.770386938031258683e+00	1.287954714371770892e+00	1.104931077853838701e+02	0.000000000000000000e+00	3.075092995430907550e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.058013160550017595e+00	3.797646514883672442e+00	1.512383499099385631e+00	7.288842778405067335e+00	6.438679045990482130e+00	1.489431840758962622e+01	2.279797523719232721e+00	-5.948993087479729880e+00	7.298478508874389981e+00	1.804393467195566458e+01	0.000000000000000000e+00	2.530456912841706085e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.733564345929592854e+00	4.781192040955247080e+00	6.117022353945611002e+00	1.752919004256439539e+00	1.167835576219013127e+00	8.048824796170286344e-01	5.031950244812778195e+00	-8.284440290873136270e-01	3.418120290805333195e+00	8.377062812964163641e+01	0.000000000000000000e+00	2.864942363385621249e+01
1.000000000000000000e+00	1.000000000000000000e+00	-8.806047413807394086e-02	2.483122930582752463e+00	1.732067824695600944e+00	5.428098052469085388e+00	1.632630086947975290e+00	2.272092439492765958e+00	3.645849888701024000e+00	-5.524398151253736344e+00	7.874474850354999944e+00	-1.493754921441368566e+00	0.000000000000000000e+00	8.798838516800646659e+00
