G	c	dx1dt	d2x1dt2	d2	d1	m1	Fg	W	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.400949257399505044e+00	3.306006703276556991e+00	3.571044097801587380e+00	-3.296082772752392032e+01	7.489635221287284317e+00	-1.686429224529695716e+02	6.701074328506187783e+00	-1.335967249742321394e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.369724630437225699e+00	6.704096187669764007e+00	3.169845135172034922e+00	-6.281518701339368960e+01	9.017152736341664365e+00	-9.197482231020275094e+02	1.232212187632533151e+01	-1.036867536709147108e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.418355698256420716e+00	8.175521455246892444e+00	9.101302074550130072e+00	-1.350089196029464631e+02	3.850410507689310702e+00	-3.842626459537069081e+02	9.252675405259314090e+00	-1.942107486668416261e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.028086839526954677e+00	8.084056800346425931e+00	3.106366497042630126e+00	-3.478983598744459727e+01	6.550126665633584366e+00	-6.179262447496490722e+02	9.665992066559239149e+00	-1.563603077916441597e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.824601336666961338e+00	9.082010432074516970e+00	2.994402428825314821e+00	-1.180864104552958160e+01	5.284824267406953879e+00	-2.058052520957171794e+02	3.957343863429244379e+00	-1.180702583084098922e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.733637651875963748e+00	6.097593352823681201e+00	7.720851436493293640e+00	-2.441541684368099396e+01	8.671217489185844229e+00	-1.979299902475345050e+02	9.138314333925084298e+00	-1.656441160963499470e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.339922483348662485e+00	7.135241616296042366e+00	6.266871859465458883e+00	-4.385225100366102247e+00	9.516727416179234567e+00	-1.223818418253172240e+02	4.478477709069328405e+00	-1.482274958702872514e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.130617508499254242e+00	8.440594676871862490e+00	8.709483394861926797e+00	-1.444792782493271659e+02	6.927884181577084188e-01	-1.842303706226038855e+02	4.211064725642897244e+00	-1.891773478951110254e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.808388051691238729e+00	3.722918838566287469e+00	1.107357816233914161e+00	-1.500033134499449439e+01	7.078383869475231016e+00	-3.636450725686584633e+02	6.040275782579616504e+00	-1.078884471451030835e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.012603589579025076e+00	4.073037970005740860e+00	5.535948395595528204e+00	-7.135420846801837058e+01	1.421651907258858483e+00	-1.383886722429697329e+02	4.594196226277954764e+00	-2.034891669786919710e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.065549361217905222e+00	4.001130529314055551e+00	1.355518749401053658e+00	-4.688395835300873671e+00	6.690947855966513202e+00	-3.667666639573611320e+01	3.508837878154693612e-01	-1.255149005851442512e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.659983078840385318e+00	9.826405948463497353e+00	1.485309349198805640e+00	-2.883474620747495720e+01	4.592234853647203963e+00	-7.381779242206071103e+02	4.349468038277876758e+00	-1.579763988827872057e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.900271432953369199e+00	1.000617164368906842e+01	8.604238256514916472e+00	-1.488755670655647805e+02	4.397177113837701157e+00	-5.750628223503800882e+02	1.174846297417868612e+01	-1.867117461735715800e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.678047070600030111e+00	1.321330386498454690e+00	2.499417669225214134e+00	-1.164077185136444115e+01	4.130312026680699411e+00	-4.206683253714998472e+01	3.331096524501385492e+00	-9.229705046959284509e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.040584674645089969e+00	7.623953380533941449e+00	6.258957411402118254e+00	-2.758790049527897281e+01	7.212933933171288281e+00	-2.915017060607215171e+02	6.735170098874324829e+00	-1.262801643142960062e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.853571872449483848e+00	8.035793727461920000e+00	4.239410624558320961e+00	-1.804599183699172826e+01	4.357663103264400206e+00	-2.086600032720748459e+02	5.523861719199053333e+00	-1.779293662906549223e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.680348255892016418e+00	2.411062051603872103e+00	5.205871766849191395e+00	-2.918523755942531039e+01	7.553745507350591915e+00	-2.319531996701846310e+02	8.416062808488604219e+00	-1.346494223024528036e+00
