G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	m2	Fg	W	p	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	7.217886309956260504e+01	6.221693446417200235e+00	-5.519358943483961610e+00	4.608528489826033692e+00	6.939663699725011625e+00	4.404599174454849886e-02	7.395273814823952185e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	7.885899412439147227e+01	8.248907571244490811e+00	-7.393988016017862819e+00	5.307325449243943893e+00	2.467378129703412082e+00	1.205571695553752688e-02	9.312030205801362717e-03
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	8.846441615030953187e+01	7.844756635118780963e+00	-7.571093739850856430e+00	8.692466849946201890e+00	8.926109144494443370e+00	2.294291308125731912e-02	1.200688463013072083e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	6.308132337018095370e+01	2.343291281945850013e+00	-2.081814949209215726e+00	4.153377234575449606e+00	6.425361481404013198e+00	5.019671675248085080e-02	4.921110865359661080e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	6.287262059870790409e+01	2.313686773542334318e+00	-2.161655799899859787e+00	8.874740727173110244e+00	2.342637636861281791e+00	7.325222940275326507e-03	5.405564300112324777e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	1.993088545802580427e+02	3.391327423735940982e+00	-3.254654626082692292e+00	1.769170473310570202e+00	9.569812273115873680e+00	5.543502821444876855e-02	1.579253401928936984e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	1.393637294358789518e+02	4.328268733768231513e+00	-3.896649319663600064e+00	7.915457529129422909e+00	5.678907800006099293e+00	9.534970590526044981e-03	1.384574492403812807e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	2.559187597312072526e+01	4.672185465739331356e+00	-4.516191264653625304e+00	8.605160294137627730e+00	1.592239442073297706e+00	1.526362153991465097e-02	5.697352359731078925e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	3.505856665834362218e+01	7.045256877862809297e+00	-5.638356000036096383e+00	2.659035939683334515e+00	6.568149878462754998e+00	1.615249583502044173e-01	4.905216205124976470e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	2.251009394385315332e+01	1.524032907983170038e+00	-1.299994699143748322e+00	4.905882279698015047e+00	3.289820270534169921e+00	5.866479672725086886e-02	1.010040433902989476e-01
