G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	m2	Fg	W	p	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	7.113145291824510252e+01	6.275172450355597675e+00	-5.555709595002683798e+00	5.170421832110824845e+00	7.027008234244541462e+00	4.531309785532562640e-02	5.386233172171876749e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	7.508104144677930947e+01	7.509441039273466068e+00	-7.419167126863923656e+00	5.226682221967276831e+00	2.369196379271700348e+00	6.060923429502459818e-03	1.850157635017336474e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	8.995547590136148131e+01	8.088278649214027283e+00	-7.088457316921385143e+00	8.401560085525646926e+00	8.830221822724979575e+00	2.519197994526099077e-02	1.251623323170922564e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	5.936045804832554040e+01	2.603290789963769392e+00	-2.370496005207706425e+00	4.697459202771807618e+00	6.899355182333007264e+00	4.822278143889006247e-02	4.292460052945792220e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	6.020921582953901918e+01	2.244570274338767213e+00	-2.697473416465127727e+00	8.625746585309975956e+00	2.031690353464461030e+00	4.614818478855622387e-03	5.022597640341721487e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	2.030900308794430771e+02	2.875899250203538315e+00	-3.189351284516401375e+00	1.581336491738307704e+00	9.493753614353435566e+00	5.261824377003560677e-02	1.668052018418012539e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	1.366926157342069246e+02	4.315709709274398342e+00	-3.670214966195766593e+00	7.839912595306918419e+00	5.858391534051563099e+00	1.623551934408037911e-02	1.281924384836641839e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	3.069391495217500676e+01	4.765065449105976292e+00	-4.426316300528392311e+00	8.673087210126176672e+00	2.008129904330194559e+00	1.584004009287881889e-02	5.958495355738850641e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	3.298337748914175904e+01	6.997310420915530571e+00	-5.498629758458116967e+00	2.891702557812442898e+00	6.807128697175375720e+00	1.581947493083950274e-01	4.577850543870713718e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	1.758689214461746886e+01	1.560971073602071213e+00	-1.229499082814391464e+00	4.146531357916659388e+00	3.113775830250334220e+00	6.144687601700427743e-02	1.036658413305798360e-01
