G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	m2	Fg	W	p	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	7.117442817612361239e+01	6.141816882249848675e+00	-5.538742752868134112e+00	4.545384576481003691e+00	6.836778300866514613e+00	4.336467694812440321e-02	7.382403697890449479e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	7.909876630260033892e+01	8.255822110410710124e+00	-7.391805901659258105e+00	5.272479983937445880e+00	2.548767205776064415e+00	1.231903371191171888e-02	1.097944861733268079e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	8.937157240348516041e+01	7.832950200795565365e+00	-7.551782029006187891e+00	8.695800720138109341e+00	8.866185790569041103e+00	2.315422863007505355e-02	1.195766900293185192e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	6.446536352041081841e+01	2.396632094308385419e+00	-2.141577462661382381e+00	4.059553360915796993e+00	6.514948950628724589e+00	5.112289185473875563e-02	5.137224345628276650e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	6.365496667264946495e+01	2.341005115860546049e+00	-2.110133305960447458e+00	8.826864704753441870e+00	2.412467594209704025e+00	8.684628094597813749e-03	5.447986781779602661e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	1.998527382821472429e+02	3.414362478195523742e+00	-3.282808248786182492e+00	1.790330406314633249e+00	9.656283930181439601e+00	5.547161722884141888e-02	1.575684302036948481e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	1.387159294464201764e+02	4.239366731699734991e+00	-3.975120601010321497e+00	7.985974082188767476e+00	5.672240536571023561e+00	1.030523837267473264e-02	1.351765273562507974e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	2.678805024083870734e+01	4.675761778083037612e+00	-4.485584867771926554e+00	8.624896209464457897e+00	1.654058251855242023e+00	1.463275399892264954e-02	5.643236761944434021e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	3.358708395497392729e+01	7.118519480518819442e+00	-5.627661476504705718e+00	2.632122731487372302e+00	6.637552766808325622e+00	1.618395203520317516e-01	4.882729469318768112e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	2.363223219541200493e+01	1.509654569507747679e+00	-1.415027886257317569e+00	4.876703286822879235e+00	3.282635839408188705e+00	5.852827351936953221e-02	1.012216154857723954e-01
