G	c	dx1dt	d2x1dt2	m2	m1	d1	d2	Fg	Fc	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	6.178494638128571026e+00	1.514040945761112811e+00	4.616981282281581223e+00	1.425358018419204953e+00	6.899564804082904956e+00	3.984135626877254310e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	8.196905068580001341e+00	1.621019313780710958e+00	5.260937660889593026e+00	1.293311346577789234e+00	2.597489300517441979e+00	3.258493934522508653e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	7.776353498999932334e+00	1.099057796790017427e+01	8.694258633418957771e+00	-3.005977907870492771e+01	8.853078352359752046e+00	-6.570378510413532922e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	2.388014034642587102e+00	5.213468251889838978e-01	4.017930484268439351e+00	1.343431831924029485e+00	6.610594485279080779e+00	1.993883086085144640e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	2.346736863317396171e+00	6.266006968558615053e-01	8.797075804107748809e+00	3.421010213988131099e+00	2.462323444422481966e+00	4.897340603696375183e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	3.405547599218369914e+00	1.557733159419726565e+00	1.770807793049666623e+00	1.540401247426137266e+00	9.637206433070737432e+00	1.061708952288937269e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	4.233904537139117963e+00	1.204107702303901739e+00	8.070348225223421323e+00	3.073578288943476178e+00	5.590201262486921507e+00	3.187366633328173293e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	4.769285295350038645e+00	1.679503787481748134e+01	8.623985739033633635e+00	-1.196040450228865026e+01	1.633510234065791655e+00	-3.294264846739916948e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	7.140480310446581491e+00	8.615478313673843314e-01	2.563822086363942265e+00	3.272722287050718881e-01	6.663981402340095173e+00	1.583716473706307148e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	1.617465715321025899e+00	2.721106452838657042e+00	4.887127989874214151e+00	-1.064328058833678625e+01	3.311276543654855242e+00	-5.320349449444820067e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.179678840620538960e+00	2.935729501582681866e+00	1.300027412576123087e+00	5.854575132042141306e+00	1.381174203843947623e+00	2.363806320886632784e-01	2.534829736885894302e+00	3.170198021200839600e-01	8.307175163799769280e+00	4.664680952057071450e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.701097394406897223e+00	9.840078201065431074e+00	1.619237793704127126e+00	3.592109191383432432e+00	4.619971349988984066e+00	1.054902816933643184e+00	7.358043046436238299e+00	2.039135277122715362e+00	8.300857771842148125e+00	3.877480100694992871e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.443760884915374021e+00	9.518498512653774668e+00	9.178027080924996639e+00	3.669153751088829463e+00	7.215947802878273976e+00	8.862203338295692845e+00	5.898733609803107569e+00	-3.255166033882177601e+01	9.786637117935988783e+00	-7.713546906987411376e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.946600360837056787e+00	1.325569900923929900e+00	2.272315154361615352e+00	4.106317417522418189e+00	2.773227804856023937e+00	6.739503388358901725e-01	6.760565648132291550e+00	2.468925326547656063e+00	5.452764614831227874e+00	1.548539912759291326e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.709943186898110756e+00	7.360575593065892264e+00	5.822390140783213930e+00	6.632589320115219955e+00	6.750022288750923138e+00	2.973611203799092273e+00	2.710825605222531465e+00	2.134784665935645975e+00	5.021784194226484033e+00	5.016061517649672652e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.708197017070309798e+00	9.398553312935060688e+00	4.744533578572236898e+00	3.995363895180734204e+00	3.247849432404991799e+00	1.942774678283471834e+00	2.875460161112637358e+00	4.152244295872608681e+00	7.747128494224779338e+00	1.899936982646964978e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.770986884631785774e+00	2.620293194640144652e+00	4.107933047616258548e+00	7.663879694689988753e+00	9.056261493274563534e+00	2.387495827721199504e+00	1.385887111917115444e+00	4.879936091829166211e-01	2.212178807905623490e+00	5.957624679992316885e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.642943158818672700e+00	6.227173795348871721e+00	9.155638112074662160e+00	4.575525346491900791e+00	9.045212221129487418e+00	8.894107901573564234e+00	3.807197672552654399e+00	1.938948183544473807e+02	5.964201776745769124e+00	7.876369320396440344e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.868471473374500924e+00	9.173982483879635552e+00	1.136529881166755018e+00	1.610092805723061460e+00	3.618114003874509432e+00	1.328622362877585283e+00	6.056155087414038185e+00	3.540730279159870264e+00	5.864640027213500417e+00	1.756725630393042081e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.726456381646557681e+00	1.297136612675341860e+00	6.973812844316114479e+00	8.075469592024985488e+00	3.047362712343723246e+00	1.300817470649756391e+00	8.624770640099782781e+00	6.706365196278688323e+00	1.761235284006016588e+00	3.300890203980857223e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.567399477224184601e+00	7.246779592098680389e+00	9.716709256155551699e+00	3.508460552369207619e+00	4.658365836840515861e+00	6.356782879171009704e+00	7.058494435673138945e+00	-2.682840197131519488e+01	4.665038312820835031e+00	-6.149720762434441212e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.172230325252923144e+00	3.728240391070931636e+00	6.096455053458181617e+00	4.950755065433147806e+00	3.126998903098987537e+00	1.930247200283488507e+00	4.968341581093262072e+00	7.950349653001352657e+00	8.691223477598263969e+00	3.199625728885251164e+01
