G	c	dx1dt	d2x1dt2	m2	m1	d1	d2	Fg	Fc	p	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	6.158028135257465507e+00	1.457644475735347278e+00	4.541019814974282198e+00	1.418533469634097433e+00	6.836778300866514613e+00	3.934189680899707042e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	8.255375712946438682e+00	1.631987802832204126e+00	5.265228276086735271e+00	1.297186984054077064e+00	2.548767205776064415e+00	3.262560717780939399e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	7.840355248070585148e+00	1.102545096524956669e+01	8.695556609634298439e+00	-3.005113684271882946e+01	8.866185790569041103e+00	-6.573733357195052349e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	2.382894782751060703e+00	5.927912714329873767e-01	4.058483116214253172e+00	1.317420009558437632e+00	6.514948950628724589e+00	2.042634139743140054e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	2.348853431317468043e+00	6.556105448968831961e-01	8.834068865250703340e+00	3.440914720885183353e+00	2.412467594209704025e+00	4.934699836143755647e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	3.424367723261525498e+00	1.574586472755920896e+00	1.777252442425731882e+00	1.533193278385820646e+00	9.656283930181439601e+00	1.107606226221557932e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	4.254867622425461349e+00	1.164059462423552072e+00	7.984477701383476678e+00	3.039459973301470441e+00	5.672240536571023561e+00	3.181442813733347208e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	4.687929925985145019e+00	1.683927002509436477e+01	8.622905376039703640e+00	-1.194606406880789073e+01	1.654058251855242023e+00	-3.290760017347113831e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	7.112250950362235535e+00	8.007968941241012661e-01	2.631861775505803358e+00	3.321086371969914075e-01	6.637552766808325622e+00	1.623599637039116317e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	1.505660732621778797e+00	2.773826822432718942e+00	4.874963589212926607e+00	-1.069347770554328214e+01	3.282635839408188705e+00	-5.322228040124411308e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	1.305578239670098117e+00	1.416256591624414085e-01	2.491089169711135920e+00	3.042169220787376838e-01	8.225732254325366810e+00	3.450732843028145869e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.729259264772268878e+00	9.888782104691522079e+00	1.561651507606492073e+00	3.589841541540777392e+00	4.529601317244285497e+00	9.826727086426372271e-01	7.361598663355887417e+00	2.053215295182802436e+00	8.363799123568142591e+00	3.877904437929105796e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.491013608065799190e+00	9.496643095719592864e+00	9.149736399544996956e+00	3.766458962549396716e+00	7.275429733387385411e+00	8.861087705208092302e+00	5.821400120611479601e+00	-3.256767565022566657e+01	9.820216621754923381e+00	-7.712742637865738971e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.910456616251539952e+00	1.350377256712585794e+00	2.241891856060299837e+00	4.174213477519445270e+00	2.740090420146628958e+00	7.394581071288620633e-01	6.712697674932304182e+00	2.481477947819306529e+00	5.519908001703892175e+00	1.497250854181627666e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.643417729750074052e+00	7.353397220238094611e+00	5.798748111687483053e+00	6.586857655268589795e+00	6.777948319587530079e+00	2.981924776410464162e+00	2.761699566335328981e+00	2.169239481473836051e+00	5.098081946217983607e+00	5.011243125389886188e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.646585841136603001e+00	9.329794147097604906e+00	4.703265423592249306e+00	3.998639733225114234e+00	3.345165669712116596e+00	1.956036467079933727e+00	2.907887041272608108e+00	4.120802576525851357e+00	7.786013385778220552e+00	1.878131179319994359e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.745300127336214313e+00	2.633747824535162874e+00	4.126575699271543662e+00	7.596890224593946250e+00	8.966464776338881393e+00	2.436338041747737382e+00	1.370018363148451934e+00	5.128738478056834582e-01	2.201536344776792387e+00	5.956188413408536775e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.723947151008893286e+00	6.118490776344041926e+00	9.096069066875619669e+00	4.648234221204042171e+00	9.057957824464409669e+00	8.885796277275131771e+00	3.889991910583282753e+00	1.938432356086880475e+02	5.928821176425579154e+00	7.876691868264547338e+03
1.000000000000000000e+00	1.000000000000000000e+00	4.886636930738381679e+00	9.235580163641998297e+00	1.193489625094213302e+00	1.622033921158680725e+00	3.680052119430257562e+00	1.354866579236350344e+00	6.043030919978058080e+00	3.549955599166592091e+00	5.918620106365500178e+00	1.741187326907443733e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.634597906222856167e+00	1.310077257615969604e+00	6.968167337083897905e+00	8.057681712495694981e+00	3.067396041756753178e+00	1.324371726452866271e+00	8.729068010739124972e+00	6.656021973332718389e+00	1.810175079959737143e+00	3.302259524966198683e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.500962602909805099e+00	7.271492108222212813e+00	9.668167562277940164e+00	3.575281594704617039e+00	4.697387963086131712e+00	6.369220625847856532e+00	7.010889895556807083e+00	-2.679672025312034833e+01	4.757037479306749361e+00	-6.149407258153586326e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.253530493387425615e+00	3.680012648666501907e+00	6.029807267174340346e+00	4.904091794858275399e+00	3.170332190305779729e+00	1.948410747929599784e+00	4.919592868096694716e+00	7.928485923303333571e+00	8.683786056002436027e+00	3.188853257467256697e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.622631541337138827e+00	9.316691754751460053e+00	9.427337872997981094e+00	7.170792631623955415e+00	7.044430750299156330e+00	4.631165529519917001e+00	9.581515006398303669e+00	1.840844140409976859e+01	8.699912597188085073e+00	3.879736118905826174e+02
