G	c	dx1dt	d2x1dt2	dx2dt	d2	d1	m1	W	Fg	Fc
1.000000000000000000e+00	1.000000000000000000e+00	4.324050220040057901e+00	2.501870559031354357e+00	3.314028038615841609e+00	7.034171959726844392e+00	5.409263761109870394e+00	6.121196030612463090e+00	6.280657569506786331e+00	7.139523912821647400e+01	7.033407810752301259e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.625449068596536151e+00	5.848007422691523516e+00	3.152318781550356608e+00	8.254876507928294416e+00	7.320899641304108307e+00	8.322233056565423226e+00	5.908663993148683957e+00	1.460668888851416511e+02	1.446740663011100878e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.523763487896014013e+00	8.808303850404261226e+00	9.154011839542327778e+00	3.283923944699122632e+00	2.868175877419017361e+00	7.926406701291511148e+00	2.880479725776991273e+01	-1.210776288781745258e+01	5.091491555001830704e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.432961751031650799e+00	7.609440076078068493e+00	3.340618651420790286e+00	6.602533302839329821e+00	5.599446656109192233e+00	2.322619074368805325e+00	2.497046141042289058e+00	1.451823818664901751e+02	1.457190918803235604e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.448581572108500026e+00	8.441840257590818908e+00	3.452086499139788156e+00	6.208511626625244695e+00	3.545191773148393732e+00	2.356848223511817331e+00	3.818144288675106246e+00	1.463444840584958513e+02	1.477546778933717064e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.351225728805578896e+00	6.967723468256636465e+00	7.816274907015728246e+00	8.519584389427159010e+00	4.947798116577642347e+00	3.390096025695887416e+00	3.596701097897083255e+00	2.509258133228872509e+02	2.505692773679628829e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.630098817426910429e+00	7.382694804827872659e+00	5.089296570428975208e+00	9.104300599196694321e+00	3.120824453481485516e+00	4.211705598995413524e+00	6.871388293630407595e+00	1.911043420179512964e+02	1.903616483862924724e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.808116346725885393e+00	8.674402403990455923e+00	7.981653152680952878e+00	1.210034905164663499e+00	9.853863151446534685e-01	4.691615299813388873e+00	-2.368115368711341873e+01	-2.776232926678695634e+01	-2.672314371434946878e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.445425798464731848e+00	3.211970527578249968e+00	1.691441688674936383e+00	7.080225832854731394e+00	6.016796451776109222e+00	7.179422606519739958e+00	6.618126491865590211e+00	7.373795461736604295e+01	7.645335751951047598e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.290000704059817593e+00	5.424179783292874646e+00	5.387924704870451720e+00	1.467539698438697693e+00	1.261679848105612622e+00	1.534725709617688283e+00	-1.315352436826305826e+01	-1.495726509891919598e+01	-1.520009605605167380e+01
