G	c	dx1dt	d2x1dt2	m1	m2	p	d1	d2	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	-4.952941391621614287e+00	7.055912142467035686e+00	2.692936134043306118e-01	6.145140650786507841e+00	3.410764143606248133e+00	4.534724673207691126e+00	1.681492443959273220e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	-5.271148863722742384e+00	8.159953066428277779e+00	1.421922542882674279e-01	8.245959210392964422e+00	5.784577478863837108e+00	5.272114639525494084e+00	1.289037394934569314e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	-2.558460424568220759e+00	3.245715394924473696e+00	7.180151725103439686e-02	7.836086323422342126e+00	1.125765101859854411e+01	8.688707297270070740e+00	1.322761011374246287e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	-5.217425361815275053e+00	6.620419216523988126e+00	1.727883129153125752e-01	2.367491524495710209e+00	1.105009602366149224e+01	4.059025211425942636e+00	3.541507883954600477e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	-4.752050216007265071e+00	6.146835173537618324e+00	4.261456646788428504e-01	2.351460920070128857e+00	4.559374449214943503e+00	8.822624407996395135e+00	9.093745317262644789e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	-2.683410503504075617e+00	8.494178114624176601e+00	5.888753984816177400e-01	3.408120888573418217e+00	1.747872835165856031e+01	1.789753750756989170e+00	5.117505873890593193e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	-3.311611721619623694e+00	9.162785165127766973e+00	1.002219696822420181e+00	4.247426109365330049e+00	4.982927639781657980e+00	8.003662017572780840e+00	9.550724927802063391e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	-2.665183507513683381e+00	1.101386169655929281e+00	2.111899269868412407e-02	4.668175508171026777e+00	6.252007311455025196e+00	8.633087737756952151e+00	1.840627139653670863e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.718647449126696536e+00	7.062111954895490484e+00	1.835327837901272741e-01	7.122569003946172650e+00	-1.310283640503459690e+00	2.627859675905723336e+00	-2.547628129045892073e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	-3.181171605486412535e+00	1.474751017281860088e+00	3.287432930900502370e-02	1.510905139947840814e+00	1.212766405157692162e+01	4.881371173337123004e+00	1.821423922368677673e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.185269212697951824e+00	2.990998563881107408e+00	1.293864515186638586e+00	3.732332419235220744e+00	5.940437788130579655e+00	8.348728457682633719e-01	1.307553171342218157e+00	-1.872636078499362089e+00	2.496044312385470310e+00	-2.211657809634924587e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.731433549041442532e+00	9.880858298058075917e+00	1.555637973415921582e+00	7.174249903706290787e+00	3.593484545097056060e+00	6.152126172271688009e-02	4.525058615740952028e+00	-1.683243734605291309e+00	7.357894377700418431e+00	-1.191780795345684929e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.500666948962734892e+00	9.486692557636958512e+00	9.152408169402649563e+00	-2.557220045472283321e+00	3.772093569803331992e+00	7.395106943307994118e-02	7.283614188607859141e+00	1.572455286245655692e+01	5.819812504752910343e+00	9.537629673730196878e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.909508981792487958e+00	1.356881567386562848e+00	2.248116334214782075e+00	-1.780062794058405728e+01	4.172870706210980885e+00	2.392799860213500052e-01	2.740520629306023359e+00	5.694448528259953290e-01	6.717828134084344427e+00	1.029455879741811158e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.637175090572816849e+00	7.348040995026840605e+00	5.786515071492047468e+00	-3.049024755389361463e+00	6.591094414203960916e+00	4.166745730374024070e-01	6.772550436888358227e+00	4.869540211743657920e+00	2.779204629214398814e+00	2.563394346746647456e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.644762138877613467e+00	9.328360177412056586e+00	4.702721844463183309e+00	-3.480341058687766775e+00	4.004974940908059722e+00	2.516410648814137452e-01	3.333325584088047577e+00	4.255063065901004471e+00	2.901344168370345145e+00	3.922230390501855735e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.733480893400627387e+00	2.625078557455822637e+00	4.123294940393868124e+00	-3.878360203892015523e+00	7.583710514254095258e+00	3.384285757473036171e-01	8.964455295175161709e+00	3.366464342905794105e+00	1.374276970545927457e+00	5.604753684376904271e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.723337275764564858e+00	6.106075204458422334e+00	9.097508893072104641e+00	-2.557724744553811380e+00	4.639066175569031003e+00	1.354284383593593322e-01	9.060337777682530458e+00	1.038140650196442216e+01	3.896258937475630013e+00	5.095212019024476513e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.893479999448049789e+00	9.239142923269975327e+00	1.201348211771952501e+00	2.977757088788318018e+00	1.619948320397371688e+00	5.496289230435413148e-02	3.677357740450069912e+00	-8.546247671503336418e-01	6.029840031816008583e+00	-2.201690338134567604e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.619675188993521697e+00	1.298653875389027101e+00	6.969875814054750762e+00	-2.802849500960167717e+00	8.056764994143302161e+00	3.707283169717036642e-01	3.075933169292262015e+00	2.364517962909701865e+01	8.733437952844537833e+00	2.355114948917661266e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.505399196849892540e+00	7.284520605866596554e+00	9.669089179732344164e+00	-2.518114490474190781e+00	3.575176249618223334e+00	9.123468345777029087e-02	4.689488306516256699e+00	1.894585602171902394e+01	6.995864742589326113e+00	1.903627566576488350e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.253242561337372329e+00	3.668597595783949394e+00	6.043533249188643985e+00	-2.992735376007091830e+00	4.892869148910502730e+00	3.617903235186943345e-01	3.158655928920725220e+00	7.045930242962485046e+00	4.919774578434441992e+00	1.046930556728239425e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.626407571668317065e+00	9.318476576044735893e+00	9.420681499173436890e+00	-2.538032189234695757e+00	7.165443249342988707e+00	3.291090921269911873e-01	7.048291323534543018e+00	1.370246806887259439e+01	9.568531232446430224e+00	1.682331131052898998e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.298853066658552713e+00	9.733725890825573046e+00	1.457152292835720786e+00	5.552263225597610763e+00	3.998976367468504822e+00	1.550812493968295736e-01	8.434563199999162819e+00	-5.227438399860830920e-01	7.471017437028336872e+00	-7.890672352724040217e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.096526239001746283e+00	9.501571741828488626e+00	4.771051009279839050e+00	-3.448458200534534335e+00	1.506578745579044254e+00	4.946237934434544181e-02	7.057039189038048832e+00	1.512609403137762598e+00	9.373801827078668936e+00	6.141959833153309845e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.073516490773528176e+00	5.266084145662294880e+00	3.344136851407524258e+00	-4.972299384683324774e+00	4.366881396483175415e+00	9.007460534113333195e-02	8.418491198068663195e+00	2.827496129733929831e+00	5.743767120604270637e+00	1.514271142389470304e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.793462568920394684e+00	8.755498436258237760e+00	7.588786584276144609e+00	-2.723019850610514325e+00	9.500921431947228157e+00	5.660417496816649852e-01	4.575152337970495253e+00	1.620977341976557540e+01	3.333357770813733190e+00	6.775242453984414714e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.632017114716871831e+00	8.605691083078250259e+00	9.832546754814002199e+00	-2.516131862771104455e+00	6.783522402981258637e+00	2.005163965467600118e-01	2.401932549484348201e+00	6.204515627257806898e+01	1.473964172034181619e+00	8.000744956632587224e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.324857495186838818e+00	3.872067986965213038e+00	3.313296877068082402e+00	-5.050851210104220002e+00	7.048570959789315360e+00	1.850586143234562997e-01	7.646646749769983487e+00	3.819890273633767208e+00	7.541128081944955319e+00	2.166372258560426145e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.421673679444686034e+00	8.463113443518290424e+00	6.886492078177496090e+00	-2.815443276754033164e+00	6.683527658807527416e+00	7.861478219478683638e-01	4.246631542868413156e+00	5.473318511092165828e+00	2.099197846035834480e+00	4.017406629311200961e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.471540441834883417e+00	1.327609440977102873e+00	2.784519875144303214e+00	-7.113604746303089144e+00	2.784500578865292120e+00	7.196469500533664299e-02	7.039695320319561134e+00	9.811127861858121024e-01	3.721757162392337115e+00	6.872998484650290341e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.536796530324421095e+00	6.358613694545651285e+00	6.097178301299451597e+00	-2.975960787907562022e+00	4.768138636185257795e+00	3.133936062315575422e-01	3.444515542429491095e+00	7.186375745564943074e+00	5.792659140309439181e+00	1.148415545435712337e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.580082185581574317e+00	3.070675954590091017e+00	5.163664431795510268e+00	-3.253597260331081209e+00	7.758109906160460589e+00	8.156175558232001688e-01	1.739544427061324283e+00	1.128108223990524550e+01	6.080755752982050844e+00	1.858769993630688733e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.541320471907484446e+00	2.083328178065188663e+00	9.750331814843512745e+00	-2.516384620461145083e+00	1.909892064248365440e+00	3.333756111588052906e-02	9.938317592398794531e+00	7.124547215541189082e+00	6.408646631966997020e+00	8.317594076841055006e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.684285234387612462e+00	1.696063763647850386e+00	6.488537415746214343e+00	-2.882724665385671070e+00	3.506172955033126648e+00	6.042943906630869610e-02	2.389371648528137104e+00	3.156047873744578425e+01	2.496376872225946286e+00	7.735582597732639787e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.274208097164647668e+00	7.266154436832379382e+00	4.147114644679414042e+00	-3.871469957796147110e+00	3.487886768013102490e+00	7.023931182965705011e-02	9.904389381661905745e+00	3.114816122565840395e+00	4.418680171637511478e+00	1.581728014684619099e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.747095421770347823e+00	4.060015536051921892e+00	2.035975948736031160e+00	-1.509060065778740523e+02	4.888454321529303925e+00	2.179119446130869664e-01	9.799848398267458904e+00	2.517175208870425090e-02	6.553412668168105526e+00	2.239676059189952759e-03
1.000000000000000000e+00	1.000000000000000000e+00	1.883361026994204490e+00	7.513869810149838457e+00	2.357747169768722451e+00	-1.306869979658623038e+01	9.827540175203388628e+00	8.708791783353337923e-01	8.155291743321972930e+00	3.953907250897931713e-01	9.729002006699783323e+00	7.198957475265251038e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.158179414776252969e+00	1.598712738812461120e+00	3.027675414904658968e+00	-5.887911597101412653e+00	1.605492314183241787e+00	3.649330148733527512e-02	6.941547065163115704e+00	8.279497973615113082e-01	7.555800974053558328e+00	1.867190069447122458e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.956096485615447911e+00	3.836699336257157533e+00	3.258885061724403620e+00	-5.178729857868270336e+00	5.676799932137273075e+00	1.904823810110638505e-01	6.208860600337582802e+00	2.863914440114437188e+00	9.306978339216403384e+00	3.131562296157647807e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.101838230171926725e+00	5.859302414962705541e+00	8.643299754812700186e+00	-2.602207606476937496e+00	2.610016142358806857e+00	2.073065572399221679e-01	8.799699897193747233e+00	2.083094714768852107e+00	7.863755734946348497e+00	9.912175720674616386e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.456697087246835665e+00	8.111857171820242129e+00	6.044554819103721499e+00	-2.985566672606567273e+00	9.739645113666917098e+00	2.973293366154395878e-01	3.612301951590301208e+00	2.985564234412354168e+01	6.329419614241996506e+00	1.185147474607472606e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.296938425051449073e+00	3.870486037057490059e+00	5.704461638034238113e+00	-3.074632270196713257e+00	2.027493415459370674e+00	2.569899982849997988e-01	5.219992798128135547e+00	9.587534774631318868e-01	2.727366497297036840e+00	3.237553048949012302e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.188119454436925793e+00	6.625774461667038651e+00	2.037459012421622973e+00	-1.235047485559993277e+02	4.624953202438676136e+00	8.444640361624143610e-02	6.575689282378117895e+00	9.794559756898996161e-02	7.001920012678314542e+00	5.322636661112208761e-03
1.000000000000000000e+00	1.000000000000000000e+00	3.328888674415638071e+00	8.976314653792208276e+00	8.746072965534738231e+00	-2.589046306641898720e+00	7.639106257794823662e+00	3.826386941186057933e-01	4.692150422134727883e+00	1.822101158517583741e+01	6.604462631432464370e+00	1.579653256246522641e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.969208597687375217e+00	6.540788350726854716e+00	7.507117946321259616e+00	-2.730795702297820871e+00	7.347173047436484694e+00	1.757613714756396661e-01	4.845703366495374809e+00	2.902453095458990262e+01	6.429183437698792858e+00	1.215212318656580637e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.799471737535425220e+00	3.096797661319711459e+00	1.613565669025404770e+00	8.229633290732946804e+00	4.810822329201061009e+00	2.106268743012654487e-01	3.974686023364888410e+00	-9.042074009437260917e-01	5.392804987014784501e+00	-8.923324124663269130e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.663418887425293313e+00	1.223489968236604941e+00	7.369609504143278755e+00	-2.748707195518497404e+00	4.117789139930524200e+00	1.209292698873992572e-01	6.078494258770661851e+00	1.032571668683733890e+01	5.757431328197847975e+00	8.480777102332006656e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.921902998072672730e+00	8.824033056284878995e+00	5.898480607848053836e+00	-3.029392282012704829e+00	4.574534359552439255e+00	1.287818059325390729e-01	8.648380791912330778e+00	6.093282072340954869e+00	4.016241901151281546e+00	3.024089526980538456e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.665268132705524540e+00	1.187616765895430193e+00	1.735576636717749421e+00	1.312869258364820801e+01	3.383661209493157074e+00	2.116469617822789862e-01	2.804871059619113538e+00	-4.308085537541812560e-01	5.666331804470746469e+00	-8.949193608386754595e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.717111212767809647e+00	8.874859216202327872e+00	5.125025275106294131e+00	-3.279672543837336196e+00	2.854403445631983782e+00	4.853778332215780839e-02	9.405860275556214845e+00	4.575522509485708156e+00	2.780196414749394496e+00	1.534860340805476731e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.970899468121058540e+00	5.772106942853491240e+00	5.360800070028867381e+00	-3.178858745841847799e+00	5.341052520045069585e+00	1.118128671850766864e-01	7.206188595280726084e+00	9.950589184357909289e+00	8.242834772462009241e+00	6.416307493709250132e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.470402559735971337e+00	9.450841116466442315e+00	2.495750157030458993e+00	-1.012976042705697211e+01	3.410286563432975981e+00	5.985691821634438192e-02	8.418066938400885491e+00	9.303921366462974962e-01	2.669969268754094571e+00	2.548973895324314204e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.051792090928655554e+00	8.192337702291373702e+00	9.508957606907717519e+00	-2.532284530014866419e+00	3.588374378987668756e+00	6.608529179680609766e-02	6.010708726041925409e+00	2.031174363186808307e+01	1.769886212760305222e+00	3.687475086415584746e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.385055985831794345e+00	9.980811891052749019e+00	8.655169853812708425e+00	-2.601083295539134532e+00	6.914211535389544139e+00	1.805479576154875310e-01	8.021410061344237619e+00	1.828360729258066542e+01	4.927300816025396379e+00	6.791883419276779632e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.293346547973460048e+00	4.167211354741525042e+00	7.014949706959339615e+00	-2.799268197177654294e+00	9.715217016762176527e+00	1.745954344658179336e-01	1.145363381783218060e+00	1.979522297957276749e+02	6.913606116705637739e+00	5.057244928827127950e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.785119154849784229e+00	7.894974533743065237e+00	5.154592217375265406e+00	-3.265798383149558504e+00	6.436412082474769036e+00	5.964330918840051732e-01	8.355934787609953673e+00	2.203722862271311200e+00	4.934094573339296907e+00	3.117111669885525016e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.762924269761961149e+00	4.617904611608389054e+00	4.709685600997630672e+00	-3.473577976092446118e+00	1.688970963940681136e+00	1.019375574485185398e-01	1.358770167211508451e+00	4.658887182448823161e+00	3.496138057794731413e+00	1.156255852713116372e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.405608066053255722e+00	5.309837425368549191e+00	6.858272289701633717e+00	-2.822782286991464051e+00	1.668804889629028620e+00	1.992246928847566656e-01	9.007810913729350943e+00	6.175373951453799748e-01	6.026003640742453982e+00	5.407533172183839332e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.925808715417980377e+00	6.633604721963429540e+00	5.906380589765284128e+00	-3.026601016935226429e+00	9.560514254350330532e+00	4.058367285585716133e-01	9.924957310999094062e+00	7.414248504596433698e+00	4.132611607119123676e+00	2.709252667574920670e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.497475138376523240e+00	8.864748857730157638e+00	1.565372538644743905e+00	7.096542949083648466e+00	3.675959409348313223e+00	1.362346156448897561e-01	3.646905080082262884e+00	-9.761186511463637583e-01	9.405040518254807580e+00	-1.880107036872623316e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.443571591539735355e+00	9.857527267966256446e+00	5.609170754080777144e+00	-3.109126854532660023e+00	1.827109644738514671e+00	8.831189648860722496e-02	2.895271400435539988e+00	3.930312598390685697e+00	9.301928641474093595e+00	1.936557343464317738e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.457825100676689800e+00	7.912876127752992872e+00	8.256527118436887136e+00	-2.638912947372617612e+00	6.385129325559515401e+00	1.257934694162381739e-01	7.892916599290923152e+00	2.146049655800544897e+01	5.535079594189294738e+00	7.293421837906497451e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.203938748066544662e+00	4.759310265737753731e+00	5.140884949158297523e+00	-3.271715061921169010e+00	6.603010210444672623e+00	2.620394545738173320e-01	3.275722165587976686e+00	1.330341513671061016e+01	3.951090249885004457e+00	6.299168903831936506e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.531041972313271327e+00	4.809449342300938568e+00	1.476107807696298124e+00	5.507716608308981243e+00	6.833760424297653735e+00	3.229160872318921904e-01	8.779691771697397229e+00	-7.545458048289646058e-01	7.628910356752297339e+00	-7.739318400660465114e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.873714147743466008e+00	7.636804441497264229e+00	8.085186024991338982e+00	-2.659600113348417949e+00	3.411477597698747921e+00	9.657903457687105897e-02	1.922953120219448753e+00	3.161860036457266787e+01	1.326940227385316140e+00	7.003361956825876478e-01
