G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	W	p	m1	m2	Fg	Fc
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	6.135985695631902992e+00	5.339632907430694964e+00	1.243264549155527643e+00	8.433108988070642242e-01	6.323948441196926673e+00	2.226532466478888139e+00	-9.318698474800747589e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	9.099051218836732957e+00	5.295723356680010596e+00	6.267483122873012125e-01	-2.036776624642016587e-01	2.337894726647884447e+00	6.614507767651104153e+00	-3.839638152512538788e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	8.670140540088056014e+00	9.104066743826964014e+00	7.135475891985030295e-01	3.581113809730337438e-01	9.264744893715567642e+00	-2.504212349991400965e-01	-7.733332240263829371e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	3.071493532008065852e+00	4.084481064579708942e+00	1.411787544919026027e+00	8.875783347383683353e-01	5.924496008925136614e+00	5.033405563789922432e+00	-1.607577864297499159e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	2.795347955637677462e+00	8.906530724004316113e+00	9.779239931353364668e+00	1.338475520561286025e+01	3.894707582614413077e+00	8.295313783453778456e+01	-7.561576366717935593e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	3.586436187155313871e+00	1.173897370437505527e+00	1.632478563670805238e+00	6.037907017564896783e+00	8.869417053586211352e+00	-1.946120486670817495e+00	-3.456872669518457758e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	4.877141378091901736e+00	7.868023831830956993e+00	1.116750924150271906e+01	3.761307763708926899e+01	6.168825019442506274e+00	9.305028333635716820e+01	-2.839488533194068492e-02
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	3.580780909845354909e+00	7.643288132575813520e+00	2.586639893440816351e-01	5.737717679486448175e-01	1.391381389882268227e+00	3.403904814295919401e+00	-1.164039093187813345e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	7.656407272939711461e+00	2.560934617868895202e+00	4.964333525325492769e-01	-4.784106504834553242e-01	6.201490703149199035e+00	-2.691018151448146156e+00	-4.874310041579868469e-02
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	8.995182201440498071e-01	5.597318062796055038e+00	7.552047792491630718e-01	1.767612934488104193e-01	3.571304508944401324e+00	1.527018766075896039e+00	-2.328734465984715063e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.254075160613299378e-01	3.006182964984958517e+00	1.906759202610530890e+00	4.666156168681741434e+00	8.148988483337687994e-01	2.916283991550873367e+00	9.306082187249902660e+00	1.072302977218273767e+01	7.986298417485945045e+00	2.071172190133254176e+01	-1.973292702104061380e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.841292761111732901e+00	8.270766594421628426e+00	1.874047584422260604e+00	2.867282672439445790e+00	4.906222116135309896e+00	7.421018513404952444e+00	9.490002105752286532e-01	-5.931198703014597395e-01	9.226168325602076337e+00	-1.998664615976111225e+00	-1.575409478984657052e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.343329220679809310e+00	9.131266108360318157e+00	9.738191675024344462e+00	4.929675648383204489e+00	7.780347996727558169e+00	5.707284456540966389e+00	2.647226216684390732e-01	4.314020831609128304e-01	9.048254310995693217e+00	3.025613318614050140e+00	-3.882744595553831030e-02
