G	c	dx1dt	d2x1dt2	dx2dt	Fc	p	d2	m1	Fg	m2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	5.338102072069635717e+00	3.331742766565950475e+00	2.889955549028279336e+00	6.517782727427256617e+00	6.252985839775226928e+00	5.582087553962954196e+00	5.161840893931069374e+00	6.376563304404300858e+00	2.156512413201606027e+00	4.750277729754461831e+00	1.904827641080546696e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.725192012894217086e+00	6.242438722053079481e+00	3.920077956623448934e+00	7.609680522873169650e+00	6.458359861035251726e+00	6.999427251410502038e+00	4.982987853961061475e+00	1.654481173678432615e+00	2.612020731510073190e+00	1.534237759544826574e+01	1.033628012013034780e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.737161266651150449e+00	9.012590745027113215e+00	9.126222766674196407e+00	3.867849476105488460e+00	1.365167468878057289e+00	7.525404034215391391e+00	9.054115028441946933e+00	8.209404849994228925e+00	8.430666486444366114e+00	3.035852620373525923e+01	-4.127750016162479857e-02
1.000000000000000000e+00	1.000000000000000000e+00	5.942566564424075715e+00	7.825202247417346157e+00	2.627214375107203903e+00	5.870332978282993608e+00	2.626442330016293791e+00	2.397893181300488674e+00	4.616924359375460085e+00	7.109576740114762927e+00	7.507178716214942149e+00	1.130874881609772942e+01	3.927266095163186588e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.599235796012567157e+00	7.617793803267475461e+00	2.916002922604973957e+00	6.186143482711313979e+00	5.335458003621045275e-01	2.686795588638581478e+00	9.672531248591875297e+00	1.905904661951154377e+00	3.088191227619819124e+00	7.755268747332275225e+00	3.607484697807892826e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.790096873580623305e+00	8.359724941673928100e+00	8.129990527991816762e+00	9.414704253914868204e+00	1.095246802326770075e+00	3.100012671841822165e+00	1.050758426208022289e+00	8.761249472237086167e+00	4.590494429122670361e+00	2.033580767550679269e+01	1.247868931188635400e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.496102560459960484e+00	7.524293643758776184e+00	5.627118521497850523e+00	9.807722379184202310e+00	1.077409315093461606e+00	3.942434234532158133e+00	7.224157386477540577e+00	5.622142665393188743e+00	5.465918798114944188e+00	1.156819292307532088e+01	8.082938461539723729e-02
1.000000000000000000e+00	1.000000000000000000e+00	8.984868240611964652e+00	8.992079583018030675e+00	8.256346617413944600e+00	1.339673484332449815e+00	5.548206801407913336e-01	5.237473394671467553e+00	9.267189118242180612e+00	1.968711468852861524e+00	-7.125372560461618043e-02	-9.687178316973961145e-01	2.478106973727368378e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.983161735912373658e+00	3.231050057656962515e+00	1.856775465749737064e+00	7.057380384162310172e+00	7.254881005271791139e+00	6.392191721681492744e+00	3.185791054131972277e+00	6.662521586914805560e+00	3.085637159648115357e+00	1.567455350211767318e+01	1.090883900834776377e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.171529765448116933e+00	4.126651750108165650e+00	4.940708376220707798e+00	1.865294194103179093e+00	9.113165096131286003e-01	1.421189820420078798e+00	4.534661254582947443e+00	3.608651336882065852e+00	2.773594241349937928e+00	1.957444548224963388e+00	4.748561665314652291e-01
