G	c	dx1dt	d2x1dt2	dx2dt	Fc	p	d2	m1	Fg	m2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.629302474423911740e+00	2.370699739312849275e+00	3.949354150846201783e+00	7.040814096632677099e+00	5.769815752462075231e+00	6.047739074891645750e+00	4.244560773150163335e+00	6.745075572639234629e+00	1.199057109231315366e+00	6.479486517342419205e+00	1.893256788160772475e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.706536727141150678e+00	5.992986801803766639e+00	3.131759590892654099e+00	8.562265066812367209e+00	6.722643447221261503e+00	7.948328658169399041e+00	5.623384943225475219e+00	2.414682079963405670e+00	2.504087912687833040e+00	1.608279192649895606e+01	1.014660602115245558e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.736324742773260432e+00	9.531454682977139825e+00	8.885044532352530666e+00	2.387165469284266983e+00	1.431549574789917845e+00	7.352191177477223505e+00	8.409669395616944598e+00	8.952850838721406745e+00	8.131309921519523698e+00	2.845738840920849810e+01	1.887553718444200807e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.298100110689214937e+00	7.928795872065919070e+00	3.366929814024524070e+00	6.960220047928677545e+00	2.733580884182024828e+00	2.919823995196150435e+00	3.716749806315229332e+00	6.483001869044376697e+00	7.677665170001898964e+00	1.508640554767532294e+01	4.150312420349365206e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.680440664052745170e+00	8.697789803598476865e+00	3.584756638081188829e+00	6.394787423233350587e+00	1.230779500855147202e+00	2.356564869388046102e+00	8.781168121247066694e+00	2.211278868576548540e+00	4.156125846579678651e+00	4.138835687432826482e+00	4.049027553322450124e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.307565464767649566e+00	7.023547571733995909e+00	7.814216957687353471e+00	7.998575157310193084e+00	1.545937397268884794e+00	4.119348562011026615e+00	1.442287036924659427e+00	9.693425062216002530e+00	4.768871594920836010e+00	1.968692686415567294e+01	1.030574075268425593e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.054635011063992600e+00	7.322974035521393255e+00	4.986848354742477341e+00	9.406311486909984865e+00	1.105776173520769179e+00	4.021094520488117219e+00	8.419640307986327343e+00	5.757661001251996424e+00	5.547458080436706851e+00	1.200732775081754866e+01	1.703652755094307303e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.737460583966752736e+00	8.355288829197055733e+00	8.252370859276940251e+00	1.395905023156521985e+00	7.615979443078825240e-01	4.559315322399209336e+00	8.564644712152107431e+00	2.159277830767097228e+00	7.006868526215651594e-01	7.778323604102952427e-01	2.268078525516756816e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.532752830851846326e+00	3.511768796202549225e+00	1.352631842063758194e+00	7.218231103676568949e+00	7.097504018993663344e+00	6.906105219363658065e+00	1.752763579987955955e+00	6.660025785146042487e+00	3.011099846017126325e+00	1.942127085020062083e+01	9.928571496984522904e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.937875459762010699e+00	5.384468609548628493e+00	5.294009462549668754e+00	1.044525906966250250e+00	1.379096232578190140e+00	1.335615644769132526e+00	4.927966472083626037e+00	3.281512320016656048e+00	2.964212340659272193e+00	3.679550976680501240e+00	3.606410393113198554e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.457380777874639932e-01	3.183573884766340178e+00	1.158365920618600775e+00	6.124500762420490574e+00	1.207419175918524656e+00	1.549978044133533572e+00	2.641329654890850698e+00	8.349760770095764784e+00	3.581158243407409181e+00	3.117415254880981035e+00	1.088285383562861863e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.396172426732116278e+00	9.897547718018389062e+00	1.865884069202902396e+00	3.861311295667164689e+00	1.764069015324603473e+00	4.681431927026234341e+00	7.243834492892264443e+00	8.102171681978523665e+00	8.230048924760867024e+00	1.862430240215861232e+01	4.322605912452058829e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.704881572523648359e+00	9.574173023429887408e+00	9.236757055290196305e+00	3.606110971016487365e+00	1.562272893406390306e+00	7.512888706707100184e+00	5.446196222700307565e+00	9.341206607648548044e+00	3.130918532038958535e+00	1.484245888548209358e+01	6.832909557118650723e-02
1.000000000000000000e+00	1.000000000000000000e+00	3.363754473623769226e+00	1.330439041284316559e+00	1.959182025389068382e+00	4.296027688864377581e+00	4.439943717130348411e+00	3.106482261713806814e+00	6.689572073485503978e+00	5.431937451143092233e+00	2.394376442128586024e+00	3.428873065302746603e-01	3.541761684098748919e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.579676869228509251e+00	7.412657658924625359e+00	5.525502729657130629e+00	6.496029692837592684e+00	1.047873545672237672e+00	7.075125591791318058e+00	2.636246545293018162e+00	5.386211057623647491e+00	5.588654853813879164e+00	4.193559198560713952e+01	9.826130991567361139e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.794480917856724034e+00	9.605413942400884864e+00	5.217077694647389130e+00	4.246093592332691458e+00	6.936603250750702498e-01	3.063793685060189453e+00	2.638104582595661718e+00	8.116792919372146642e+00	9.056604714408299728e+00	3.244038671579640720e+01	-1.259346188027076277e-02
