G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	Fg	p	m1	Fc	m2	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	3.834422548126843466e+00	3.379057645324374359e+00	2.781714954348343483e+00	7.665232046378427810e+00	5.689610408540100472e+00	2.061912504279736158e+00	4.563339094673557028e+00	6.959158975973984695e+00	5.948811923885195085e+00	1.014775325565509423e+00	6.325091689990632204e+00	-1.253858763525896647e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.996087123480485559e+00	5.598239071238995557e+00	1.956209375359605485e+00	7.895887836038704144e+00	7.350712843872029723e+00	1.575725667544274344e+00	5.212549268855929618e+00	2.934844788247223057e+00	3.712856623646894150e+01	3.203197699591786130e+00	9.405577182054418728e-01	1.246547011441124564e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.201462977641917007e+00	8.812775324570379709e+00	8.835912409178174443e+00	3.612579844845905885e+00	7.198455952353358001e+00	1.099408959943353636e+01	9.429704419535024584e+00	8.265165011104501858e+00	7.024608926543407961e+01	8.494731222772580637e+00	3.024119377417195387e-01	5.860315834579491678e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.634540886554984418e+00	7.346261252343285086e+00	3.258885308620617760e+00	7.173361585952536146e+00	2.977409228263726337e+00	2.918654709306747197e-01	3.039337599346901175e+00	6.682209351376520168e+00	2.932781164001885710e+00	7.943900306822839319e+00	6.010178313665194560e-02	2.707081385782063698e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.444589427961565864e+00	7.712392312058497623e+00	3.795809612423449941e+00	6.980175192984190424e+00	1.833644291567024132e+00	-1.359177524493024869e-01	9.712368533353295419e+00	1.621994448708487191e+00	3.403355383515516763e+01	4.016307162790154983e+00	5.204110742627519048e-01	1.118732537385484171e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.323000452885815470e+00	6.355877670639471511e+00	7.516727365002721761e+00	7.762874721549931856e+00	2.512590546693540539e+00	1.722001877189348829e+00	2.180777856569185769e+00	1.023811843961904877e+01	4.131647674315891194e+00	4.337466732309697370e+00	7.305566269927160628e-02	1.193848644781311386e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.175562718422400454e+00	7.402239456940162832e+00	4.736206572165935214e+00	8.397933934846971482e+00	4.206469178451150981e+00	9.218860946299747283e-01	8.074650735024768267e+00	5.354524046234050871e+00	1.190213985588611223e+01	5.815304911864751958e+00	4.971513688025882005e-01	-1.631565867586433072e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.025802491972740427e+00	8.628080274044680920e+00	8.559467277908964888e+00	1.740187981118531013e+00	4.989137595577486373e+00	1.604202510872335097e+01	7.841471059449245828e+00	1.566859091857918829e+00	5.757493438269294757e+02	1.067804068961776931e+00	4.071399074047737265e+00	1.003010906410293224e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.401237957567217585e+00	3.671211929680712416e+00	8.532678427494073681e-01	7.608320142803094654e+00	7.138328103507203259e+00	7.363226567347560536e-01	1.719032316652089998e+00	7.111665585399262746e+00	3.909979768969769509e+00	3.144108290005323880e+00	7.952237060115251444e-01	8.831022896846050241e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.771346644912648038e+00	5.270161006776257651e+00	5.297986960205702367e+00	1.132556193291348379e+00	1.840419746307088600e+00	2.699508924378027253e+00	4.565373308020016729e+00	3.698307803401690741e+00	2.667405250116827986e+01	2.042521633837182993e+00	8.404360191819878478e-01	3.499069345889230798e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.385187843058794943e+00	2.874248481585815362e+00	1.831085077880877154e+00	4.187421777508051335e+00	1.941184109496682408e+00	1.879197033097326774e-02	2.837926946451515331e+00	8.491057342250417861e+00	6.622841814519677683e-01	3.543815919569188733e+00	5.910042927142822311e-01	-9.324139872680825558e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.049915767695214441e+01	1.031501235689700202e+01	1.172717938566450346e+00	3.632481794372484529e+00	4.838367537688808895e+00	1.006535927663738450e+00	7.356144016647771622e+00	8.920414304909046521e+00	3.631872375744183046e+01	8.187443276215111254e+00	2.575243812331925453e-01	1.862707585420594336e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.419610956943881064e+00	9.289524811679489957e+00	8.311172149663237363e+00	2.939510892447154244e+00	7.190561468176143833e+00	8.203431566244193007e+00	6.135362878908332540e+00	1.003303853268921486e+01	2.915908211259132088e+01	1.745173679120511689e+00	4.014621860229548589e-01	2.301960398957316301e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.452879169147202720e+00	5.539747402460877268e-01	3.195671201023772223e+00	3.728561728627052929e+00	2.444431089979910876e+00	1.099320434181981776e+00	5.915086406452267909e+00	6.304251702934688950e+00	8.454606622839047958e+00	1.875549341353642152e+00	5.980190453423898767e+00	-4.042599318768412830e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.460131803675833506e+00	7.821680140164778194e+00	6.233129162408696189e+00	6.689718314449638825e+00	7.193393588282400941e+00	3.114118786124145277e+00	2.792741161648670367e+00	4.163983083461259227e+00	1.308033783339178946e+01	5.285482286539259889e+00	8.366010074160590282e-02	1.431132557410567330e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.675459304006237993e+00	8.950530763675443424e+00	5.158361083063930153e+00	4.177319262668759414e+00	3.488415522885807363e+00	2.417564477475013796e+00	3.506658743402706779e+00	7.748877457131710500e+00	1.088791533534014633e+01	9.473746514664091123e+00	1.790479394226944521e-01	1.069504177883279539e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.650583909460790810e+00	2.662388145077461132e+00	4.076776345996551143e+00	8.450316483021357072e+00	8.505919942518794130e+00	2.184249874005153025e+00	2.170007204614339713e+00	2.136714346000240017e+00	3.385323132195607876e+00	3.496748551236808833e+00	4.752654809981435857e-01	1.250535192267360785e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.846590283685879186e+00	5.762967709807773176e+00	9.452232067302572815e+00	4.438970177198963363e+00	9.770501363909502857e+00	9.019540608538637372e+00	3.210658776410494575e+00	5.803124371953297000e+00	2.468337737272451449e+01	1.339795671477475025e+00	8.947649761826352854e-01	1.736632942613620667e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.929561589288815604e+00	8.698376827711539860e+00	-1.786953965404307620e-01	1.086669553199455684e+00	3.818383742279965354e+00	5.860387607307704361e-01	5.844630987267523281e+00	6.186818699957893131e+00	6.116571246150824237e+01	4.105783586263451745e+00	3.165638483128672687e-01	1.079411189559617235e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.034888382260707118e+00	2.492253417155874118e-01	6.732648673143790674e+00	8.550403166154453061e+00	3.425582359086301487e+00	9.647319302629429050e-01	8.534446817318329437e+00	1.921667217544869910e+00	1.110653571594962763e+01	8.318839994093885082e+00	2.132036783344755992e+00	-3.180005726366452734e-02
