G	c	dx1dt	d2x1dt2	dx2dt	m2	Fc	W	Fg	d2	d1	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.368810192862030206e+00	2.700982189449057991e+00	3.280749526426190332e+00	7.064951908544828463e+00	1.847639196399093819e+01	6.140789255783986711e+00	1.110143150692738168e+00	4.537281749503044637e+00	-3.038729698057718753e+00	-3.141286634641690867e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.625787250571052667e+00	5.878793255867136303e+00	3.176512999284300864e+00	8.241185785591632396e+00	4.809148392318597587e+01	8.216672902784335264e+00	1.616558402650620563e+00	5.287446321586919851e+00	-3.077332432839756660e+00	-2.857900964853547876e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.590525684356630443e+00	8.944028527010070562e+00	9.178957974553304311e+00	3.272840339423132683e+00	2.850872816622746697e+01	7.906221991973692909e+00	1.022700326052470743e+00	8.733740450173119285e+00	-7.474947020980652335e-01	-7.940168161172576067e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.298812076367537927e+00	7.675987333820215142e+00	3.246441010656107018e+00	6.657624683578344360e+00	5.006263626207279316e+01	2.308174148307375884e+00	8.691233801736794051e-01	4.003780344361742571e+00	-3.256081435261148016e+00	-2.739806046986829813e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.427445514021145723e+00	8.283141374496185705e+00	3.430498789817138849e+00	6.231446426494507307e+00	5.086422441159916730e+01	2.471841251952464180e+00	2.353299644281179326e+00	8.927454092900978466e+00	-1.393709507380404444e+00	-5.044515857065436926e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.360445206380347383e+00	6.946476231649425515e+00	7.784258512904956184e+00	8.513270773957534843e+00	5.813497714573252750e+01	3.461358772457051813e+00	1.230068360856709342e+00	1.820613394834288634e+00	-9.389668884092330359e+00	-2.263320598898767457e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.456896311481373107e+00	7.234156930255618789e+00	5.134726732598976717e+00	9.148143758936440051e+00	6.668754024993060625e+01	4.152827138894720882e+00	4.002879649839374387e+00	8.019686791583390928e+00	-2.256286347501960776e+00	-1.199940785303480695e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.750438045007744137e+00	8.495054512148843884e+00	7.944124717829846638e+00	1.065101119283384579e+00	9.601498785548836068e+00	4.663890006816315825e+00	5.554156008490810370e-01	8.536746879701240687e+00	-2.875630588440807323e-01	3.184699747707592232e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.439397115138578265e+00	3.169430562296456699e+00	1.602187498104066909e+00	7.175649228024079562e+00	2.255509409980774294e+01	7.108094341767912994e+00	2.234552596927999346e+00	2.679949041009694888e+00	-5.238338197645650673e+00	-2.459716283108506047e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.440781247615286809e+00	5.410425405035935498e+00	5.361202309009680533e+00	1.495026198103336812e+00	7.620346297867449437e+00	1.531469750517730821e+00	2.218828536148404751e-01	4.900901374905634711e+00	-5.945185740628244897e-01	-1.473573570338361005e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.211398110789569271e+00	3.025155449615928749e+00	1.304525616118844544e+00	5.888647286554402172e+00	1.806329302133793391e+01	1.258163421028116735e+00	2.560882774882739632e+00	2.578604036322703852e+00	-4.576908415146204057e+00	-5.986186139956219421e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.763395719687002483e+00	9.905126852799751802e+00	1.589146445340068547e+00	3.525294857228431944e+00	3.566941784852210873e+01	4.528939473769058921e+00	2.951974354107165244e+00	7.342360588812629985e+00	-9.713646580269235109e-01	-1.628753395689723771e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.517586441780897744e+00	9.446884843863294634e+00	9.082276286008838184e+00	3.828822443914433826e+00	3.613345520627353125e+01	7.267875919483699043e+00	8.844707983322041001e-01	5.763945192276627161e+00	-1.299325566868859472e+00	-4.509420378658303363e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.916536139892318857e+00	1.406990671470972565e+00	2.252843014053140802e+00	4.120465916107197479e+00	5.453322838332108624e+00	2.700740402066851953e+00	5.396464086780595748e-01	6.680481257969590914e+00	-1.211696525879019992e+00	-4.870457485114151552e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.674144739339902710e+00	7.432647220173864255e+00	5.857534026723842047e+00	6.691987042793133611e+00	4.853886052977414778e+01	6.725784092712407514e+00	3.236202703354149612e+00	2.740678683033482610e+00	-4.658392791209714723e+00	-5.441405765940120176e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.519728988191699770e+00	9.379416682349900114e+00	4.797124416340703412e+00	3.857232010208233142e+00	3.749739273585534249e+01	3.388500050437231348e+00	2.479265625133234341e+00	2.844330821586768643e+00	-2.748460556648304021e+00	-1.701198303160981595e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.744192634813316545e+00	2.680231061971140694e+00	4.118911021450069931e+00	7.671301878903957316e+00	2.014547793554181609e+01	8.882363012910618139e+00	1.522616797712813108e+00	1.444256436386416320e+00	-1.083303869774958095e+01	7.025383287809705507e+03
1.000000000000000000e+00	1.000000000000000000e+00	5.666253308517708476e+00	6.080396467885312184e+00	9.100801601018090992e+00	4.667103914076850657e+00	2.870099853594904005e+01	9.087239316689089463e+00	1.086069299113843201e+00	3.971447719962294620e+00	-2.370924475267610632e+00	-1.483752105685253753e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.950445050361526711e+00	9.299250570975260644e+00	1.318512674117296335e+00	1.621598761358980623e+00	1.470754847545680200e+01	3.719024810937583858e+00	5.829872587536619299e+00	6.026960464062078415e+00	-4.917318012486168177e-01	-3.951132124299817083e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.613097760201319009e+00	1.313622590119733147e+00	7.036773744015782484e+00	8.044340356187779761e+00	1.048005939045999568e+01	3.058039031172803401e+00	1.241981332826545686e-01	8.699866712125233548e+00	-1.785926922240068215e+00	-1.066434971314233771e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.508351056160433856e+00	7.305241040781356610e+00	9.636465607106524445e+00	3.674177225069385599e+00	2.580788267404918912e+01	4.704588471295199525e+00	5.292251017296443205e-01	6.902746417058184036e+00	-1.020145818218180178e+00	-2.260382943258342436e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.173985609795511476e+00	3.696470612563533820e+00	6.007335540782873906e+00	4.933177670515551227e+00	1.797852633324460569e+01	3.228159236488806538e+00	8.387308128560797549e-01	4.956748599998364035e+00	-1.946400871861414084e+00	-8.984753429643035361e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.684335869516643047e+00	9.312807243112471767e+00	9.484219488039618895e+00	7.120101147754174242e+00	6.702198203290218714e+01	7.013061695416576313e+00	1.866896448546465637e+00	9.668791737219628146e+00	-1.466803735830870536e+00	-5.204993717256224173e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.331209526187143055e+00	9.691680932885450517e+00	1.414494962789612176e+00	3.899054360778399619e+00	3.838373581898218134e+01	8.401810465640613401e+00	1.301348199975805286e+01	7.438249158295112018e+00	-1.010907765936819747e+00	-3.229527144994389420e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.134773600249389780e+00	9.493829009481533632e+00	4.829200350861690083e+00	1.518868673774395939e+00	1.466931351774081271e+01	7.030840442022109116e+00	2.748551406020321775e+00	9.365079820233551899e+00	-3.564308883837500330e-01	-6.138687896784281728e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.022580341163264350e+00	5.322823035626956134e+00	3.359878999079894957e+00	4.365231435520263936e+00	2.265340719195864594e+01	8.482628708291295894e+00	1.643092709096646287e+00	5.772117773040998934e+00	-1.469488241258330774e+00	-6.268073691657187752e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.755192261200174464e+00	8.733823873367461132e+00	7.605975416513810927e+00	9.417761077097962286e+00	8.311252750318922722e+01	4.643320027147958662e+00	1.917885844470425871e+00	3.424743172159134375e+00	-5.702336446633385236e+00	-7.325980485756272742e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.640211843352028076e+00	8.650642889575717476e+00	9.817497863999330221e+00	6.772610920501789700e+00	5.865077330409430090e+01	2.330819326144166759e+00	3.759638102248146763e-01	1.486400263931431764e+00	-9.214695947695915379e+00	-3.047671396163931377e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.294142720176743033e+00	3.912908649368012082e+00	3.273993829028643443e+00	7.012243103589532289e+00	2.736968394920678804e+01	7.696367939285929438e+00	1.403253545902819477e+00	7.545485297753923071e+00	-1.817654408988804704e+00	-9.849893009648990727e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.441591460872025721e+00	8.443608917019343352e+00	6.968297559586937417e+00	6.691042286275134643e+00	5.670568179988156032e+01	4.288876058820977555e+00	3.688409117032086737e+00	2.101564716468918625e+00	-6.320779905957220279e+00	-9.324780508084228359e+01
