G	c	dx1dt	d2x1dt2	dx2dt	Fc	m1	Fg	d1	d2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.452656382238261656e+00	2.664088322750513438e+00	3.389877457967348295e+00	6.981188217226667270e+00	6.158653752023089289e+00	1.229810987272086642e+01	4.535494366482524242e+00	-1.149407704042675959e+01	-4.763015077102211059e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.485383514591990917e+00	5.948400114944314865e+00	3.224481346882574595e+00	8.124744218393567863e+00	8.320384830818403188e+00	9.845403014323306223e+00	5.228470817156718020e+00	-7.558393161795410542e+00	-6.071262446535157231e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.643229948689745257e+00	8.859164637376689910e+00	9.243154309308454941e+00	3.276433363788353592e+00	7.860193153619027484e+00	3.333526672832608284e+00	8.756166704180115445e+00	-8.535477808280834466e+00	-1.289396306885593191e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.432434066077546753e+00	7.498425987179970775e+00	3.331237819768116282e+00	6.624381811606296466e+00	2.419066281362563409e+00	1.039114086878134557e+01	3.982560413948153411e+00	-1.074038780521765624e+01	-1.939011964800616106e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.441967278359393756e+00	8.282976859606513642e+00	3.471458852011360285e+00	6.128999415058649092e+00	2.429509499643398129e+00	9.032993868078763811e+00	8.956369415039187487e+00	-2.576763463689612266e+01	-2.738627872854511591e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.464405057866025484e+00	6.884332282889741528e+00	7.851880284584092706e+00	8.446134401035044093e+00	3.431477069120689727e+00	1.306831926491947193e+01	1.841343553581567205e+00	-4.883219030154579698e+00	-1.303708694271731972e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.517740744614537007e+00	7.162797399685957522e+00	5.051299066068876797e+00	9.240144341024709718e+00	4.242991580585736777e+00	1.316746124403056228e+01	7.893642984651603633e+00	-2.345239702264265702e+01	-1.835176574189808729e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.694430658261644851e+00	8.596355293057886371e+00	7.843790633004779522e+00	1.064047979084964624e+00	4.631515610262209037e+00	1.144115853453340659e+00	8.615630530762173223e+00	1.007808524867350819e+01	5.291447364908064444e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.406122407886449821e+00	3.277192435227424649e+00	1.511292703226221112e+00	7.079798933211677081e+00	7.227423814795234769e+00	1.007789105490971693e+01	2.627112146992265806e+00	-3.594811362536159294e+00	-6.948606844030681629e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.319006706351058433e+00	5.474851518244049586e+00	5.393699690462210761e+00	1.440112004656184830e+00	1.538804673215483643e+00	1.708694988735221409e+00	4.894618397437549895e+00	-8.313542959271238431e+00	-1.658997664747985379e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.145649968264480290e+00	3.017751124996571388e+00	1.336537193002937274e+00	5.941691924313821538e+00	1.260656846121022134e+00	-1.148752936895192533e+01	2.435218893202797830e+00	-7.512577016223530357e+00	1.022164659903631811e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.661945078424874822e+00	9.924172506283674977e+00	1.579873387628299319e+00	3.613466693334983049e+00	4.463402177276798888e+00	3.948135223263236959e+00	7.361194128111741897e+00	-1.074313887018278280e+01	-1.140235368639922253e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.466148391361256742e+00	9.522850305279291661e+00	9.108658274410968758e+00	3.686812266473371569e+00	7.342726958398586135e+00	4.085293781043820793e+00	5.811485081316411616e+00	-1.941689548210140837e+00	-5.516546755704051463e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.878760882234203677e+00	1.360478288662248847e+00	2.304968648384976060e+00	4.176268367864613751e+00	2.684409181271497857e+00	-3.354334401585144576e+01	6.677443045946295896e+00	-2.051795931397640516e+01	3.489079999187709280e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.507743274590986893e+00	7.388947886667840415e+00	5.873641533468950016e+00	6.656090652120536078e+00	6.874517710769204371e+00	7.620570382522417141e+00	2.720282490897404148e+00	-6.070190147387283019e+00	-1.150418186115538610e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.688538763383698793e+00	9.192674613609522538e+00	4.751652937162440082e+00	4.101806400699343769e+00	3.188310147473860656e+00	4.631206736630925747e+00	2.956120040465838539e+00	-6.889050221889548631e+00	-4.228402353552439763e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.858350869303925013e+00	2.631358127999273488e+00	4.180732166572483699e+00	7.587253315516383267e+00	9.052262999295763279e+00	1.126055103472063124e+01	1.280398351173740901e+00	-1.149943266469967806e+00	-7.245905114479165832e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.755619310063215366e+00	6.053376262890108883e+00	9.067621610143202560e+00	4.643002830230361866e+00	9.087730406706938879e+00	5.152815646232652647e+00	3.924825120540398338e+00	-1.351190088686599955e+00	-9.226142919803339737e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.876522298478088935e+00	9.304088761290337573e+00	1.255819903001482274e+00	1.734886558843357740e+00	3.682044616439901663e+00	1.640099871236294193e+00	6.081454804164901695e+00	-7.414337487418547035e+00	-9.650699336918280302e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.618099215910633770e+00	1.297327331181592935e+00	6.982155464145801460e+00	8.115276292207948217e+00	3.060386660451662966e+00	-7.986808284218110288e+00	8.709423725273763850e+00	-2.772164839494068644e+01	1.065964794574409957e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.483890994061328961e+00	7.278504100350894568e+00	9.698796223692911056e+00	3.538408988795435750e+00	4.804722819841467540e+00	3.940772455963579279e+00	7.005220298469293283e+00	-1.340517845532680141e+01	-6.118998778195289034e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.260318078729293578e+00	3.592411577538945799e+00	6.061691522958636114e+00	4.861394021954644984e+00	3.203297397661438062e+00	8.446093234213250867e+00	4.982398344658977685e+00	-1.398262992232673341e+01	-3.402438475176453814e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.627298847601177378e+00	9.376133646034000790e+00	9.424694065377645202e+00	7.220776563539136994e+00	7.002257559964455425e+00	8.101091640547302575e+00	9.539411604551014889e+00	-2.580572559534918753e+01	-4.009540190589519604e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.251736450276077051e+00	9.774423450372236033e+00	1.422834570131543463e+00	3.937374174415039452e+00	8.340954030193735491e+00	4.067489463721195797e+00	7.440199072354337417e+00	-1.372520866249573146e+01	-1.562217109017813188e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.195712979397054454e+00	9.529382278121268257e+00	4.764604569656087030e+00	1.568153642701318073e+00	7.067486466833799774e+00	1.630235577900505994e+00	9.344303701389300443e+00	-4.805502103617490306e+00	-1.082997778748703155e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.986094267755419196e+00	5.222698222479455588e+00	3.395905657998333549e+00	4.383386332099828309e+00	8.419095685914243177e+00	4.753328255507960343e+00	5.812223624651418064e+00	-3.229706364377793903e+00	-1.444481352344827485e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.835942362617899892e+00	8.715345070509343373e+00	7.553011924419374523e+00	9.528063408635279785e+00	4.490143039808136116e+00	1.243021122201774986e+01	3.401036036286001707e+00	-8.829489323563015191e+00	-7.213596506569740718e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.622632821729227182e+00	8.613383775899082551e+00	9.881001332838504680e+00	6.761711615362188788e+00	2.403835483525281536e+00	1.016899556549205563e+01	1.398859123514631042e+00	-3.072660327770990740e+00	-1.707863744277400642e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.434610011019979758e+00	3.833268231781142621e+00	3.349469033998048406e+00	7.009217558795572067e+00	7.610296609538543144e+00	9.269301026800004450e+00	7.589967842682288968e+00	-1.741290638398497492e+01	-2.821579000103514812e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.436502355314479784e+00	8.484433042844178985e+00	6.871065128628824681e+00	6.769682540692978812e+00	4.244776575180829070e+00	8.249020377571975260e+00	2.136653767018333649e+00	-5.486313150194292554e+00	-9.681451607816953242e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.448424470291802102e+00	1.212853776362988745e+00	2.859563392239313995e+00	2.777572434678139413e+00	7.080978110942862891e+00	3.880137637001377815e+00	3.810209164027174911e+00	3.968637392068801173e-01	1.431688446598671476e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.521310431055221457e+00	6.339306046993664623e+00	6.068340241772627763e+00	4.742759321531950789e+00	3.517097166235003236e+00	6.010989942833434796e+00	5.813365891387471507e+00	-1.591770699333689798e+01	-2.841188290082071077e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.587624213611082302e+00	3.170035733661772603e+00	5.258744297510692611e+00	7.754120069657159497e+00	1.780573422308113551e+00	-1.679811208432130343e+01	6.077321099955096173e+00	-1.833336053091495543e+01	1.406095008882781272e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.478118476593019537e+00	2.109551251095068025e+00	9.772018949140019117e+00	1.922805092706802776e+00	9.893939658204942589e+00	2.061109676838242422e+00	6.468077423426342953e+00	2.574736228361825496e+01	6.439549757274500408e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.649182951827773636e+00	1.701857801333103826e+00	6.475869389270172860e+00	3.444872545865036884e+00	2.425908184874017159e+00	2.491078294758261791e+01	2.534641092842607968e+00	-6.562580525971773326e+00	-2.548992843825044474e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.178969447268887194e+00	7.377040224099649102e+00	4.096536051455012206e+00	3.456293365322150812e+00	9.899226362030823623e+00	3.739470872156485548e+00	4.540795816855978551e+00	9.105677334636830267e+00	6.991836342968857920e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.691569558446711863e+00	3.928921932020773777e+00	2.021988637647971654e+00	4.854713953562329820e+00	9.722959019839011674e+00	5.491812382845766116e+00	6.607344481908771883e+00	-1.316325290000850678e+01	-2.717573935859191714e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.884131538939635364e+00	7.477543912866057241e+00	2.349970569695467582e+00	9.869076866323286623e+00	8.166054472315293467e+00	1.171994881216322248e+01	9.736793698991203172e+00	-2.793350870238610284e+01	-1.263335301372860320e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.174343641147905792e+00	1.565889181642639016e+00	2.958373628329195704e+00	1.559562440025871632e+00	7.035938634977831896e+00	1.885577801294758160e+00	7.484266755577382746e+00	3.863826940505447727e+00	1.027899755181470276e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.854245001175486074e+00	3.885364455943835171e+00	3.246683984671156598e+00	5.573262644182219283e+00	6.202029710236812932e+00	7.440686507705157382e+00	9.271563645669264275e+00	-2.357638718800096456e+01	-1.707352101679794565e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.090917788674637734e+00	5.904135757290262632e+00	8.611161309367950878e+00	2.507795926248935992e+00	8.708079609954953781e+00	2.713808481732160605e+00	7.781129439404836923e+00	-1.672048107304024356e+01	-7.303929347089465729e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.487085677362109060e+00	8.068331178004417126e+00	6.083361513506673646e+00	9.656491713063481086e+00	3.606604408746250545e+00	1.454626329213228608e+01	6.313654028724132061e+00	-1.775988611048995836e+01	-2.776076166070274187e+00
