G	c	dx1dt	d2x1dt2	m2	m1	Fg	Fc	d2	d1	W	p
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	5.730772433752574280e+00	1.391057898158482864e+01	4.976949823492048175e+00	-6.693130075367091925e-01	9.191729546583720989e+00	-1.267069423964278130e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	8.214997292153910280e+00	2.176420760284489830e+01	5.329865320369070680e+00	-2.296613422068393973e-01	1.422229866160991030e+01	-1.082006259081582655e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	7.958634259305783054e+00	2.998699758120517256e+00	8.477836797288057724e+00	-5.397243094004191555e-01	1.014270371950231997e+01	-5.667472490307935118e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	2.640677398803701781e+00	5.321655319472977652e+00	3.754450219014993984e+00	-1.266497197189432322e-01	2.720222563112067782e+00	-5.434742001707114412e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	3.166844894785041831e+00	3.446553084626998498e+00	8.247042017598657182e+00	-2.360928989059887795e-01	1.678245744762206559e+00	-8.313906471056361269e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	4.108544572699583952e+00	3.642300217972815446e+00	1.572232117562918141e+00	-6.647310512704174279e-01	2.849294008582632820e+00	-1.920969978349524210e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	4.357652168786291469e+00	7.969045744326779257e+00	7.658512551046036343e+00	-4.365319367391996552e-01	1.129668507266682997e+00	-9.653404528948207997e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	4.653498003968772778e+00	-5.588143468595382357e-01	9.506583697487789308e+00	-5.741332082263441716e-01	1.114863642640134422e+01	-1.686807457178814502e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	7.332966321123575604e+00	3.199186322340281663e+01	2.061990030448611844e+00	-3.755003599387553015e-01	1.381873295659273637e+01	-5.060943417416753576e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	1.178822275446976597e+00	-3.211319222081229774e-01	5.442234361936817422e+00	-6.479449695967457457e-01	7.100925120591262463e+00	-2.552188564281397021e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.828020824758155083e+00	2.538290297361574410e+00	1.861693680433464504e+00	5.740608791589111526e+00	1.845860323939269243e+00	5.334731499460869664e+00	2.342612104229090164e+00	-3.623276504417857202e-01	-4.263338408448347217e-02	-5.583482009979739757e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.142817415764783817e+01	1.031555197377842070e+01	9.030458316716563072e-01	3.783660147696235487e+00	4.416365041328848662e+00	9.984591790591858640e+00	7.246162372559552090e+00	-6.367521026243580518e-02	3.055791310661552629e+00	-2.099787716462521203e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.019307313345253263e+00	9.895896863649646491e+00	8.558502721029334737e+00	3.304349940874462987e+00	7.541864615632919211e+00	2.964201969552407778e+00	6.038228934048076368e+00	-4.609173238262517236e-01	8.278820151546899098e+00	-2.959713777469048068e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.096361286816243119e+00	6.465164597075199193e-01	1.623315192884680513e+00	4.216872678695136045e+00	3.674118384254634773e+00	4.067015253278790432e+00	5.939674828114747562e+00	-9.464153673103846698e-01	7.395830942400942298e+00	-1.151517828754862194e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.565196744687734398e+00	7.567605712432913911e+00	6.024616790686194712e+00	6.557839967923939639e+00	7.074651134546206421e+00	8.362818684859322005e+00	2.329501945780887429e+00	-5.645425596485920128e-01	2.995640177459764963e+00	-6.485147706241952470e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.749816437686273041e+00	1.009062993275299291e+01	4.979486624955653085e+00	4.766651241189309829e+00	3.464116052642443044e+00	2.981321000991345560e+00	2.224801634848715182e+00	-3.115218063371753554e-01	2.077381660587635182e+00	-8.276173739637469495e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.586281612802257879e+00	2.494258897854792156e+00	3.865146607157690983e+00	7.861471356407803590e+00	8.692956727515497306e+00	1.798784119168845663e+01	1.164859365100241018e+00	-1.773003331611518796e+00	1.318261855131567728e+01	-2.713347234761905202e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.857407391700071742e+00	6.286175292308112006e+00	8.970155753462224268e+00	4.223491587024232885e+00	9.018682967612877022e+00	4.850769231344603583e+00	3.399806963100098667e+00	-9.460017825970528094e-01	9.717120535676873061e+00	-1.540385627802823620e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.010293314295051204e+00	9.645775253538188210e+00	1.896594967934400522e+00	1.203461919286135995e+00	3.056783997794349617e+00	5.397794627491041553e+00	6.760310458679285261e+00	-1.260634051095053110e-01	2.251632230279781766e+00	-2.833636546055524619e+01
