G	c	dx1dt	d2x1dt2	m2	m1	Fg	Fc	d2	d1	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.113989237711974667e+00	2.620914586009868597e+00	3.608009869786488188e+00	7.109922524784180631e+00	6.101435608729842919e+00	1.251913257533629320e+01	4.584952918396552057e+00	-7.372030530600226506e-01	1.073412832688365803e+01	-7.302626639384657281e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.617405234631457134e+00	5.826404063081088935e+00	3.181148309919410444e+00	8.384709337513884364e+00	8.289775197376487270e+00	2.064120547717016052e+01	5.673895120719499197e+00	-2.503607737399724531e-01	1.317488985554798298e+01	-1.001545231387984281e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.800048307859198005e+00	8.879599908984543433e+00	9.074200400049978299e+00	3.095535427270852402e+00	7.750308088049854938e+00	3.337476487429313465e+00	8.666303221729695139e+00	-5.059299013321920668e-01	9.571400207793402615e+00	-5.636277433621627608e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.558318839863770400e+00	7.901061369565057113e+00	3.182555018763268517e+00	6.656072808503513905e+00	2.262416306849603043e+00	5.232049169791292087e+00	4.083655932766159680e+00	-2.778024891155042031e-01	1.527248274437382758e+00	-1.644811631002407237e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.087497059169850733e+00	8.010176160208702711e+00	3.193903123279758560e+00	6.106341940332672635e+00	1.904019591426791891e+00	4.640216803793301814e+00	8.841992406615275968e+00	-1.903394166881820504e-01	5.552239286140225882e-01	-9.356825220709009017e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.443694133368041310e+00	7.332614784651446449e+00	8.234050985889785679e+00	8.945424134236873215e+00	3.505416143578832688e+00	4.191052066435968726e+00	1.606036649141084016e+00	-7.945994876979943777e-01	2.876708636173642031e+00	-3.968315339825196908e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.339461276056959305e+00	7.347655326092755068e+00	5.362290223111573439e+00	9.385271027640481378e+00	3.725552343449346715e+00	7.529536923837838458e+00	7.718699825405343162e+00	-4.160873678617722504e-01	1.278467199253961351e+00	-1.051379175627930351e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.069191063943303988e+00	8.650738618854495243e+00	7.655498609147864286e+00	1.274291423756003683e+00	4.684564655834606128e+00	7.621366082908032080e-01	8.356565108818569954e+00	-4.664299374092798489e-01	1.170543142710995177e+01	-1.708732629688661575e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.366381395097871376e+00	3.584483910301484499e+00	1.810251494608352330e+00	6.601523885995269403e+00	6.627279547845912333e+00	3.169304020151271928e+01	2.737354851999948213e+00	-2.355756207711121319e-01	1.385581702338038035e+01	-4.513421089602932312e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.961449415716478129e+00	5.076024899051497563e+00	4.878766987834598723e+00	1.513303856904575362e+00	1.523878765366553978e+00	6.627230797756636926e-01	5.081010014986516943e+00	-5.913021822976923803e-01	5.434236522435059058e+00	-2.584077576480395777e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.125778442131427637e+00	3.136096011243938442e+00	1.574543590320337305e+00	5.897770695627836623e+00	1.310387845039582055e+00	5.872838227738988337e+00	2.710339289951161579e+00	-2.475920454652535962e-01	6.971175043622636069e-01	-3.535245429673955719e+00
