G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	m2	d2	d1	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.629302474423911740e+00	2.370699739312849275e+00	3.949354150846201783e+00	7.040814096632677099e+00	6.129453521159459406e+00	5.522614966915268653e+00	4.244560773150163335e+00	4.991867670618991504e+00	6.681407476846194626e+00	1.797194556381745079e+00	-1.564580965882286234e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.706536727141150678e+00	5.992986801803766639e+00	3.131759590892654099e+00	8.562265066812367209e+00	8.367745723827281878e+00	3.141714333455103869e+00	5.623384943225475219e+00	1.186743419565826407e+01	2.371352698422128924e+00	2.817087296825178999e+00	-1.536758040779553580e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.736324742773260432e+00	9.531454682977139825e+00	8.885044532352530666e+00	2.387165469284266983e+00	7.897061018674393473e+00	3.627396113869088001e+00	8.409669395616944598e+00	6.618084501053716906e+01	8.495199833256535271e+00	8.730013661979764805e+00	-1.843435234355792218e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.298100110689214937e+00	7.928795872065919070e+00	3.366929814024524070e+00	6.960220047928677545e+00	2.305301188903738030e+00	2.046788659266113530e+00	3.716749806315229332e+00	1.693270011837774192e+01	6.290681478830656204e+00	7.842012137631097168e+00	-3.389406906850195611e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.680440664052745170e+00	8.697789803598476865e+00	3.584756638081188829e+00	6.394787423233350587e+00	2.841915211644484351e+00	3.912420400017410760e+00	8.781168121247066694e+00	3.811505752495893518e+01	2.415182872960962790e+00	4.122973554309600885e+00	-3.428844500229643710e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.307565464767649566e+00	7.023547571733995909e+00	7.814216957687353471e+00	7.998575157310193084e+00	3.520686452875811057e+00	6.410207915289127811e+00	1.442287036924659427e+00	4.858350502942098359e+00	1.004557741441305474e+01	4.608053686132865145e+00	-6.711154250457105341e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.054635011063992600e+00	7.322974035521393255e+00	4.986848354742477341e+00	9.406311486909984865e+00	4.459899696878581565e+00	1.092662235021746042e+01	8.419640307986327343e+00	1.949994487573822255e+01	5.406066177441365639e+00	5.991923056906102829e+00	-2.336395944147342085e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.737460583966752736e+00	8.355288829197055733e+00	8.252370859276940251e+00	1.395905023156521985e+00	4.968350703065066654e+00	2.005728639157000615e+00	8.564644712152107431e+00	1.938994784335912982e+02	1.349047386390826997e+00	6.686911583654704394e-01	-1.215774131752403342e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.532752830851846326e+00	3.511768796202549225e+00	1.352631842063758194e+00	7.218231103676568949e+00	7.299243692956877361e+00	4.222833849362428005e+00	1.752763579987955955e+00	4.111297726442600720e+00	6.478446242909683406e+00	3.205285446301697760e+00	-5.173376513192392778e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.937875459762010699e+00	5.384468609548628493e+00	5.294009462549668754e+00	1.044525906966250250e+00	2.071931062110187405e+00	6.387458467197421053e-01	4.927966472083626037e+00	4.541262562493476196e+01	3.370577297622720625e+00	3.000632653384107229e+00	-1.223580818610874310e+01
