G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	m2	d2	d1	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	5.338102072069635717e+00	3.331742766565950475e+00	2.889955549028279336e+00	6.517782727427256617e+00	6.845933343442956343e+00	5.040801522610242280e+00	5.161840893931069374e+00	3.473715488391416528e+00	7.656509252184735992e+00	1.369270115739439131e+00	-1.413493318854534664e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.725192012894217086e+00	6.242438722053079481e+00	3.920077956623448934e+00	7.609680522873169650e+00	7.975846759394341845e+00	2.159878272478504169e+00	4.982987853961061475e+00	8.735650631611079575e+00	2.481274783363782710e+00	2.633858186070792140e+00	-1.289089061531668357e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.737161266651150449e+00	9.012590745027113215e+00	9.126222766674196407e+00	3.867849476105488460e+00	7.798624793636090402e+00	3.806620876061392433e+00	9.054115028441946933e+00	6.311808632529590568e+01	8.800073717924595584e+00	9.200485089806363703e+00	-1.921980704920525440e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.942566564424075715e+00	7.825202247417346157e+00	2.627214375107203903e+00	5.870332978282993608e+00	2.146428331779571153e+00	1.506742569369406315e+00	4.616924359375460085e+00	1.951398733684841247e+01	6.117052858184369057e+00	6.907161669947619487e+00	-3.418531418832345992e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.599235796012567157e+00	7.617793803267475461e+00	2.916002922604973957e+00	6.186143482711313979e+00	1.808006261284422544e+00	4.254112831173009646e+00	9.672531248591875297e+00	3.685701387717242739e+01	1.327565583072765953e+00	5.017926266432049864e+00	-4.005393796674349360e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.790096873580623305e+00	8.359724941673928100e+00	8.129990527991816762e+00	9.414704253914868204e+00	2.852369589212673695e+00	5.355492717179929585e+00	1.050758426208022289e+00	1.018086478832151087e+00	9.863912651234672424e+00	4.768631148053049884e+00	-6.427419173018579457e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.496102560459960484e+00	7.524293643758776184e+00	5.627118521497850523e+00	9.807722379184202310e+00	4.417835251627511894e+00	1.084523190778773838e+01	7.224157386477540577e+00	1.894165285929784304e+01	5.323024077593904835e+00	5.883251086883171332e+00	-3.505520396208666067e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.984868240611964652e+00	8.992079583018030675e+00	8.256346617413944600e+00	1.339673484332449815e+00	4.661726304384762543e+00	2.707424353439420894e+00	9.267189118242180612e+00	1.931144062307444926e+02	5.628794836564701143e-01	2.364752690083969933e-01	-9.415272437394933691e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.983161735912373658e+00	3.231050057656962515e+00	1.856775465749737064e+00	7.057380384162310172e+00	7.532613758945637450e+00	3.691083342246602506e+00	3.185791054131972277e+00	4.121579628100320747e+00	6.554357323614081743e+00	2.278091496715280329e+00	-3.893381747235987955e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.171529765448116933e+00	4.126651750108165650e+00	4.940708376220707798e+00	1.865294194103179093e+00	1.378273193839442357e+00	7.272901474700446123e-01	4.534661254582947443e+00	4.676033330024445434e+01	3.176445993239704002e+00	2.574465821817580213e+00	-1.074443197155359009e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.335553313987954072e+00	2.843270210884929927e+00	1.353810011805570257e+00	6.139694777070319631e+00	1.197854242174883010e+00	4.967411094085864676e+00	7.136248337495048055e-01	6.449917034939192106e+00	8.061796803772637077e+00	3.593576356606422717e+00	-5.585706854834988633e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.489318773692732023e+00	9.931262644640744597e+00	1.381603420211358735e+00	4.358815282869956675e+00	4.944296707125699797e+00	1.462022100991459350e+00	7.403813292823392622e+00	5.616943936120525649e+01	8.387961415418201838e+00	8.249946381443626464e+00	-3.606002614824756591e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.054332040099321688e+00	9.038776564276103542e+00	9.050283549512728953e+00	3.688602326489683669e+00	7.071788163744347600e+00	2.562212095560460590e+00	4.985603264160152648e+00	3.816512263094482904e+01	8.915156650770224900e+00	3.825922168713451921e+00	-9.668094659661722545e+00
