G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	m2	d2	d1	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.357500358115993677e+00	2.592808769422041415e+00	3.371740908595260322e+00	6.991285660844211769e+00	6.234901052232936891e+00	5.677824220712738956e+00	4.617651703360382776e+00	5.475811507545284229e+00	6.764290486619411347e+00	1.467013345420690618e+00	-1.562818228517310004e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.471973279296310722e+00	5.868364445248919203e+00	3.211032147048340502e+00	8.143707920546406243e+00	8.219230797152782486e+00	3.506616766952506570e+00	5.244006247497916995e+00	1.250028983243085356e+01	2.593989775058379355e+00	2.711208477498904923e+00	-1.896372820508148704e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.648138423596377855e+00	8.827348874964640046e+00	9.203358267885249688e+00	3.275619335500151497e+00	7.787043422693407990e+00	4.045382848664948128e+00	8.648217088318348900e+00	6.587762659260458520e+01	8.775113253654245327e+00	8.482543497028405710e+00	-1.836528905254958843e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.434304720904955310e+00	7.608734086078600356e+00	3.267590922465586800e+00	6.689503586856575090e+00	2.317439694105645653e+00	1.511232670696202929e+00	4.119250591269417505e+00	1.690662447507204291e+01	6.500872463920788213e+00	7.944708861734503635e+00	-3.451181767965965719e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.373058174547453270e+00	8.219099213568977547e+00	3.460721327475089648e+00	6.101425173062343887e+00	2.430020895926468416e+00	3.860947466991191845e+00	8.824046222812480522e+00	3.930814504668227016e+01	2.419910804931995951e+00	4.130109466338556246e+00	-2.479388852152240474e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.473207349880581329e+00	6.894815066466432718e+00	7.892167753894723248e+00	8.385403275506781995e+00	3.357024163268922390e+00	5.600682129074441740e+00	1.897402612881378126e+00	4.648216785403890050e+00	9.634567365926683280e+00	4.440596968751117757e+00	-7.583910511135923294e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.601192694247800752e+00	7.289072988508716655e+00	5.126426935466839474e+00	9.127810615963147356e+00	4.248171582493783127e+00	1.113980830828171342e+01	7.944394953279910965e+00	1.909275343061041141e+01	5.655406745897103349e+00	5.849807416961027684e+00	-2.935506892403558332e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.789460164839963952e+00	8.651005621965660808e+00	7.921241228607592610e+00	1.164093107900300517e+00	4.622868034333623477e+00	2.075562365641238749e+00	8.532926844279144163e+00	1.915309773046148507e+02	1.580637935160789320e+00	1.069124500367716779e+00	-7.294370667354883597e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.385643555755844858e+00	3.207918278877681661e+00	1.530296869813333460e+00	6.980437055236939692e+00	7.038383757697200593e+00	4.493226411377761131e+00	2.620973529977190797e+00	3.991518319254339975e+00	6.587781011301732548e+00	3.147653903756248095e+00	-4.698669719657138977e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.494949843457960448e+00	5.405806111296423744e+00	5.345057461674754151e+00	1.402811097729860901e+00	1.494198356835453101e+00	8.482272163661576103e-01	4.916416960076603004e+00	4.552068644618304205e+01	3.305894661664198431e+00	2.808775993909547353e+00	-1.146555294702717731e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.224291956056415387e+00	3.067595960053769222e+00	1.219563749142297704e+00	5.948168448427922250e+00	1.260973588842084991e+00	4.362950411012799457e+00	2.438633233223190366e+00	4.032395090520638270e+00	8.234855151868265111e+00	3.221756113293643420e+00	-5.992317254032441198e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.743061752210381954e+00	9.905355881031118415e+00	1.560414075074733509e+00	3.582416600697275300e+00	4.489522429984092788e+00	1.820466574960413197e+00	7.286465453463526032e+00	5.523922897700348500e+01	8.322835457640382018e+00	8.238109749106394375e+00	-3.705324937923865036e+01
