G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	Fc	Fg	m2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.754306154671096962e+00	2.954795102857464606e+00	1.599537611025468209e+00	5.632455322091463046e+00	8.635729076824675943e+00	6.368932913293668285e+00	5.310579849837500532e+00	6.822351147998304555e+00	3.817474762121050080e+00	3.810586691920194280e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.193708014449132548e+00	4.978924504546673013e+00	3.890048901718493823e+00	8.535359980195131868e+00	2.225841020586603136e+01	8.853223599764280749e+00	6.040378997893316004e+00	3.400518681995665204e+00	1.245182009133795198e+01	4.417025108355653984e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.545502408391375759e+00	9.162151647861989545e+00	9.653808685360397490e+00	3.800122262881023172e+00	1.950186416047798188e+00	8.326891087001360603e+00	8.612686069550784751e+00	9.679152655906824165e+00	8.402896167778589387e+00	4.131657550068514873e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.146693247347147171e+00	7.186625451765987549e+00	2.507212040874460257e+00	7.027412625366961763e+00	1.344888454613664308e+01	2.723591433350957658e+00	3.682293795381183177e+00	7.203537226044636199e+00	3.451434387867363007e+00	1.102432462313066797e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.641748283234871097e+00	7.683902744402566931e+00	3.074578064966484892e+00	4.871722255426336190e+00	4.496371062345240865e+00	2.492808532834507318e+00	8.545583951850744597e+00	2.866342694655994450e+00	3.536660067943246943e+00	1.541888149568853894e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.071062467390601736e+00	6.523587340739246621e+00	8.634407379664661875e+00	7.814464811788345067e+00	3.322690682159598285e+00	3.096923406075631657e+00	2.020954485372158604e+00	9.833681899070393584e+00	3.402605465982851296e+00	-7.311759373153925434e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.907006926461922713e+00	8.080282737664202131e+00	4.409990278489807736e+00	9.415071340136073275e+00	3.017797240375235557e+00	3.687112407394502078e+00	7.360435924323953216e+00	6.291932239955387196e+00	4.355372766009720564e+00	6.054652661508133082e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.496117376471465477e+00	8.828246442591471066e+00	8.254583225584521955e+00	2.075981971913712698e+00	1.767123448742092817e+00	4.027365427147108434e+00	8.379003761676839801e+00	5.622082234915097843e-01	6.703243924756893790e+00	4.434731454849977439e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.739627354595851827e+00	2.740522143331960869e+00	1.316620926159381977e+00	7.036105910930396057e+00	2.908486839385293621e+01	7.331866334563707177e+00	3.293181041382671648e+00	7.179918948352496777e+00	4.893146379094553744e+00	2.753378614607991270e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.044291166229757373e+00	5.836158305483505337e+00	5.614606836469034690e+00	2.057402001150979043e+00	2.021845517437835138e+00	1.781534448209436405e+00	5.238955933303473422e+00	2.668988065836630508e+00	2.853002198188063332e+00	3.518050778439329562e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.475649932941291542e+00	3.452481343700120053e+00	1.330206870356937410e+00	5.379764741748747525e+00	5.425389477406358019e+00	1.908116290688317562e+00	1.198797766781321439e+00	7.736739850130213370e+00	1.233180363290923287e+00	1.460514044492640107e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.953416716172428735e+00	9.676884434784422950e+00	1.407488083511695187e+00	3.700820740280154286e+00	2.016839745671643414e+01	4.833167483472248449e+00	6.628322939119248858e+00	8.738926894977566917e+00	5.768247294404980963e+00	4.219537385850324895e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.681859350000953768e+00	1.003013728643115066e+01	9.372465319781220217e+00	3.612305559550969214e+00	3.000494724848750128e+00	7.846877433636374022e+00	7.002533924785538488e+00	1.031573522009908750e+01	8.710280898169971309e+00	2.447825815956373052e+00
