G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	m1	Fc	Fg	m2	W
1.000000000000000000e+00	1.000000000000000000e+00	4.373592022685600433e+00	2.675611147559617375e+00	3.365195733443324233e+00	7.049306731756622924e+00	9.203052066682678500e+00	6.141816882249848675e+00	4.541019814974282198e+00	6.836954947400884386e+00	2.884458721323278851e+00	3.727068576088868213e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.559819779210151580e+00	5.877911440640550822e+00	3.221443462572319838e+00	8.177107344915103937e+00	2.423530027560034839e+01	8.255822110410710124e+00	5.265228276086735271e+00	2.562938550123859738e+00	1.240773632122353476e+01	4.275536838093348280e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.581236585907878300e+00	8.841473373777027689e+00	9.143155232859863091e+00	3.250777522832180910e+00	2.695321321116792124e+00	7.832950200795565365e+00	8.695556609634298439e+00	8.856384025446107700e+00	7.935017082061691873e+00	3.727943722608173971e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.379792359908970312e+00	7.591911869239832633e+00	3.249615580798893344e+00	6.629977775253193428e+00	1.303269499698583012e+01	2.396632094308385419e+00	4.058483116214253172e+00	6.517564152314371917e+00	3.419060359289459949e+00	1.711956382596397486e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400130490730375321e+00	8.257113476177220690e+00	3.452988573829296914e+00	6.144449247817163950e+00	4.293386843417919430e+00	2.341005115860546049e+00	8.834068865250703340e+00	2.414852346363961288e+00	3.440271457344692863e+00	1.286577276094484690e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.400370213310085266e+00	6.928633471898766771e+00	7.825827872985522404e+00	8.496566886481696557e+00	2.621441105065206667e+00	3.414362478195523742e+00	1.777252442425731882e+00	9.658187400239281573e+00	4.124322081625371617e+00	3.116307983414296490e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.526830248927960598e+00	7.228438393056968891e+00	5.048633064163622564e+00	9.152104111061541758e+00	2.768843733847543120e+00	4.239366731699734991e+00	7.984477701383476678e+00	5.660121402796109535e+00	4.508254467342247551e+00	8.426506670413002054e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.792259236222520258e+00	8.647250584910212368e+00	7.992886522824621309e+00	1.103910975296034547e+00	1.237314686667349228e+00	4.675761778083037612e+00	8.622905376039703640e+00	1.653079227570352083e+00	7.857255449606178388e+00	4.394606584346918865e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.405400287224565226e+00	3.253241077499511746e+00	1.587891746953643990e+00	7.056734226986692171e+00	2.851081145189326449e+01	7.118519480518819442e+00	2.631861775505803358e+00	6.637295819854966972e+00	4.977057771519062257e+00	2.606757447578887721e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.369342849234466364e+00	5.406399338826175516e+00	5.383774378540814531e+00	1.460809324129306308e+00	2.000581168366774687e+00	1.509654569507747679e+00	4.874963589212926607e+00	3.282344339975056258e+00	2.007019763094577858e+00	3.328584462535261856e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.191314833827371578e+00	2.988997339019431099e+00	1.308132051329933043e+00	5.937974549772476962e+00	5.396174556784358423e+00	1.308987266708068642e+00	2.491089169711135920e+00	8.227414006114381451e+00	7.230465537431906009e-01	4.934345069401108175e-01
