G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m2	m1	d1	d2	Fg	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	4.629302474423911740e+00	2.370699739312849275e+00	3.949354150846201783e+00	7.040814096632677099e+00	6.129453521159459406e+00	4.441773977017945185e+00	6.538675442452102082e+00	1.641805399542877630e+00	1.199057109231315366e+00	1.409129779243062046e+02	5.048449684606131882e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.706536727141150678e+00	5.992986801803766639e+00	3.131759590892654099e+00	8.562265066812367209e+00	8.367745723827281878e+00	4.958193780887572011e+00	2.910875636157554069e+00	4.788316391399441430e-01	2.504087912687833040e+00	2.178324514123164874e+02	4.005787613750983667e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.736324742773260432e+00	9.531454682977139825e+00	8.885044532352530666e+00	2.387165469284266983e+00	7.897061018674393473e+00	8.198145395548134928e+00	8.572672733708168735e+00	3.317241269211199661e+00	8.131309921519523698e+00	2.557662070906894201e+02	4.503188740532672227e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.298100110689214937e+00	7.928795872065919070e+00	3.366929814024524070e+00	6.960220047928677545e+00	2.305301188903738030e+00	4.598615765121405019e+00	6.177659951154844009e+00	3.682161662375272648e+00	7.677665170001898964e+00	1.436154048477730782e+02	1.621602029279787587e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.680440664052745170e+00	8.697789803598476865e+00	3.584756638081188829e+00	6.394787423233350587e+00	2.841915211644484351e+00	8.840262736187000314e+00	2.369542254026815176e+00	2.937550079825700156e+00	4.156125846579678651e+00	2.623136453852185355e+02	3.748136740072114037e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.307565464767649566e+00	7.023547571733995909e+00	7.814216957687353471e+00	7.998575157310193084e+00	3.520686452875811057e+00	2.504072618150106067e+00	9.313087701435945220e+00	1.706760062020185709e+00	4.768871594920836010e+00	9.713053468236175547e+01	7.505979756093094579e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.054635011063992600e+00	7.322974035521393255e+00	4.986848354742477341e+00	9.406311486909984865e+00	4.459899696878581565e+00	7.760961541328672553e+00	6.090119779625490892e+00	3.593987706174740282e+00	5.547458080436706851e+00	3.253387648446162075e+02	6.368367599953913327e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.737460583966752736e+00	8.355288829197055733e+00	8.252370859276940251e+00	1.395905023156521985e+00	4.968350703065066654e+00	8.510302630722451411e+00	1.593337323532971972e+00	1.252464650706507587e+00	7.006868526215651594e-01	1.355998086738051995e+02	1.366580102471998259e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.532752830851846326e+00	3.511768796202549225e+00	1.352631842063758194e+00	7.218231103676568949e+00	7.299243692956877361e+00	2.423668166144579139e+00	5.765374085347275468e+00	8.286543387614940803e-01	3.011099846017126325e+00	9.493228024004442034e+01	1.024868260348214477e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.937875459762010699e+00	5.384468609548628493e+00	5.294009462549668754e+00	1.044525906966250250e+00	2.071931062110187405e+00	4.697353621668518997e+00	3.333173953032161130e+00	3.528113772579348772e+00	2.964212340659272193e+00	6.552223529970068228e+01	2.692295012046853344e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.457380777874639932e-01	3.183573884766340178e+00	1.158365920618600775e+00	6.124500762420490574e+00	1.357265882658931888e+00	2.729135357057301814e+00	8.383788597500592132e+00	5.261427690628301512e+00	3.581158243407409181e+00	6.118517022883546730e+01	2.284416301486062650e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.396172426732116278e+00	9.897547718018389062e+00	1.865884069202902396e+00	3.861311295667164689e+00	4.525299165594772077e+00	7.514784932262965178e+00	8.245773733601700073e+00	4.410201693086659880e+00	8.230048924760867024e+00	2.163518313426430097e+02	1.354313510386508597e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.704881572523648359e+00	9.574173023429887408e+00	9.236757055290196305e+00	3.606110971016487365e+00	7.097563963920148211e+00	6.058262611700225619e+00	9.441738242088579369e+00	2.397324747607121331e+00	3.130918532038958535e+00	1.963022347654438988e+02	4.038432313072379429e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.363754473623769226e+00	1.330439041284316559e+00	1.959182025389068382e+00	4.296027688864377581e+00	2.671122550931642969e+00	7.086107325193546913e+00	5.488727410150379349e+00	4.467732367770716806e+00	2.394376442128586024e+00	8.425721187554236735e+01	5.088209894192176819e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.579676869228509251e+00	7.412657658924625359e+00	5.525502729657130629e+00	6.496029692837592684e+00	6.574393223345213144e+00	3.072140177103256153e+00	4.963593342429234667e+00	8.296157369369066004e-01	5.588654853813879164e+00	1.253487288595464406e+02	3.450199904230655079e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.794480917856724034e+00	9.605413942400884864e+00	5.217077694647389130e+00	4.246093592332691458e+00	3.522890140474242315e+00	2.629074926389451949e+00	7.515935640870567092e+00	2.413512821985992041e+00	9.056604714408299728e+00	1.186364503722237487e+02	4.910423557434637587e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.874981540179126771e+00	2.272966505950427152e+00	4.425147487077640385e+00	7.509434990654093589e+00	8.726308026484726810e+00	1.229787773073259372e+00	1.902887216761489420e+00	-1.257881519841480555e-01	3.657071675422501222e+00	6.282457928426256899e+01	3.627246410141547805e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.143289338309464220e+00	5.696239071250557728e+00	9.330837480186847444e+00	4.483726789008963820e+00	9.081306605254628295e+00	3.931931650593571970e+00	5.964734021629532812e+00	9.335683291377671056e-01	1.391046208799010753e+00	1.384299377012034142e+02	9.003576427572194518e+01
