G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m2	m1	d1	d2	Fg	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	4.376050480105588392e+00	2.663655680038583995e+00	3.351366896968903220e+00	7.057219572076340874e+00	6.158244695692650872e+00	4.538754077912353857e+00	6.841357912569420385e+00	1.681912057636027136e+00	1.357075985615263880e+00	1.274237985300102878e+02	4.924112773310137214e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.562532146658343279e+00	5.878994403714364658e+00	3.223575904624613297e+00	8.160559473385012197e+00	8.243633489208592735e+00	5.248985476934725725e+00	2.553680051696839204e+00	5.445095341088003194e-01	2.673225134823267179e+00	2.136627036807013553e+02	3.336470520759837655e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.577405860840228158e+00	8.859050706963932598e+00	9.160882466994927142e+00	3.259598306187190708e+00	7.842748763041559101e+00	8.685479483166165693e+00	8.846988957331053172e+00	3.265441217083870917e+00	8.479424113336673230e+00	2.483190049729656437e+02	4.543320831639305197e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.393222075968081342e+00	7.573086081477681475e+00	3.250322580663896233e+00	6.628941221729101052e+00	2.378160614452956789e+00	4.057026247663830354e+00	6.514342156073490209e+00	3.697099804334248230e+00	7.897197015240675633e+00	1.452417847345334678e+02	1.533576013767662403e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.399780928618334030e+00	8.264733845810601665e+00	3.439683782784355159e+00	6.150207825175903587e+00	2.343325267972913295e+00	8.825491637635892062e+00	2.418544843204886163e+00	3.030947305578107098e+00	4.149590751532882926e+00	2.633194667892427674e+02	5.016590288568280442e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.408588896394383561e+00	6.937041039083749361e+00	7.845139582574477188e+00	8.497491725068099910e+00	3.415672738796523777e+00	1.787012320523241771e+00	9.666709317072049501e+00	1.687569252666175190e+00	4.389799946607416459e+00	9.069174773283813806e+01	6.349774585679705297e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.522382056433097430e+00	7.224646728729810619e+00	5.044118290683420547e+00	9.155975507423443460e+00	4.248829949825195129e+00	7.988493277182023178e+00	5.668290188847479705e+00	3.554828158085743262e+00	5.797374066944732895e+00	3.190833460741750969e+02	5.498981577111418773e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.795741052243878144e+00	8.637351813432520231e+00	7.988931413453061126e+00	1.114999651401896497e+00	4.679988683247164438e+00	8.621723899153668214e+00	1.666404726625881905e+00	1.015117755219643758e+00	1.002236631739332751e+00	1.456312580780511894e+02	1.429682304073454873e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.409033304329875058e+00	3.244507250278414023e+00	1.583311277167616771e+00	7.076591970652854613e+00	7.117814276548012131e+00	2.635668612339264083e+00	6.650390218549922849e+00	8.185530567295392634e-01	3.171344182372071607e+00	9.389585361921434981e+01	1.672436870738232884e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.379213617776896328e+00	5.400618901894805646e+00	5.403039971558833088e+00	1.461363024171929759e+00	1.507278324190710395e+00	4.867231617384105036e+00	3.281189297716768483e+00	3.529144373424947023e+00	2.870767538771447303e+00	6.165632369989809547e+01	2.799470998368149139e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.178551416668409457e+00	2.992130720075585337e+00	1.303859029888169152e+00	5.945564287527935754e+00	1.308966937387141760e+00	2.484840725910518966e+00	8.228679376074616414e+00	5.208896881310431048e+00	3.252367483833477735e+00	6.247532911395192201e+01	1.578494379444940954e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.732478489723693116e+00	9.878183246667543216e+00	1.559180042139524769e+00	3.588227834480009815e+00	4.531612075073352841e+00	7.352257482767334373e+00	8.353272616718379950e+00	4.527436884733523570e+00	8.251919538199063098e+00	2.131037860504542607e+02	1.378720103040758715e+02
