G	c	dx1dt	d2x1dt2	d1	d2	p	W	Fc	Fg	m2	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.365199139457232924e+00	2.671886586410185505e+00	3.356164478229948234e+00	-4.952941391621614287e+00	7.055912142467035686e+00	3.704451386848346601e+02	6.145140650786507841e+00	1.394944764404595716e+01	4.534724673207691126e+00	-3.735326858910418824e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.558990987207220513e+00	5.876049048206354541e+00	3.219051738996618894e+00	-5.271148863722742384e+00	8.159953066428277779e+00	9.364926785645988048e+02	8.245959210392964422e+00	4.083663416112683819e+01	5.272114639525494084e+00	-2.443228201233881847e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.589520177032698989e+00	8.853318809212328944e+00	9.159686730010035305e+00	-2.558460424568220759e+00	3.245715394924473696e+00	2.967873900750204257e+02	7.836086323422342126e+00	2.982809838048957118e+01	8.688707297270070740e+00	-5.884014136478696866e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.393110484036770735e+00	7.588460035143265614e+00	3.248730092345808451e+00	-5.217425361815275053e+00	6.620419216523988126e+00	5.077031490179013531e+02	2.367491524495710209e+00	3.355489985916918982e+01	4.059025211425942636e+00	-9.926356946029260553e-02
1.000000000000000000e+00	1.000000000000000000e+00	2.399887263376756064e+00	8.262273326255741068e+00	3.452029495315450003e+00	-4.752050216007265071e+00	6.146835173537618324e+00	1.774500682183837625e+02	2.351460920070128857e+00	9.731179295525956618e+00	8.822624407996395135e+00	-5.555724153258672082e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.404134742324605334e+00	6.936905625443538170e+00	7.836417098006274173e+00	-2.683410503504075617e+00	8.494178114624176601e+00	2.448989609039311119e+02	3.408120888573418217e+00	7.638709941595331010e+00	1.789753750756989170e+00	-6.693141026968990603e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.515364590278825752e+00	7.226994618547831983e+00	5.063866870185295355e+00	-3.311611721619623694e+00	9.162785165127766973e+00	1.676079576977697627e+02	4.247426109365330049e+00	6.107229950768889859e-01	8.003662017572780840e+00	-6.724648163488111674e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.799382016507578896e+00	8.643311244065829513e+00	7.984719173165085948e+00	-2.665183507513683381e+00	1.101386169655929281e+00	1.172368290270124902e+02	4.668175508171026777e+00	4.342422040906286185e+01	8.633087737756952151e+00	-9.194132374704940824e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.412843401149317835e+00	3.248894415147467019e+00	1.578850064362233629e+00	7.718647449126696536e+00	7.062111954895490484e+00	5.432491877012348596e+02	7.122569003946172650e+00	2.422526496529089357e+01	2.627859675905723336e+00	2.663496025676995171e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.375336649967596969e+00	5.399302803958046404e+00	5.385970232889911280e+00	-3.181171605486412535e+00	1.474751017281860088e+00	1.293390312127317827e+02	1.510905139947840814e+00	4.121313769064114751e+01	4.881371173337123004e+00	-1.805289587661786377e-01
