G	c	dx1dt	d2x1dt2	d1	d2	p	W	Fc	Fg	m2	m1
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	-5.871977539968750825e+00	6.639707853261678672e+00	4.150668738581156845e+02	6.579087798559169364e+00	1.566589264113853375e+01	3.453076512392803998e+00	-4.027826742307986652e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	-5.429554248694063112e+00	8.136447807081280459e+00	9.759278668216981032e+02	8.317342318685176039e+00	4.253472119357387982e+01	5.661172443991193681e+00	-2.472780267492298845e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	-2.454370185998747456e+00	3.370674699562987264e+00	3.060027992326218396e+02	7.629882464022383459e+00	3.012588505968405883e+01	8.919317443746654916e+00	-5.839286750069574428e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	-4.938511114746042985e+00	6.877869892360561899e+00	5.285436848475528677e+02	2.081695203616904521e+00	3.637310425558591476e+01	4.398714150835440151e+00	-1.121155175925916819e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	-5.328477447593456873e+00	6.964237226525664681e+00	1.438794181569831210e+02	1.767586361199147582e+00	9.103973034570179479e+00	9.347823971043247582e+00	-5.525929149243165028e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	-3.243699715864095889e+00	9.186165145897138729e+00	2.423630027256459698e+02	3.194171792710268409e+00	1.217016123315106313e+01	1.891143066153904595e+00	-6.527129365306276465e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	-3.531501419669837105e+00	9.262097632184838503e+00	1.792512518975051421e+02	3.919378158312307292e+00	-1.396075294543817069e+00	7.875587681553455788e+00	-6.690374116407634686e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	-2.666348937399328545e+00	1.086948023659565443e+00	6.182666114523338763e+01	5.548471833717022683e+00	4.098531050337495429e+01	8.183050574982688730e+00	-9.087672447625259053e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	8.134211296118197154e+00	7.280541219049116108e+00	5.585286923953127598e+02	6.547013498302959533e+00	2.121531229420427067e+01	2.393258430235467138e+00	2.652722915309747576e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	-2.882831617793720103e+00	1.137262565710179363e+00	9.625018149586918526e+01	2.075169631059193609e+00	3.858104631117741690e+01	5.535023503750005069e+00	-1.732023924954874672e-01
