G	c	dx1dt	d2x1dt2	dx2dt	d1	d2	Fg	Fc	W	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.256723838941596227e+00	2.994950062148534986e+00	3.417243199832698419e+00	7.128941689480967625e+00	-5.817826099805271767e+00	6.506520711776773602e+00	4.762779084781546324e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.541700703518724680e+00	5.937060428596975470e+00	3.098064941807734396e+00	8.287595259850260021e+00	-5.538740030337582887e+00	8.303814237193808623e+00	7.369152154762717899e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.365882421722969475e+00	9.061127772255176183e+00	9.783433349891586417e+00	3.323296033999824761e+00	-1.023856834538665339e+01	7.736648978004457611e+00	7.066600725757472112e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.904339526759135204e+00	7.921042526421287810e+00	2.790862770531892689e+00	6.703533663737334614e+00	-5.782014642834229612e+00	3.050498983207182935e+00	2.174311375824595771e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.614958841768991515e+00	8.222412197703784287e+00	3.716896815110960706e+00	6.102722890087723506e+00	-5.826086328651313373e+00	2.311594819449448668e+00	1.079682380912138751e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.396986717555205981e+00	6.928821323607067484e+00	7.803810516646141338e+00	8.427339471972501883e+00	-5.702927406053888149e+00	3.483002601122695108e+00	2.303370892137149628e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.535628235335769531e+00	6.792795778723885292e+00	5.264396384954900476e+00	9.632019932063203171e+00	-5.147430486926906745e+00	4.297453260851638035e+00	9.054041522030928935e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.528549124260562664e+00	8.987547936518316405e+00	8.020475233010506244e+00	1.238662833054799073e+00	5.308668209248204484e+00	4.640723771062702063e+00	4.578744673996840042e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.359834989199528721e+00	3.206485213674664880e+00	1.071401178909737295e+00	6.911003531007877676e+00	-5.933040298459500761e+00	7.239467613716947803e+00	5.948935501049023244e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.669408420625745570e+00	5.125072885471559481e+00	5.414495711861305516e+00	1.391433954643778614e+00	1.100116547816901758e+01	1.279990365852261780e+00	1.267022921624420873e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.185482716421350391e+00	3.196644550074780433e+00	1.395163524992113047e+00	6.225624167975436940e+00	-6.617251865886862205e+00	1.474521377416795342e+00	1.929616659062124429e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.737086245789555505e+00	9.282688956793842650e+00	9.587098805874537666e-01	3.389431807589735612e+00	-9.448528041710227754e+00	4.048311930606142361e+00	4.139646105646820118e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.548144128093376537e+00	9.377128092010581284e+00	9.694654942277324494e+00	3.359850788043372116e+00	-8.287419333892396267e+00	6.920947314514973137e+00	6.417791840355182131e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.576467895190656776e+00	1.607495089424989976e+00	2.339127334503075861e+00	3.795403331400760472e+00	-7.773245939578480979e+00	3.238149414692800043e+00	1.772430081563604931e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.805537831979848296e+00	7.228420808194019109e+00	5.977310246840620955e+00	6.123652338348605007e+00	-5.165937076870435796e+00	6.431422971875955241e+00	4.468593100478821967e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.310964588553119814e+00	9.127539278653173938e+00	4.378078062849082741e+00	3.654901067914756219e+00	-7.850350554064516650e+00	2.804663552035797203e+00	2.193156383695477274e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.483905697588538963e+00	2.509421412451001476e+00	4.316757405061971475e+00	7.274667926774416316e+00	-5.262189783544483745e+00	8.639401994002458451e+00	6.380354338860169783e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.438874154191892352e+00	5.552429593118671569e+00	9.399293308575694894e+00	5.015686969766795400e+00	-7.369962033144251912e+00	9.535109564687124006e+00	7.627399328882782825e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.840086586979965411e+00	9.438410577462455819e+00	1.266416339805974900e+00	1.602679529240932599e+00	1.666705806868860407e+01	3.187575962557925191e+00	3.029363648053869262e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.525683113382248823e+00	1.271332100470759174e+00	6.971519855975433444e+00	7.955514484133121123e+00	-5.553224976697214821e+00	2.809630287118507930e+00	2.112052466261005179e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.506344535708175059e+00	7.201033199050121958e+00	9.423845797925737955e+00	3.181138079473649238e+00	-9.426648663550629692e+00	4.304600825260941122e+00	4.139064628755974695e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.010468447865703112e+00	3.601408802136394804e+00	5.981822687027420038e+00	4.856162073827998249e+00	-6.553474374999554541e+00	3.090125897236467800e+00	1.729795515473605549e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.901404407568087596e+00	9.323482165586868931e+00	9.290039732331758060e+00	6.698754497622830151e+00	-5.274223749808185424e+00	6.932705434147114154e+00	5.063776137916470077e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.522957334985918010e+00	9.921282903180628665e+00	1.628238939460558976e+00	3.892115718078946518e+00	-7.889658892369614485e+00	8.303649377688834932e+00	6.421544265038498622e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.057593238167235050e+00	9.483916520579789733e+00	4.534503934676647141e+00	2.068065070256274840e+00	1.204033733841164633e+01	7.563342385328070350e+00	5.184965618611389715e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.937130226205812988e+00	4.889178140619494961e+00	3.497310346155884098e+00	4.544960319162104412e+00	-7.277632557775348232e+00	8.092588990646159886e+00	7.269107287374749760e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.640280951809191645e+00	8.918468150937700401e+00	7.345759383986386837e+00	9.443251429675031616e+00	-5.671684761177647971e+00	4.545098884377321014e+00	3.082013885358488192e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.544179922921322223e+00	8.739625632076295503e+00	9.759242840830820498e+00	6.964569838626649911e+00	-5.256681097800687930e+00	2.499069907431858084e+00	1.974679468891859635e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.952803128716993797e+00	3.929073195059131329e+00	3.478849684519082608e+00	6.902146888694874249e+00	-5.996893309424126350e+00	7.374601090767357370e+00	6.175215573691244408e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.158369146345948009e+00	8.759326012783189341e+00	6.693265398038757752e+00	6.473820918971901150e+00	-6.059987270470592158e+00	4.376792063901276286e+00	1.446001838067518364e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.700665536067627492e+00	1.341518775412845255e+00	2.962480480146183925e+00	3.252183923293031853e+00	-1.407821515035774240e+01	6.932550083252574602e+00	5.892477011675117282e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.616392231432020044e+00	6.675566823797496774e+00	6.240644341977053422e+00	4.455826702714094090e+00	-6.828723938555755879e+00	3.537737579159894619e+00	1.833667945322740023e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.027724263805245730e+00	3.461506244031673063e+00	5.100587619922216653e+00	7.662608630179096991e+00	-5.412272785286107890e+00	1.701653395168244653e+00	1.084619043774238456e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.459003010099502617e+00	2.247076833767452708e+00	1.006879606985400954e+01	1.995189732573760644e+00	8.692727605134932389e+01	9.374779322032001261e+00	8.679380357967930948e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.592857235728482479e+00	1.484535248673581886e+00	6.498220351563767316e+00	3.247265617696502460e+00	-8.972430894098895493e+00	2.761526152237701037e+00	2.335120257282196743e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.165192379389633714e+00	7.230219913927847131e+00	4.449876693749621026e+00	3.662970423527649899e+00	-9.913726702640817123e+00	1.045967287896472619e+01	8.544683972645444214e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.655153080070339122e+00	4.403472123246043424e+00	2.522006477769043187e+00	4.805184786668141861e+00	-7.239111212904447257e+00	9.747380848967212685e+00	7.204886411327034779e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.700455278415621274e+00	7.106324086540091400e+00	2.294602452156535577e+00	1.000301846274503248e+01	-5.056425007811444772e+00	7.899808037699594720e+00	3.627914571906838859e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.231430837390201205e+00	1.479182104926108909e+00	3.205913203877393869e+00	1.766130538048285237e+00	1.598345012893499195e+01	7.344965301683244796e+00	5.715788519229614728e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.969248450198977096e+00	3.742214699964207636e+00	3.082678554324346454e+00	5.602533155145246191e+00	-5.794097392564187210e+00	6.715104309442447850e+00	5.055987452879906030e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.960353368135464347e+00	5.614756563836769132e+00	8.370402456519478562e+00	3.077304021356614072e+00	-1.739602750836933609e+01	8.748942919339263824e+00	4.685381807091467010e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.795172414857467480e+00	8.359306557310670627e+00	5.997042084138278106e+00	9.556003285453364526e+00	-4.541591414125585757e+00	3.545398594073690735e+00	3.175396767847245894e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.822741329126777998e+00	3.973586576390850222e+00	5.334328003687859976e+00	2.384828653168634904e+00	-4.091147664726402695e+02	5.187367330705150437e+00	1.224225118532914713e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.499577434274744547e+00	6.435235970870122557e+00	1.774062678215061917e+00	4.950426757370181008e+00	-6.648365367470116638e+00	6.118450691953505327e+00	6.306918248353297507e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.480056810396012335e+00	9.142227864088591005e+00	8.904541475993918098e+00	8.120287371608919003e+00	-4.821262842550813055e+00	4.621426905275543007e+00	3.342851237690257271e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.168847216504430797e+00	6.498703980688568471e+00	7.363519186270297112e+00	7.388101384340173716e+00	-5.472155462440843721e+00	5.314438045917093234e+00	4.265616170241502303e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.307774398879715250e+00	2.849020717225085875e+00	1.805175819989067065e+00	4.591112204134335073e+00	-7.172926420608028764e+00	3.926620092646868176e+00	2.654371041569448586e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.886366343014567626e+00	1.021303222464656768e+00	7.453178299357279712e+00	4.680841490395120985e+00	-7.808452828343759755e+00	5.794835655462224899e+00	4.884134038874586636e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.762032177752737461e+00	8.952180872119710031e+00	6.402915343401615722e+00	4.487918174845431984e+00	-7.281814423563461425e+00	8.790441784628772126e+00	7.298167567267910272e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.769845105928333773e+00	1.452617610084543154e+00	1.880288498887410897e+00	3.158285801287318062e+00	-1.002780011212508171e+01	2.632045545179249046e+00	1.740412665883924515e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.895733023241895410e+00	8.736916675381925401e+00	5.432321965903011751e+00	2.796627104640005523e+00	-1.338628344973383300e+01	9.391799287216487713e+00	8.480316892256601236e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.707009548262692356e+00	5.911874806700827101e+00	5.473219933352156730e+00	5.081644259870207847e+00	-6.488544145230335403e+00	6.856221219771715170e+00	6.134030654185607112e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.378383788580078928e+00	9.891586526561500392e+00	2.577941180160526535e+00	3.559215856119410493e+00	-9.884453137685586199e+00	8.127137019945537943e+00	7.544706583807994527e+00	0.000000000000000000e+00	0.000000000000000000e+00
