G	c	dx1dt	d2x1dt2	dx2dt	Fg	d1	Fc	d2	m2	m1	W	p
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	6.135985695631902992e+00	5.339632907430694964e+00	9.726850627219175038e+00	6.749937865128159409e+00	3.673177342545960045e+01	8.715890955256853090e+01	1.669234577235429242e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	9.099051218836732957e+00	5.295723356680010596e+00	1.309921634177601746e+01	2.098310782968275223e+00	8.233897044689896916e+01	8.555946020457251677e+01	-4.743022955671558094e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	8.670140540088056014e+00	9.104066743826964014e+00	3.780387695057330966e+00	8.599618633494760189e+00	8.028716597138102884e+01	3.283399271724911159e+02	-1.892304391638457446e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	3.071493532008065852e+00	4.084481064579708942e+00	2.639016611816951130e+00	6.507125140593322143e+00	2.384238644382886463e+01	1.495668486812438047e+01	-3.658352499599381247e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	2.795347955637677462e+00	8.906530724004316113e+00	2.162818066224522440e+00	1.919564981619557020e+00	2.150721190750092404e+01	1.329361475278170985e+02	-5.593827171018082822e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	3.586436187155313871e+00	1.173897370437505527e+00	1.537828631399957402e+01	9.646585414004986703e+00	2.162039801902845682e+01	-2.930832738226415586e+02	2.414734202732337508e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	4.877141378091901736e+00	7.868023831830956993e+00	4.380838155475812457e+00	5.827393519944001454e+00	2.155956317010389611e+01	4.639109087399240821e+02	-2.716341100107905504e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	3.580780909845354909e+00	7.643288132575813520e+00	6.931834260860385566e-01	2.079773193131053244e+00	4.246577369988318651e+01	1.627350702014828414e+02	-2.017119496625565844e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	7.656407272939711461e+00	2.560934617868895202e+00	1.938851177024238126e+01	5.963793288905755219e+00	5.562130383218040208e+01	-4.307062480000031712e+01	-4.442446612218824953e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	8.995182201440498071e-01	5.597318062796055038e+00	8.560507877550339595e-01	2.936952308083990104e+00	1.987417498247221914e+01	2.647190064330565562e+01	-2.653540078695274751e+00
