G	c	dx1dt	d2x1dt2	dx2dt	Fg	d1	Fc	d2	m2	m1	W	p
1.000000000000000000e+00	1.000000000000000000e+00	4.359198804341400724e+00	2.670183147708707683e+00	3.380940964539272731e+00	7.084670504584518191e+00	6.219227409249849181e+00	4.616981282281581223e+00	9.574303581535662744e+00	6.899564804082904956e+00	4.132673072916838919e+01	8.073469498816845658e+01	1.672109335830938335e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.586898932817316421e+00	5.915863225391715829e+00	3.226822848851464531e+00	8.118467095624289698e+00	8.240766619925544489e+00	5.260937660889593026e+00	1.281303696661204405e+01	2.597489300517441979e+00	8.330527865566642731e+01	6.057924962310082151e+01	-5.689204409121215633e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.580119997408214516e+00	8.891968349709687303e+00	9.154308875449986616e+00	3.189517433744827990e+00	7.785083071848438507e+00	8.694258633418957771e+00	2.913082134062417339e+00	8.853078352359752046e+00	7.775999649226129407e+01	3.291879251535219737e+02	-1.791862037471723852e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.486612180838475794e+00	7.599455777073647056e+00	3.264980434393840447e+00	6.626763828577174387e+00	2.298566519770745220e+00	4.017930484268439351e+00	3.980247408903852424e+00	6.610594485279080779e+00	2.758024323569102165e+01	-4.101337169546957817e+00	-3.447865407591362441e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.408536236279643639e+00	8.265745583233178095e+00	3.421686957449098454e+00	6.149183962500944567e+00	2.301185821780269869e+00	8.797075804107748809e+00	1.562888790991566967e+00	2.462323444422481966e+00	9.924430687892824565e+00	1.231632985943951866e+02	-4.804321060780823416e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.530637820098621926e+00	6.969130439159263446e+00	7.879946870716355356e+00	8.487501121341773924e+00	3.391229401489571860e+00	1.770807793049666623e+00	1.619292126354125116e+01	9.637206433070737432e+00	2.684730458807159792e+01	-2.760754018583271545e+02	2.423828867249887480e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.541804464954970033e+00	7.182724591050465790e+00	4.988253419206065686e+00	9.139112723832143459e+00	4.294337465739364923e+00	8.070348225223421323e+00	4.978887995813771283e+00	5.590201262486921507e+00	1.790341095610231292e+01	4.468195184085698770e+02	-2.662882345035063167e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.784020441308214799e+00	8.737085045730905719e+00	7.967675815312704302e+00	1.202021655610217454e+00	4.615048154309911332e+00	8.623985739033633635e+00	5.476322693670405695e-01	1.633510234065791655e+00	4.396473634721181867e+01	1.517617518828001550e+02	-1.348296577681248820e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.361354206411188983e+00	3.133124997788197419e+00	1.622038569099551575e+00	7.089241603313586992e+00	7.201907005759282221e+00	2.563822086363942265e+00	1.905375189336587383e+01	6.663981402340095173e+00	5.835760642050096436e+01	-3.354922742878280673e+01	-4.225983204866166432e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.294559612136035653e+00	5.485791366242122713e+00	5.325586898746898612e+00	1.573202409845798622e+00	1.437289905690196656e+00	4.887127989874214151e+00	6.324849619739096873e-01	3.311276543654855242e+00	1.777351556361358931e+01	2.251136145714469450e+01	-7.504840854844071707e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.131600530210902678e+00	2.988371238678842801e+00	1.215666349659427325e+00	6.008421830900613436e+00	1.439049172829825807e+00	2.534829736885894302e+00	3.166458663951444930e+00	8.307175163799769280e+00	1.820501077536091117e+01	-4.002115353066064074e+01	-1.911484445567034300e+03
1.000000000000000000e+00	1.000000000000000000e+00	9.681581658741173158e+00	9.944787146550597257e+00	1.567361759433568258e+00	3.680899009813482614e+00	4.621183166844911483e+00	7.358043046436238299e+00	2.169179407236504264e+00	8.300857771842148125e+00	6.078290950937443426e+01	2.999580828407582445e+00	-6.106767522122094505e+01
