G	c	dx1dt	d2x1dt2	d2	m2	d1	p	m1	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.066595167728235261e+00	3.599405209532136940e+00	3.438896463991961472e+00	8.021758538775138447e+00	2.079314574988177511e-01	5.688863737952151389e+00	3.998959425950384450e+00	7.531364483042625402e+00	7.942916539282183219e-01	1.416600395451204442e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.197998874174869499e+00	6.160684679878827730e+00	3.722568133087645670e+00	7.338732034683435934e+00	1.137636791533866432e-01	8.936726224902759697e+00	4.692931312914906172e+00	2.278792393893575241e+00	1.455715230820439743e+00	2.780152415122764786e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.878842112970374956e+00	9.374780278912375309e+00	8.849150595122555529e+00	3.403456278367088306e+00	1.256407298408679547e-02	7.811786719358850384e+00	9.312817803917351256e+00	8.808783850769234647e+00	8.171295783226728560e+00	2.150292882975357145e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.935493374659104759e+00	7.467325466889602303e+00	3.906703167284447442e+00	6.178419350021584933e+00	7.103054340861097993e-02	1.774768262069436942e+00	3.296371202838124237e+00	6.279689439845610899e+00	7.913461184177183583e+00	1.378644996990824323e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.404860091940083322e+00	8.190703812026182362e+00	2.486359100044598147e+00	5.340623280938091355e+00	4.355833906527489807e-02	1.818891996046830828e+00	8.867820534475681526e+00	1.880300372098683059e+00	4.492673387918904027e+00	9.301862664665773162e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.169136710671689894e+00	7.380569850146139643e+00	8.687032843179478547e+00	7.881498628850236443e+00	6.233014093564918923e-02	3.704978863303985293e+00	2.724803562429091830e+00	9.100581355168785080e+00	4.083818646211786252e+00	7.830259631202786785e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.006924647258072181e+00	7.626130852245587732e+00	5.731511838521046620e+00	9.128128339311516015e+00	6.747481343617794947e-02	4.821292841151326947e+00	8.652906202322057538e+00	5.833230574367961552e+00	5.500708721042583349e+00	4.746801504616461331e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.184608998130634916e+00	7.948107107891747347e+00	7.500851107597764411e+00	1.298731167221679250e+00	9.682379543896826521e-03	4.938453719921446883e+00	8.861288065988418339e+00	1.641731060909454865e+00	1.552657588717042403e+00	2.261147920163268932e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.085582101004799682e+00	3.318016081256028205e+00	1.103369950513644060e+00	7.639418825694336057e+00	3.422796479631345923e-01	7.382122670461718883e+00	2.627441657155787258e+00	7.056288350400077292e+00	2.460174626289057809e+00	1.171178482657494158e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.555300435724731756e+00	5.668428098977340568e+00	4.562678156689743858e+00	2.265556167357232198e+00	-8.143439330677595261e-03	1.068744936577870730e+00	5.277253914630144038e+00	3.147112983378671736e+00	2.786876577122231691e+00	4.582452072516383645e-01
