G	c	dx1dt	d2x1dt2	d2	m2	d1	p	m1	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.322106355249068166e+00	2.652463270967167386e+00	3.282511071341336795e+00	7.070395315763275512e+00	1.960849225180319455e-01	6.234901052232936891e+00	4.592857319901242796e+00	6.908610855580282539e+00	1.376918370360853183e+00	1.365896856512614121e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.539158296683662996e+00	5.790299185865963594e+00	3.214130340945947406e+00	8.158586467434963296e+00	1.073972607498343002e-01	8.219230797152782486e+00	5.313396052209465203e+00	2.534705637983312609e+00	2.697470844612763319e+00	3.015981827477023813e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.561610199508936425e+00	8.918383104496838243e+00	9.127345151848430760e+00	3.300355182752928940e+00	1.038923250905699792e-02	7.787043422693407990e+00	8.605020833891760645e+00	8.809202845015203565e+00	8.508408337282208578e+00	1.826639779462019497e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.382481950324434550e+00	7.637694954797908942e+00	3.264486318363448270e+00	6.645116986980632134e+00	6.830990921677952687e-02	2.317439694105645653e+00	4.077296403842252559e+00	6.576756477255187860e+00	7.860290140189580832e+00	9.565409638740614007e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.367929519314298847e+00	8.227073687549852465e+00	3.407894480941658255e+00	6.158629307809038167e+00	5.322173069170896970e-02	2.430020895926468416e+00	8.790158102607891877e+00	2.412057702493533906e+00	4.240277799011968440e+00	3.122783597995151816e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.320916066096502473e+00	7.000237226403678292e+00	7.800604540198806447e+00	8.551927609847922440e+00	3.728869934462857721e-02	3.357024163268922390e+00	1.716066368914871187e+00	9.764354014765388001e+00	4.373007939627856722e+00	8.356415142173782229e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.670427346731782503e+00	7.311115475013902021e+00	5.105805420225989266e+00	9.232007297681146696e+00	6.225945515438176953e-02	4.248171582493783127e+00	7.968480399979681827e+00	5.618893940574658963e+00	5.795638216022903855e+00	1.031204061662623683e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.721793659488740857e+00	8.636465000576333040e+00	7.998578261492128583e+00	1.041613220657865213e+00	4.927694107946414652e-03	4.622868034333623477e+00	8.578279974760222970e+00	1.561887718074810527e+00	9.317352030249703709e-01	1.735285240213921609e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.419856232127624907e+00	3.221940707382113800e+00	1.549493280205113788e+00	7.009318034813256659e+00	3.411092791018057180e-01	7.038383757697200593e+00	2.686872911741529979e+00	6.626240915721021807e+00	3.160844565604455259e+00	1.126806824116413708e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.276745578715524410e+00	5.530529850053707897e+00	5.389114859202815744e+00	1.424283747597849370e+00	1.152745329557380155e-02	1.494198356835453101e+00	4.901266370577489262e+00	3.321722124135276566e+00	2.902514883494897724e+00	7.271435669733892215e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.077174072254662995e+00	3.031004335346622725e+00	1.378661073815214078e+00	5.858396105978539659e+00	3.813132797188073519e-01	1.260973588842084991e+00	2.426272787439417655e+00	8.182806535441406126e+00	3.295074770494080596e+00	2.667914559118936602e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.734483342003260375e+00	9.903271809661255531e+00	1.580100707182688025e+00	3.585297746734221302e+00	5.790770438770574680e-02	4.489522429984092788e+00	7.319705072208937402e+00	8.288044131335825071e+00	8.336581076000085133e+00	1.218448837355106784e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.501421082610852054e+00	9.572390244686239669e+00	9.190677757470298914e+00	3.793475956738932897e+00	1.134777331457492711e-02	7.383744729537959905e+00	5.797244162442503956e+00	9.822979346044514060e+00	3.544852201479127274e+00	7.028662196731629841e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.979328223160797595e+00	1.371638171471523782e+00	2.211672570167182883e+00	4.175467077283548711e+00	3.409304084129993750e-01	2.764061959436614924e+00	6.713937842997349748e+00	5.437204422414551708e+00	2.738482762993788011e+00	1.603611667460168588e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.658049409555279574e+00	7.322048089319101116e+00	5.848461441292885254e+00	6.562718030287202353e+00	3.841669982965343483e-02	6.824276989463455401e+00	2.823594427688611130e+00	5.111295326765556091e+00	5.514533030512257739e+00	4.486827966403917678e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.642532371016439008e+00	9.331694272321920280e+00	4.827857949047305475e+00	4.067429077452519692e+00	2.392723594161853470e-02	3.383372016766413637e+00	2.943610324620212104e+00	7.762751306904883464e+00	8.755459554269226174e+00	2.013579377850627239e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.686784890717127450e+00	2.682960065670984662e+00	4.082387854768319002e+00	7.601900305796331025e+00	1.742025144078771515e-01	8.969281138065289483e+00	1.376295386130423237e+00	2.219133796932153402e+00	3.223971558921049585e+00	9.056440594535519750e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.803939044779089507e+00	6.000678684185297485e+00	9.033240043222253490e+00	4.659313425684115550e+00	2.219732859160170740e-02	9.037258270044290498e+00	3.884308153877384484e+00	5.846962383669080943e+00	1.757626048885017722e+00	1.613078851637000355e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.937777469400074892e+00	9.223371081367286450e+00	1.206103401001261899e+00	1.677661863331682435e+00	3.556569996378707715e-02	3.689144178620884063e+00	5.940412548484116151e+00	5.986845613682927336e+00	4.150115757638602965e+00	1.707586912411131141e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.553607057756432042e+00	1.382455447146171190e+00	7.022449518023560877e+00	8.047167031162913986e+00	2.219092898785583468e-01	3.079119215680610644e+00	8.792295550566972651e+00	1.795301437509514209e+00	7.767489397743520207e+00	9.005974783864739708e-02
