G	c	dx1dt	d2x1dt2	d2	m2	d1	p	m1	Fc	W	Fg
1.000000000000000000e+00	1.000000000000000000e+00	4.967779944326880859e+00	2.881622555294346189e+00	3.619013735180192981e+00	6.766786169381307836e+00	2.068433935750859098e-01	6.134366243114211414e+00	4.524076984445330574e+00	6.734220662503559218e+00	1.058908104447022325e+00	1.364472299906352859e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.709717524428738145e+00	6.117286507372578619e+00	3.375949723966690463e+00	8.282890978721283659e+00	1.063497535969470387e-01	8.643455369750686401e+00	5.380631763969267567e+00	2.251310507329487454e+00	3.033847073642155667e+00	2.883046565906498770e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.594690160396164735e+00	8.278511414282883507e+00	9.307668125326509667e+00	3.910981363594380866e+00	5.599468859338941826e-03	6.969025537550296079e+00	8.746939747528863052e+00	8.362937754870998219e+00	8.207380790558424621e+00	1.958410991786742272e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.609804176834765066e+00	7.504633644365173772e+00	3.154274829532766944e+00	6.953517824838957750e+00	6.919346782792039352e-02	2.723538270546647766e+00	3.979666761602261182e+00	7.052067290970969182e+00	7.566688999234020052e+00	9.432920500276235076e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.274088215030623417e+00	8.527354793461661586e+00	3.729401866941764787e+00	6.572640866740077747e+00	5.620236769368618795e-02	2.593863498585720961e+00	9.329108890668617704e+00	2.428137060336196917e+00	4.111311188479178647e+00	1.576026721962230648e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.653732749736704477e+00	6.604103942805174654e+00	7.736251915638157506e+00	8.587426452669699728e+00	3.879066167483533056e-02	2.913589432073112828e+00	1.901098550955611310e+00	1.036589294498035407e+01	4.049637789249505460e+00	8.400051101285939126e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.765016990114433026e+00	7.255988189011037370e+00	4.570083904174820688e+00	9.244778465303262749e+00	6.171527988748479188e-02	4.502760403707014802e+00	8.202927281061827003e+00	5.437011966136261698e+00	6.219132326321229698e+00	1.107013391402220437e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.134810991877790443e+00	8.787253939394291891e+00	7.931096015077039318e+00	8.296786982203785410e-01	8.297553791876473295e-03	4.964371081655036377e+00	8.922284153092082448e+00	1.539454854901000536e+00	9.405558611074846809e-01	2.164277681597002179e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.290745240752388057e+00	3.370195227954595030e+00	1.713492354289006370e+00	7.323807775780854179e+00	3.386871897115845687e-01	7.270269773162568505e+00	2.819638281466505969e+00	6.430604315172472774e+00	2.310932195174084214e+00	1.132162912098588592e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.041762691429174659e+00	5.507408234994756846e+00	4.944579371706552706e+00	1.446714188477350893e+00	1.105113181593132994e-02	1.085510485893718569e+00	5.438972466685266127e+00	3.104511572944522957e+00	2.927485886487833255e+00	7.090669698541124388e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.020143178355209956e+00	3.157477216729618341e+00	1.058161060117858154e+00	6.127229011041231743e+00	3.788166778814102686e-01	1.497973029424439995e+00	2.535035155910385196e+00	8.470851659279269086e+00	3.402169580474903476e+00	2.753103364913941142e+00
