G	c	dx1dt	d2x1dt2	d1	d2	m1	p	Fg	W	Fc	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.355357278727786330e+00	-4.945871513400191155e+00	7.046510438920880581e+00	7.053540119008497200e+00	-2.177405581758314224e+00	6.151709866807955507e+00	-3.235381992721340638e-01	-2.679110990532120873e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.214281364471144986e+00	-5.267172351792630991e+00	8.172540729210112431e+00	8.172013163017471271e+00	-1.036317193435324580e+00	8.246999989491300198e+00	-1.007098063087836087e-01	-3.220148170164743195e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	9.159012753539743201e+00	-2.566392201987847788e+00	3.256439049751909121e+00	3.248862659820360932e+00	-3.070048959737925021e+00	7.846447427090978977e+00	-2.076897227437385640e-01	-2.132445331266302535e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	3.250518666415554314e+00	-5.205996252954746772e+00	6.618770731215303904e+00	6.623070090379535202e+00	-1.300796300278114659e+00	2.391690851675564833e+00	-1.304343734143598166e-01	-1.460381078355961426e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	3.444228328647738646e+00	-4.770921747641146737e+00	6.151782065343351036e+00	6.144636249662465133e+00	-3.711980999034051543e+00	2.339732338275391399e+00	-2.782881776484482650e-01	-1.400226331224813325e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	7.841022144743726052e+00	-2.681841296625516513e+00	8.499834268303112950e+00	8.496473928122588504e+00	-2.062226029530903659e+01	3.417890169488958296e+00	-2.126782447502449380e-01	-9.594319862162156154e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.038455293276454583e+00	-3.314008774746105335e+00	9.160066038077991024e+00	9.156584897399092426e+00	-1.832349928259290550e+01	4.245557584371971060e+00	-4.068517238187676632e-01	-1.312542331404129792e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	7.982141487429536220e+00	-2.664821043820349455e+00	1.109458890075406545e+00	1.112441501569839231e+00	-7.491169475780712350e-01	4.688263896062225378e+00	-6.659207864857312476e-02	-1.009315964354407180e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.589049663219026742e+00	7.710176514573459983e+00	7.058516506795751155e+00	7.067465718916707829e+00	4.581629279483702133e-01	7.113500449297222694e+00	7.330785568777301031e-02	-7.785693922818919077e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	5.388280908659081270e+00	-3.175729749826009307e+00	1.471815779731958429e+00	1.459967985613085162e+00	-6.728169826754776262e-01	1.515712934834944514e+00	-5.571364962107767244e-02	-1.016024220803907419e+00
