G	c	dx1dt	d2x1dt2	d1	d2	m1	p	Fg	W	Fc	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.431527501949401149e+00	2.742875582065952056e+00	3.150225135336954807e+00	-4.678171119824374280e+00	7.083010336368991133e+00	7.035775302569124534e+00	-2.646849080299677137e+00	5.983509022863276350e+00	-3.121907889674126468e-01	-2.621811112415003642e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.434154760924320371e+00	5.997821243629318566e+00	3.011444843783931624e+00	-5.229324300315769669e+00	8.147929592464683068e+00	7.625547010385745672e+00	-8.821134579553160382e-01	8.417723480671133629e+00	-1.044136142627527519e-01	-3.288683256428630575e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.202668622124303255e+00	8.927508945092762715e+00	9.278432019328185731e+00	-2.638768626104429416e+00	3.600844557371601695e+00	3.114506792297611515e+00	-2.947660454555506515e+00	7.467933243645545893e+00	-2.081184971224107338e-01	-2.153528631910711866e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.941884522312943062e+00	7.671895008571359753e+00	3.200652110643485315e+00	-4.703691727135400846e+00	6.841836997804663589e+00	6.641058577980728295e+00	-1.459658757003716056e+00	2.463386831422745615e+00	-1.244155776393628399e-01	-1.399995202749395817e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.668183243625276369e+00	8.214869872025168718e+00	3.537983682408646136e+00	-4.787400759786007320e+00	5.758402810528636451e+00	6.353325132841589173e+00	-3.788654335886200819e+00	2.081584747264593638e+00	-2.743773642245058153e-01	-1.473204012856512257e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.373786235960822832e+00	6.859031214401145604e+00	7.423238948557218109e+00	-2.632683778622817439e+00	8.910778624754735588e+00	8.225031995579341171e+00	-2.050364094097661649e+01	3.200929486664775947e+00	-2.067196148183605420e-01	-8.682706312310386476e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.735198362588523668e+00	7.720929917018570343e+00	5.022088136086868992e+00	-3.276091048769003589e+00	8.412767551991304771e+00	9.255928168040027160e+00	-1.809477568734664743e+01	4.358786233166293655e+00	-3.998428452841003011e-01	-1.300616538800107858e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.825069869119023025e+00	8.775588967139899665e+00	8.274792600408115817e+00	-2.694679883889631089e+00	1.691626064454712974e+00	1.506886245706473337e+00	-1.190572136240078738e+00	5.268042617150583418e+00	-7.975557109437808601e-02	-9.713812073095635657e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.903376671849955848e+00	3.087542851370442598e+00	1.279379922425448957e+00	7.808771725115743578e+00	6.988414639601963962e+00	6.892749915024115381e+00	6.100549225597842184e-01	6.869161845834472757e+00	6.230199217697693359e-02	-7.771330292730681322e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.398486277289801016e+00	5.327658851108561855e+00	5.392703394998688005e+00	-3.355868423243539400e+00	1.415212123605545491e+00	1.047783276240351391e+00	-7.877384520148318359e-01	1.706181491782005288e+00	-4.637115720363127469e-02	-9.770709653360863944e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.276067048266531279e+00	3.284691494252824473e+00	7.904970825844795934e-01	3.858693328639523745e+00	5.923483468327284562e+00	6.018178615106660523e+00	3.775081130351892966e+00	1.226887938627719166e+00	-6.133731691470466485e-01	9.652991124191750982e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.136003584247184506e+00	9.684236003664782544e+00	1.203463511042861755e+00	6.807024310900124497e+00	3.692957641279858816e+00	3.266058194615700128e+00	-2.964513105901228629e-01	4.397899926718969787e+00	1.158392086913794319e-02	-5.956352385771713998e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.018073271897106835e+00	9.084296519275273596e+00	9.380918179009540836e+00	-2.828081274252301380e+00	3.760918159636447822e+00	3.539312062262174763e+00	-2.562157033058239719e+00	7.566259695487548065e+00	-2.020882030721659894e-01	-2.150583499739760374e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.995269582828029797e+00	9.630702034924500943e-01	2.167820335354167405e+00	-1.741855451725470871e+01	4.140520618114139850e+00	4.426545005686100431e+00	-5.836204933666875316e-01	2.511186849708063384e+00	-1.066456133823467795e-01	-3.045044397645201517e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.818274964016845185e+00	6.869248522710715399e+00	6.294828711742314731e+00	-3.315483609765704109e+00	6.945915350780096809e+00	7.099650061085124086e+00	-9.124739252376089738e+00	6.459220598967940319e+00	-5.056335090271217858e-01	-1.989305676537685752e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.335230330921772790e+00	8.965959392882274059e+00	4.819250428223297078e+00	-3.888116027520757356e+00	4.159538886068268049e+00	3.735594125563161949e+00	-4.098047689563209417e+00	3.463780919141528969e+00	-2.957558061437774999e-01	-1.744220601179650831e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.925071960839941365e+00	2.296711053059321106e+00	4.272578158374493285e+00	-4.136822936113554228e+00	7.334773198633274482e+00	7.394694964894234168e+00	-4.522806890130095958e+00	9.409110192809363227e+00	-5.682878079351687539e-01	-2.928868404402861447e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.017644618507801191e+00	6.496821634429602810e+00	8.801302171840969635e+00	-2.202555962133798229e+00	4.841223768471272670e+00	4.521687678326244075e+00	-5.690406436851124461e+00	9.265468604366462912e+00	-3.306301462537140634e-01	-2.278762609773986370e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.956124649908643320e+00	9.226549572386357312e+00	1.090089685240888784e+00	2.605977023091476052e+00	1.757038198683298358e+00	1.466904267137479456e+00	5.214452978645912617e-01	3.292387321417890700e+00	5.015380679858687241e-02	-2.177636395684107384e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.618526171483110954e+00	1.204469227738427239e+00	6.771839095040745882e+00	-3.002430756785567034e+00	7.906250010568703246e+00	8.577120489653017543e+00	-1.144929852315748953e+01	2.902359438321960639e+00	-2.099404361126040730e-01	-9.219018463777589600e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.264857298363121885e+00	6.875285826196917860e+00	9.376400009168937899e+00	-2.823950614465034814e+00	3.786232054717032725e+00	3.428216777343903843e+00	-4.036287396355783486e+00	4.968526779392352211e+00	-1.934253820080137354e-01	-1.779969155123656499e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.196935817868024277e+00	3.636329347971788195e+00	6.224802974938569378e+00	-3.046591325850988241e+00	4.852251937605767118e+00	4.789949585650571606e+00	-8.774164208192592795e+00	3.595395519301152198e+00	-2.305770203782240846e-01	-1.554761474458757231e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.490738743099521368e+00	8.836314430262120823e+00	9.670079927861808144e+00	-2.628701066435353617e+00	7.108994863626978855e+00	7.606443721181315176e+00	-1.453584386144274632e+01	7.113743523681050895e+00	-3.350014570457201524e-01	-1.831809633900757017e+00
