G	c	dx1dt	d2x1dt2	d1	d2	m1	p	Fg	W	Fc	m2
1.000000000000000000e+00	1.000000000000000000e+00	4.161943116752802041e+00	2.734555616788662213e+00	3.842519124416313492e+00	-4.660648839423286560e+00	6.880667023867019338e+00	5.874977534487965336e+00	-2.384575651599869506e+00	6.311177957727773347e+00	-3.501883542447228881e-01	-2.764247970896355433e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.620865810779672955e+00	5.827883696239981148e+00	3.791689030089961499e+00	-5.849986498276549263e+00	7.139375656130640735e+00	7.969554393020445993e+00	-1.054349631073265847e+00	7.168090449112678897e+00	-1.224508435902066927e-01	-3.056554922421490961e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.306263395295191643e+00	9.024883893503329091e+00	8.701958664211391081e+00	-3.051862349046661649e+00	3.300780537005412185e+00	3.653044749879019726e+00	-2.423483474881376942e+00	7.841515397347120775e+00	-2.087275323098117252e-01	-2.092222701166903676e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.086177652912054370e+00	7.839932606925028580e+00	3.158912372967828119e+00	-5.805762421651614602e+00	7.343914997412244183e+00	7.431151053261078054e+00	-1.987785731844475823e+00	2.048258786434804968e+00	-1.084117225014462338e-01	-1.876513189913289414e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.937451263341116281e+00	7.323422347987421865e+00	4.127704678782187386e+00	-4.676634288917238536e+00	5.173679963328959630e+00	6.248828836993435942e+00	-3.378112885526901810e+00	3.170406054250018535e+00	-2.599894369526342675e-01	-1.122241516001022177e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.137628550495702662e+00	6.214269200005397842e+00	7.156163704007957982e+00	-3.056209282503315805e+00	8.565104593271163580e+00	9.238853728951777811e+00	-2.071642406481288390e+01	2.881280425534758827e+00	-2.217585588907950989e-01	-7.969912425041678627e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.760152374161480626e-01	7.654048949235193078e+00	5.671540273001339116e+00	-2.806206883877395253e+00	9.516656067025216714e+00	9.362563517983671701e+00	-1.764198467009347837e+01	4.313226757614687656e+00	-3.851807752896777570e-01	-1.278091999840105908e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.431815204628085425e+00	9.490769513975205740e+00	7.666539329109244072e+00	-2.362968500047339937e+00	1.551335623771314065e+00	1.167577345289613211e+00	-1.014513443978187768e-01	4.442517264268110999e+00	-7.129486948230130683e-02	-9.767375395537880589e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.458044229940509418e+00	2.708827915379085294e+00	1.116065393388980365e+00	7.798728583295405414e+00	6.662238738273676297e+00	6.735264568817786568e+00	2.513887237976193401e-01	6.813212657382071491e+00	6.809553994311383363e-02	-7.772272885235391016e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.393906807243755708e+00	5.548857884359371440e+00	5.370517671418248540e+00	-3.054490795955068450e+00	8.698433149961741773e-01	1.753455126782528239e-01	-7.290371407764809630e-01	1.715654596814833788e+00	-5.388613973599752638e-02	-5.447745888815614945e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.327638277009413503e-01	3.439877763581683290e+00	6.857528693977256173e-01	3.418431697574003891e+00	5.621934721593703443e+00	6.601886381621430822e+00	3.939242478735894615e+00	1.084261166870999382e+00	-5.945641393247597106e-01	1.135320460404304344e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.488378644421809227e+00	1.002116795968727914e+01	5.164802872251583743e-01	6.855349463135876675e+00	4.233357757375029173e+00	3.559881882785330021e+00	6.498539070431679221e-01	5.535964649589347530e+00	7.415333058831886925e-03	-5.888437532817296649e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.035807619828386095e+00	9.358141489846916627e+00	9.199918023598925743e+00	-2.263841067533604701e+00	2.835542747357351345e+00	4.512526429675679296e+00	-4.399679466519876847e+00	6.198922759272416982e+00	-1.985204739283613906e-01	-2.383990015836276122e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.458643795575384594e+00	9.984377301905111857e-01	2.548211281111366855e+00	-1.741833474315156138e+01	3.518377944542935509e+00	3.662554470697688025e+00	7.906638609196026124e-02	3.084713532287169713e+00	-1.226319029515304804e-01	-3.043360049412840329e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.719465965872584601e+00	8.454612728478133832e+00	6.462827024719026703e+00	-2.763568606062481781e+00	6.343282894448483589e+00	7.906443604882591458e+00	-8.661521324827633705e+00	6.727353066169650120e+00	-4.975969820262059473e-01	-1.970860795499969509e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.455790787414014353e+00	9.380757448223317141e+00	5.035010705667738229e+00	-3.676785764133847501e+00	3.478282230130358865e+00	3.871771808831977690e+00	-3.953735900529752101e+00	3.311046461033910315e+00	-2.743213360849933169e-01	-1.705841042714255851e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.586332020431109324e+00	2.841552619601009244e+00	5.211313778247688155e+00	-4.043733311693570975e+00	7.571732443801333368e+00	7.219583570843223441e+00	-3.846748457586929071e+00	9.139339536105024919e+00	-5.450326202143369603e-01	-2.964903967622450676e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.035735152287427852e+00	6.291931382090279357e+00	9.850038282899820530e+00	-2.950051449625670674e+00	5.406482466544568766e+00	4.524617632496227060e+00	-5.120423353052877324e+00	9.604680225209065725e+00	-3.539578878806228790e-01	-2.296648710925432990e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.344891405100093529e+00	8.787433667055543296e+00	1.603951937218651924e+00	3.296386961924985926e+00	9.635066797999911614e-01	1.707453260933238459e+00	3.757573645695512776e-01	3.819968749785717321e+00	5.047390355995952371e-02	-2.319515839844600968e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.472364759460242034e+00	1.333786336789246407e+00	7.232862165634744045e+00	-3.617901265793573184e+00	7.974605073638005415e+00	8.015997999780802630e+00	-1.065833166225947970e+01	3.615363007882229418e+00	-1.862654791348521410e-01	-7.689671972551661572e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.328684010070051436e+00	7.097513783917300145e+00	1.034976947073485576e+01	-3.435932779625797906e+00	3.567358360497468794e+00	3.292857222496050618e+00	-4.204422055493764354e+00	4.727010694246882139e+00	-1.731644167843368887e-01	-1.808076953261980924e+00
