G	c	dx1dt	d2x1dt2	dx2dt	Fc	W	d1	Fg	m1	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.452656382238261656e+00	2.664088322750513438e+00	3.389877457967348295e+00	6.981188217226667270e+00	6.158653752023089289e+00	4.482191049759516766e+00	5.695709349160725132e+00	1.110052453461613808e+01	1.376906086481914648e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.485383514591990917e+00	5.948400114944314865e+00	3.224481346882574595e+00	8.124744218393567863e+00	8.320384830818403188e+00	5.274552026656005310e+00	6.578591585684865350e+00	6.106417056322318793e+00	4.025238083464742211e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.643229948689745257e+00	8.859164637376689910e+00	9.243154309308454941e+00	3.276433363788353592e+00	7.860193153619027484e+00	8.633972345993699449e+00	2.399371861713133214e+00	1.095509108551437683e+00	1.285253723696671457e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.432434066077546753e+00	7.498425987179970775e+00	3.331237819768116282e+00	6.624381811606296466e+00	2.419066281362563409e+00	4.021246080433267700e+00	5.980096673368660021e+00	8.943952534855171166e+00	-2.911031526935021763e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.441967278359393756e+00	8.282976859606513642e+00	3.471458852011360285e+00	6.128999415058649092e+00	2.429509499643398129e+00	8.846267247419048019e+00	5.974384849430131261e+00	1.659200376734730042e+01	7.651051268267330396e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.464405057866025484e+00	6.884332282889741528e+00	7.851880284584092706e+00	8.446134401035044093e+00	3.431477069120689727e+00	1.659944395000495954e+00	6.626849403193786792e+00	4.092091364670959130e+00	2.437140198411653913e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.517740744614537007e+00	7.162797399685957522e+00	5.051299066068876797e+00	9.240144341024709718e+00	4.242991580585736777e+00	8.081292012799142555e+00	8.552092697140707855e+00	2.056142690029694720e+01	3.890618954558639486e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.694430658261644851e+00	8.596355293057886371e+00	7.843790633004779522e+00	1.064047979084964624e+00	4.631515610262209037e+00	8.630322876395016607e+00	5.584999072832148581e-01	1.750614604494520055e-02	3.715243336044060207e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.406122407886449821e+00	3.277192435227424649e+00	1.511292703226221112e+00	7.079798933211677081e+00	7.227423814795234769e+00	2.565424432014851153e+00	4.359797697070663780e+00	3.309431290922032698e+00	7.895018271079736749e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.319006706351058433e+00	5.474851518244049586e+00	5.393699690462210761e+00	1.440112004656184830e+00	1.538804673215483643e+00	4.817310873903524637e+00	1.172259890608741806e+00	1.110510963058018108e+00	3.523941746769100880e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.145649968264480290e+00	3.017751124996571388e+00	1.336537193002937274e+00	5.941691924313821538e+00	1.260656846121022134e+00	2.543901479267534071e+00	5.373241313154380805e+00	2.050900441561067566e+01	6.472852816555690891e-01
1.000000000000000000e+00	1.000000000000000000e+00	9.661945078424874822e+00	9.924172506283674977e+00	1.579873387628299319e+00	3.613466693334983049e+00	4.463402177276798888e+00	7.392412008333467455e+00	2.974816484327195809e+00	1.811154099172939347e+00	1.144139199013683994e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.466148391361256742e+00	9.522850305279291661e+00	9.108658274410968758e+00	3.686812266473371569e+00	7.342726958398586135e+00	5.894211198647444583e+00	2.505848585417842056e+00	7.724591528379164407e-01	3.538053402811743853e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.878760882234203677e+00	1.360478288662248847e+00	2.304968648384976060e+00	4.176268367864613751e+00	2.684409181271497857e+00	6.680453615847991244e+00	3.739212771828520854e+00	2.831682190056019621e+01	-1.297302888705129664e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.507743274590986893e+00	7.388947886667840415e+00	5.873641533468950016e+00	6.656090652120536078e+00	6.874517710769204371e+00	2.784653824351135398e+00	4.109922009359094019e+00	1.374477315306266823e+00	6.393483598193340223e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.688538763383698793e+00	9.192674613609522538e+00	4.751652937162440082e+00	4.101806400699343769e+00	3.188310147473860656e+00	2.929115045180184396e+00	2.894159079374044374e+00	9.475296988258389286e-01	3.544517430623409515e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.858350869303925013e+00	2.631358127999273488e+00	4.180732166572483699e+00	7.587253315516383267e+00	9.052262999295763279e+00	1.411619559344693631e+00	9.922892415294966018e-01	4.401315672183755967e-01	2.134857812534920463e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.755619310063215366e+00	6.053376262890108883e+00	9.067621610143202560e+00	4.643002830230361866e+00	9.087730406706938879e+00	3.960452496076277473e+00	2.335584920250987739e+00	8.909527380052735257e-01	1.340755375755428025e+00
1.000000000000000000e+00	1.000000000000000000e+00	4.876522298478088935e+00	9.304088761290337573e+00	1.255819903001482274e+00	1.734886558843357740e+00	3.682044616439901663e+00	5.998351558162428709e+00	1.038206969080246234e+00	4.211512254693434709e-01	1.306659671638450604e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.618099215910633770e+00	1.297327331181592935e+00	6.982155464145801460e+00	8.115276292207948217e+00	3.060386660451662966e+00	8.715150643144495390e+00	7.693122997086685899e+00	1.347754467158270586e+02	-1.235861665745836557e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.483890994061328961e+00	7.278504100350894568e+00	9.698796223692911056e+00	3.538408988795435750e+00	4.804722819841467540e+00	6.968873114231285193e+00	2.902461860426486684e+00	2.033870855871153349e+00	-3.607925077847451423e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.260318078729293578e+00	3.592411577538945799e+00	6.061691522958636114e+00	4.861394021954644984e+00	3.203297397661438062e+00	4.915680527714465953e+00	4.297859433120605033e+00	8.708270720793496622e+00	3.627531667687038941e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.627298847601177378e+00	9.376133646034000790e+00	9.424694065377645202e+00	7.220776563539136994e+00	7.002257559964455425e+00	9.616398312415082472e+00	6.404681903430394563e+00	6.405930848139782974e+00	8.468984457789396902e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.251736450276077051e+00	9.774423450372236033e+00	1.422834570131543463e+00	3.937374174415039452e+00	8.340954030193735491e+00	7.382463438532154143e+00	2.839471884487726250e+00	1.110470877477093055e+00	9.380055749701934786e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.195712979397054454e+00	9.529382278121268257e+00	4.764604569656087030e+00	1.568153642701318073e+00	7.067486466833799774e+00	9.432348955636024712e+00	7.363964104691318457e-01	1.288604135244588167e-01	1.699077959026722695e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.986094267755419196e+00	5.222698222479455588e+00	3.395905657998333549e+00	4.383386332099828309e+00	8.419095685914243177e+00	5.685794173548377906e+00	2.947120367348428527e+00	1.627016222457239092e+00	1.239414619820921715e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.835942362617899892e+00	8.715345070509343373e+00	7.553011924419374523e+00	9.528063408635279785e+00	4.490143039808136116e+00	3.313275579757269274e+00	8.178371817852625014e+00	6.587077300884331521e+00	6.890216969483717868e-01
1.000000000000000000e+00	1.000000000000000000e+00	5.622632821729227182e+00	8.613383775899082551e+00	9.881001332838504680e+00	6.761711615362188788e+00	2.403835483525281536e+00	1.543685078107589925e+00	5.088671404737521442e+00	2.495301166518471003e+00	9.269011611091786118e-02
1.000000000000000000e+00	1.000000000000000000e+00	6.434610011019979758e+00	3.833268231781142621e+00	3.349469033998048406e+00	7.009217558795572067e+00	7.610296609538543144e+00	7.552758864866727428e+00	6.069262059548194088e+00	1.076054293414285645e+01	3.195389739181437316e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.436502355314479784e+00	8.484433042844178985e+00	6.871065128628824681e+00	6.769682540692978812e+00	4.244776575180829070e+00	2.110354205482700252e+00	4.694118113458447539e+00	1.888076986344660479e+00	5.603289475682807774e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.448424470291802102e+00	1.212853776362988745e+00	2.859563392239313995e+00	2.777572434678139413e+00	7.080978110942862891e+00	3.660204875274673864e+00	9.625471822601049388e-01	1.129408144964148875e+00	9.840566473579870355e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.521310431055221457e+00	6.339306046993664623e+00	6.068340241772627763e+00	4.742759321531950789e+00	3.517097166235003236e+00	5.734957732002216702e+00	4.187188427498047538e+00	5.300917248967139450e+00	-2.391862065239965807e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.587624213611082302e+00	3.170035733661772603e+00	5.258744297510692611e+00	7.754120069657159497e+00	1.780573422308113551e+00	6.131388313972551352e+00	7.471966670147590861e+00	6.641973256438923556e+01	-2.510670661553844885e-01
